nomor,tahun,judul,deskripsi,lokasi,status,detail_url,scraped_at
122,2021,Konflik Agraria di Bali Utara,"Selama hampir 100 tahun warga Sumberklampok menempati dan menggarap lahan di perbatasan Kabupaten Jembrana dan Kabupaten Buleleng, Bali bagian barat, tetapi hingga saat ini mereka belum mendapatkan status hak milik tanah tersebut. Ketika warga belum sepenuhnya mendapatkan hak milik sebagaimana tuntutannya, rencana baru sudah sampai ke desa mereka, pemerintah akan membangun bandara baru di lahan mereka.",Bandara,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/dHQ4dGhkX052UTg,2026-06-09T06:45:28.681802+07:00
123,2022,"Konflik Antara Petani dengan HGU PTPN XII Kalibakar, Malang","Hampir 27 tahun konflik lahan antara petani dengan perusahaan Badan Usaha Milik
Negara (BUMN) PTPN XII, Kabupaten Malang, Jawa Timur belum juga usai.
Padahal, area HGU perkebunan PTPN XII telah berakhir sejak tahun 2013 lalu.
Sementara, warga di tiga kecamatan Dampit, Ampelgading, dan Tirtoyudho telah
menggarap lahan di Kalibakar sejak tahun 1942, tepatnya ketika pendudukan
kolonial Jepang di Indonesia.",PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aFNsN2lGUmg4Sm8,2026-06-09T06:45:28.681802+07:00
124,1965,"Konflik tanah antara masyarakat Desa Karangreja, Mekarsari, dan Caruy dengan PT. RSA dan pemerintah",,Perkebunan Karet,Perkebunan,https://tanahkita.id/data/data/konflik/detil/THQ2Rm1Lb1FfR3c,2026-06-09T06:45:28.681802+07:00
125,2021,Konflik lahan antara PTSR ( Paguyuban Tani Sri Rejeki) dengan pemerintah daerah,Konflik yang terjadi antara PTSR ( Paguyuban Tani Sri Rejeki) dengan pemerintah daerah akibat kesepakatan yang dibatalkan secara sepikah oleh pemerintah daerah.,Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/djZxaW9ab3NsSUU,2026-06-09T06:45:28.681802+07:00
126,2021,konflik tenurial warga Dusun Kutorejo Desa Kalipait  dengan perhutani  Kecamatan Tegaldlimo Kabupaten Banyuwangi,"Pada awalnya Dusun Kutorejo di bawah pemerintahan administratif Desa Kendalrejo, namun seiring bertambahnya penduduk, maka pada tahun 2001 pemerintahan Desa Kendalrejo di pecah menjadi 2 desa. Pecahan tersebut terdiri dari satu desa induk yaitu Desa Kendalrejo dan satu desa pecahan yaitu Desa Kalipait. Desa Kalipait terdiri dari 2 dusun, yaitu Dusun Purworejo dan Dusun Kutorejo. Setelah menjadi desa tersendiri, Bapak Misyadi selaku Pj. Kepala Desa pada waktu itu banyak melakukan pembenahan seperti pembangunan insfrastruktur, yang dilakukan secara bergotong royong melibatkan warga desa. Bapak Misyadi juga melakukan pendataan sistem pertanahannya, tanah-tanah milik warga dicatat dalam buku administrasi desa dan kemudian diajukan untuk bisa membayar pajak. Hal itu dilakukan supaya warga desa mendapatkan pengakuan dan hak yang sama, tak terkecuali untuk Dusun Kutorejo.
Sejak jamannya Pj. Kepala Desa Bapak Misyadi, warga diusahakan untuk mendapatkan haknya, seperti dengan membayar tumpi. Bukti penguat lainnya bahwa adanya pengakuan warga Kutorejo tinggal sejak jaman Belanda dapat dilihat dalam sebuah surat keterangan Tanda Pendaftaran yang dikeluarkan oleh Daerah Kehutanan Banyuwangi Selatan dengan ditandatangani oleh Bupati Kdh Kabupaten Banywangi Selatan, an Pjs. Kepala Sub Direktorat Agraria, Soekiman B. A. Tanda Penda Pendaftaran ini memuat keterangan nama dalam surat tersebut sudah menduduki sejak tahun 1935",Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/M0tDSDFjeThRZlE,2026-06-09T06:45:28.681802+07:00
127,2021,Konflik Agraria antara Warga Desa Ngrandu dengan Perhutani KPH Kediri,"Warga Desa Ngrandu mengalami konflik tanah dengan Perhutani KPH Kediri yang meng-klaim adanya beberapa dusun adalah merupakan kawasan hutan semenjak tahun 2004 . Bagi masyarakat, keabsahan tanah di Desa Ngrandu seluas 67,5 ha merupakan tanah hak, setidaknya merujuk pada Putusan Pengadilan Negeri Trenggalek Nomor : 10/Pdt.GG/2005/PN.TL tanggal 31 Oktober 2005 yang memutuskan bahwa 17 orang warga Ngrandu merupakan pemilik tanah dengan mendasarkan bukti-bukti hak berupa nomor persil tanah, Leter C dan tercantum dalam Peta Desa Ngrandu.
Permasalahan konflik tanah secara resmi mulai berkembang semenjak bulan Mei 2011 dimana pengajuan sertifikat tanah kepada Kantor BPN Trenggalek melalui Sertifikat Massal Swadaya (SMS) sebanyak 127 bidang tidak dapat diproses lebih lanjut karena adanya klaim telah memasuki kawasan hutan dari Perhutani KPH Kediri hingga sekarang ini. Padahal, warga selaku pemohon sertifikat tanah telah menyerahkan persyaratan permohonan sertifikat, melakukan pembayaran pendaftaran dan melunasi biaya pengukuran atas masing-masing bidang tanah saat dilakukan pengukuran tanah di lokasi oleh petugas BPN Trenggalek. Beragam upaya telah dilakukan warga desa bersama Pemerintahan Desa Ngrandu baik audiensi, hearing maupun unjuk rasa kepada BPN Trenggalek, Bupati Trenggalek, DPRD Trenggalek, Kanwil BPN Provinsi Jawa Timur, maupun Dinas Kehutanan Provinsi Jawa Timur. Ironisnya, dihentikannya proses pengajuan sertifikat melalui SMS oleh BPN Trenggalek ini juga mendasarkan kepada â€œRekomendasi Hasil Rapat KPKâ€ pada bulan April 2017.",Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/ZnpOZUd6QThTTFk,2026-06-09T06:45:28.681802+07:00
128,2000,Konflik agraria antara warga  Dusun Ngrimpak dengan Perhutani KPH Kedu Utara,"Konflik tanah eks perkebunan teh antara warga Dusun Ngrimpak, Desa Lowungu, Kabupaten Bejen dengan Perum Perhutani KPH Kedu Utara belum menemui titik akhir.  Areal lahan konflik seluas 81 herkar tersebut merupakan Eks Perkebunan Teh tersebut merupakan tanah GG (goverment ground) sebagaimana tercatat dalam Peta Desa Lowungu tahun 1958 serta telah terbit surat tanah Petok D/Letter D sejak tahun 1968. Sedangkan Perhutani meng-klaim bahwa tanah Ngrimpak merupakan kawasan hutan berdasarkan Dokumen Process Verbaal tanggal 15 Desember 1941. Terjadinya dualisme klaim terkait keabsahan status tanah di Dusun Ngrimpak ini berlarut-larut hingga sekarang ini. Berbagai upaya penyelesaian konflik tanah telah ditempuh oleh warga Ngrimpak sejak tahun 2000 silam. Warga Ngrimpak aktif dengan melibatkan jajaran Perangkat Desa melakukan audiensi maupun mediasi secara resmi kepada Bupati Temanggung, Komisi A DPRD Temanggung, Kepala Pertanahan/BPN dan kementerian Lingkungan Hidup dan Kehutanan.",hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/ZUVYNXRaYnZrcVE,2026-06-09T06:45:28.681802+07:00
129,2021,"Konflik lahan antara warga Dusun Pondokasem, desa Kedungasri, kec. Tegaldlimo, Kab. Banyuwangi dengan Perum Perhutani","Sengketa lahan  antara Warga Dusun Pondokasem, Desa Kedungasri Kecamatan Tegaldlimo Kab. Banyuwangi Jawa Timur  dengan Perum Perhutani  masih terjadi hingga saat ini. Perum Perhutani mengklaim bahwa wilayah Dusun Pondokasem masuk di dalam peta kerja Perum perhutani ( Tenurial ). 
Fakta dilapangan, masyarakat telah tinggal di wilayah tersebut sejak tahun 1941, bahkan Pemerintah Desa Kedungasri Kecamatan Tegaldlimo juga mempunyai peta desa dan letter C yang menyatakan bahwa keberadaan  dusun Pondokasem masuk di dalam adminitrasi desa kedungasri. 
Dengan adanya  sengketa tersebut,  pembangunan kawasan tersebut menjadi terhambat, tanah milik warga tidak dapat disertifikasi  oleh BPN. 
Untuk memperoleh kepastian hukum dan keadilan, warga Pondokasem bersama dengan Pemerintah Desa kedungasri mengajukan areal tersebut kepada Pemerintah sebagai Tanah Objek Reforma Agraria (TORA) sesuai dengan ketentuan aturan yang ada.",Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/anhBNFVIS0pzbG8,2026-06-09T06:45:28.681802+07:00
130,2019,Konflik Warga Desa Berang dengan PT. Tata Hamparan Eka Persada,"Adanya polemik antara warga desa Berang dengan PT THEP yang dipicu aksi penambangan oleh warga di lahan HGU PT THEP tak kunjung terselesaikan. Warga melakukan aksi besar-besaran sekitar 500 orang di PT. THEP yang merupakan gabungan dari beberapa desa yang warganya ikut menambang, yaitu desa ibul, desa peradong, desa air nyatoh, desa pangek dan banyak lagi. Warga protes dengan penertiban aktivitas pertambangan di dalam Hak Guna Usaha (HGU) perusahaan. Perusahaan melakukan kriminalisasi dalam melakukan penertiban, aparat baik polri maupun TNI. Alasan warga nekat menambang di lahan sawit PT. THEP adalah dikarenakan berlimpahnya stok pasir timah yang hanya dikedalaman tiga hingga empat meter.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Rzg5Ykd5N2R3dWc,2026-06-09T06:45:28.681802+07:00
131,2007,Konflik Warga Desa Bangka Kota dengan PT. Bumi Sawit Sukses Pratama,"Konflik ini bermula sejak Juni 2007, dimana PT. BSSP mengantongi izin lokasi perkebunan kelapa sawit dengan konsesi lahan seluas 20.000 Ha yang berada di atas wilayah hutan dan lahan masyarakat Desa Simpang Rimba dan Bangka Kota, Kabupaten Bangka Selatan Propinsi Bangka Belitung. Bahkan ada lahan yang sudah diperuntukan oleh pihak desa sebagai tempat pemakaman umum juga telah digusur sebagian oleh perusahaan.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UDZic1NjNHJuTGs,2026-06-09T06:45:29.841836+07:00
132,2007,Konflik Warga Desa Simpang Rimba dengan PT. Bumi Sawit Sukses Pratama,"Konflik ini bermula sejak Juni 2007, dimana PT. BSSP mengantongi izin lokasi perkebunan kelapa sawit dengan konsesi lahan seluas 20.000 Ha yang berada di atas wilayah hutan dan lahan masyarakat Desa Simpang Rimba dan Bangka Kota, Kabupaten Bangka Selatan Propinsi Bangka Belitung. Bahkan ada lahan yang sudah diperuntukan oleh pihak desa sebagai tempat pemakaman umum juga telah digusur sebagian oleh perusahaan.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UjFFTDNMUDNJcVE,2026-06-09T06:45:29.841836+07:00
133,2018,Warga Desa Wadas Tolak Tambang Batu untuk Bendungan Bener,"Berdasarkan amdal proyek bendungan bener, lahan yang akan dieksploitasi untuk lokasi quarry (bahan material) seluas 145 hektar dan 8,64 hektarnya untuk jalan akses pengambilan material, dalam penyusunan dokumen amdal dan penerbitan izin lingkungan telah menyebabkan warga Desa Wadas tidak mendapatkan informasi mengenai rencana usaha dan/atau kegiatan yang berdampak penting terhadap lingkungan. Masyarakat tidak dapat menyampaikan saran, pendapat dan/atau tanggapan atas rencana usaha dan/atau kegiatan yang berdampak penting terhadap lingkungan",PLTA,Bendungan,https://tanahkita.id/data/data/konflik/detil/R1dGQi13ekNDZW8,2026-06-09T06:45:29.841836+07:00
134,2017,"Pembangkit Listrik Tenaga Uap Batubara  PT. Sumber Segara Primadaya Cilacap, Jawa Tengah  Perusak Lingkungan Hidup yang Mematikan","Hadirnya PLTU membuat hak warga untuk mendapat udara bersih tercabut. Perampasan tanah juga membuat keadaan hidup masyarakat semakin tidak nyaman dan resah dan menjual tanah serta bangunannya kepada PLTU, tidak hanya wilayah tinggal namun wilayah pertanian yang sejak dulu menjadi sumber mata pencaharian lenyap akibat sawah yang selalu gagal panen",PLTU,Infrastruktur Energi Listrik,https://tanahkita.id/data/data/konflik/detil/U1I0LWR5VGttRzA,2026-06-09T06:45:29.841836+07:00
135,2020,Kriminalisasi Petani Desa Bayu Songon Banyuwangi oleh Perhutani,Supon petani desa Bayu Songgon Banyuwangi ditangkap oleh 6 orang polisi dan 10 orang dari pihak perhutani karena memungut kayu dari hutan yang ada di desanya. Pihak Pihak Perhutani mengklaim bahwa kayu yang dipungut oleh Supon adalah milik Perhutani,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/NDVRNGc0c2ZENjQ,2026-06-09T06:45:29.841836+07:00
136,2018,"Perampasan Tanah Warga untuk Pembangunan Bendungan Pasuruhan, Magelang","Balai Besar Wilayah Sungai Serayu Opak (BBWSSO) berkehendak membangun bendungan di Desa Pasuruhan, Magelang dan sekitarnya. Kabarnya proyek ini akan mensupport debit air sebanyak 70% untuk Yogyakarta dengan rincian 1.100 liter/detik dan 30% sisanya untuk Kabupaten Magelang.",PLTA,Infrastruktur Energi Listrik,https://tanahkita.id/data/data/konflik/detil/VHFncUVLQlJ1bDQ,2026-06-09T06:45:29.841836+07:00
137,2019,Penyerobotan Lahan Warga oleh Perkebunan Karet PT Air Muring di Bengkulu Utara,"Pada 31 Oktober 2019, 7 orang warga Kecamatan Ketahun mengadukan konsesi HGU PT Air Muring kepada BPN Bengkulu Utara. Mereka menuntut ganti rugi lahan warga yang berada di dalam konsesi PT Air Muring.",Perkebunan Karet,Perkebunan,https://tanahkita.id/data/data/konflik/detil/ZUF0c18yM1hzbXM,2026-06-09T06:45:29.841836+07:00
138,2020,"Kriminalisasi dan Ketidakadilan dalam perkara Bongku, Petani Masyarakat Adat Suku Sakai","Bongku Bin Jelodan (Alm) adalah seorang Masyarakat Adat Sakai di Suluk Bongkal, warga RT 01/RW 02, Dusun Suluk Bongkal, Desa Koto Pait Beringin, Kecamatan Talang Mandau, Bengkalis, Riau. Keseharian Bongku adalah bertani tradisional. Untuk menghidupi keluarganya bertanam Ubi Kayu, Bongku menanam Ubi Menggalo (Ubi Racun).

Berawal dari keinginan Bongku membuka lahan untuk ditanami Ubi kayu dan Ubi Menggalo, Bongku menggarap lahan yang merupakan lahan atau tanah ulayat yang saat ini diperjuangkan dan berada di areal Konsesi Hutan Tanam Industri (HTI) PT. Arara Abadi distrik Duri II, Kabupaten Bengkalis. Karena belum memiliki lahan sendiri, Bongku menebang sejumlah pohon eukaliptus dua hari berturut-turut.

Pada Hari Minggu, 3 November 2019, Bongku ditangkap dan ditahan oleh Kepolisian Sektor Pinggir, Kabupaten Bengkalis.",HTI,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/eERvZHZna0hZYVk,2026-06-09T06:45:29.841836+07:00
139,2020,"Kriminalisasi Terhadap 4 Petani Kelapa Sawit di Desa Siambul, Batanggansal, Kabupaten Indragili Hulu, Riau","Indragiri Hulu, Pada 9 Juli 2020, empat petani Siambul yaitu Panta, Inel , Sihai , Hodi, mengalami tindak kekerasan (Penculikan) oleh preman PT Seberida Subur (PT SS) saat menjaga buah sawit hasil panen, kemudian ke-empat petani tersebut dibawa ke Polres In-Hu serta mengalami penahanan selama 1X24 Jam dan saat ini ke â€“empat petani tersebut dilepaskan dengan status sebagai saksi dan diharuskan untuk melakukan wajib lapor.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/bUd6MEZ1cUtmcmM,2026-06-09T06:45:29.841836+07:00
140,2019,Penolakan Masyarakat Hukum Adat Awyu Terhadap Izin dan Keberadaan 7 Perusahaan Perkebunan Kelapa Sawit,Beberapa perusahaan perkebunan sawit mengancam hilangnya tanah atau tempat ritual adat suku awyu dan juga mengancam tempat sumber pencarian pangan untuk pemenuhan hidup dan mata pencarian masyarakat adat suku awyu,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Rnp2S0s1RmY4amM,2026-06-09T06:45:29.841836+07:00
141,2019,Usaha Masyarakat Adat Sabuai dalam Mempertahankan Hutan dari Perusahaan CV Sumber Berkat Makmur,"Puluhan warga Negeri Sabuai memprotes atas penyerobotan hutan adat dan dugaan pembalakan kayu di hutan Gunung Ahwale oleh perusahaan CV Sumber Berkat Makmur (SBM). Hal ini terjadi karena pihak perusahaan bersikeras dan tetap menerobos hutan adat. Oleh karena itu, aksi masyarakat semata-mata untuk membela hak-hak atas hutan dan gunung yang dirampas perusahaan. Hutan itu sangat sakral karena terdapat kuburan leluhur, bahkan lokasi itu adalah kampung lama warga Sabuai. Padahal warga Negeri Sabuai tak memberi izin perusahaan eksploitasi di hutan tersebut. Mereka hanya memberi tiga lahan, yakni, di Hutan Wasaba, Mayaram dan Ihatollus.",Hutan Produksi,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/MUNtV2RsN29UdFk,2026-06-09T06:45:31.592316+07:00
142,2019,Konflik warga 12 Desa di Kecamatan Mandiangin dengan PT Agronusa Alam Sejahtera,Ratusan warga Kecamatan Mandiangin yang berasal dari 12 desa menggelar unjuk rasa di depan Kantor Bupati Sarolangun pada hari anti korupsi sedunia 9 Desember 2019. Mereka menuntut pertanggungjawaban Pemerintah Kabupaten Sarolangun terhadap persoalan konflik lahan mereka dengan PT Agronusa Alam Sejahtera (AAS). PT AAS telah melakukan penggusuran terhadap lahan perkebunan karet serta telah menghilangkan barang bukti dengan melakukan pembakaran. Setidaknya lebih dari 1000 jiwa terdampak mengalami total kerugian sebanyak 250 milyar rupiah.,HTI,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/T0pKYjNoeThXczg,2026-06-09T06:45:31.592316+07:00
143,2019,Penolakan Nelayan dan Masyarakat Pesisir atas Aktivitas Pertambangan Timah di Perairan Bangka,"Aksi penolakan terhadap tambang timah di pesisir Laut Bangka kembali pecah pada Desember untuk kesekian kalinya di tahun 2019. Kali ini dilakukan oleh masyarakat Pesisir Matras, Kelurahan Matras, Kecamatan Sungai Liat, Kabupaten Bangka. Sebanyak puluhan nelayan mengusir Kapal Isap Produksi (KIP) milik mitra PT Timah Tbk di Perairan Matras. Dua KIP yang hendak menuju Pesisir Matras pun pergi berbalik arah.",Timah,Pertambangan,https://tanahkita.id/data/data/konflik/detil/TGJ5YnVyM0RGUTA,2026-06-09T06:45:31.592316+07:00
144,2019,Sengketa Tanah Adat Masyarakat Adat Tabi dengan PT. Bintang Mas,Pembangunan jembatan Holtekamp mengalami hambatan karena ada konflik klaim kepemilikan tanah dengan Masyarakat Adat Tabi.,jembatan,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/Z3NQSk1zRnNKTkU,2026-06-09T06:45:31.592316+07:00
145,2019,PT. KSO Capitol Casagro Merampas Lahan Petani Galela,"Akar persoalan sengketa tanah petani Galela dan perusahaan PT Capitol Casagro sekarang tidak terlepas dari sengketa tanah petani dengan perusahaan sebelumnya. pada tahun 1980 an petani Galela memiliki hak proyek kebun kelapa rakyat yang disepakati oleh pemerintah daerah, Dinas pertanian, dan bank BRI Tobelo. Tahun 1991 tanaman sudah panen dan saat itu juga masuk perusahaan PT Global Agronosa Indonesia dengan tujuan membebaskan tanah petani setempat dengan alasan akan dijadikan perkebunan pisang. Awalnya petani tidak mau menyerahkan tanahnya ke perusahaan. Namun akibat keterlibatan pihak keamanan TNI-Polri yang mempropagandakan bahwa petani Galela Anti Pancasila dan anti negara sehingga petani secara terpaksa menyerahkan tanahnya ke perusahaan.",Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VFlkejdpRm00ZG8,2026-06-09T06:45:31.592316+07:00
146,2019,Konflik Tanah Adat Dayak Hibun dengan PT Mitra Austral Sejahtera,"Konflik antara masyarakat Dayak Hibun Dusun Kerunang dan Dusun Entapang, Desa Kampuh, Kecamatan Bonti, Kabupaten Sanggau sudah berlangsung lebih dari 10 tahun. Tuntutan mereka kepada PT Mitra Austral Sejahtera (PT MAS) untuk mengembalikan tanah adat seluas 1.462 hektar tidak pernah dikabulkan. Sampai pada Maret 2019 kemarin, salah satu masyarakat adat, Redatus Musa bersama dengan Transformasi untuk Keadilan (TuK) Indonesia menggelar konferensi pers agar pemerintah tidak memberikan izin dan mengesahkan upaya PT MAS yang menjual tanah masyarakat.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TFpHR3NWakxaN2s,2026-06-09T06:45:31.592316+07:00
147,2019,Konflik Warga Wasile Selatan dengan Perkebunan Sawit PT Dede Gandasuling di Halmahera Timur,"Sejumlah pemuda dan mahasiswa yang tergabung dalam Alinasi Masyarakat Wasile berunjuk rasa ke Kantor Kecamatan Wasile Selatan, Halmahera Timur pada 18 November 2019. Bersama warga, mereka mendesak pemerintah kecamatan untuk menolak kehadiran perkebunan sawit PT Dede Gandasuling (PT. DGS) yang berencana beroperasi di kebun kelapa, pala, dan cengkeh milik warga. Aksi unjuk rasa tersebut merupakan respon terhadap sosialiasi yang dilakukan PT DGS pada 16-17 Oktober 2019 kepada lima desa terdampak, yaitu: Waijoi, Jikomoi, Loleba, Tanure, dan Yawal.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Wjh1SXEtWldOUkU,2026-06-09T06:45:31.592316+07:00
148,2019,Penolakan Orang Mentawai terhadap HTI PT Biomass Andalan Energi,"Koalisi Pembela HAM Sumatera Barat meminta kepada Menteri Kehutanan dan  Lingkungan Hidup untuk membatalkan izin IUPHHK-HTI PT. Biomass Andalan Energi (PT BAE) pada Oktober 2019 sebagai respon atas terbitnya kembali izin PT BAE pada Desember 2018. Semula KLHK telah membatalkan izin tersebut melalui Dirjen PHPL pada Januari 2018. Izin baru tersebut didapatkan oleh PT BAE melalui proses Pelayanan Perizinan Berusaha Terintegrasi Secara Elektronik (Online Single Submission). Pengeluaran izin ini bukan hanya berpotensi menimbulkan konflik antara warga dengan perusahaan, tetapi juga konflik sosial antar suku di Mentawai.",HTI,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/M1llTHUtdFBIRzQ,2026-06-09T06:45:31.592316+07:00
149,2019,"Konflik antara warga Kabupaten Konawe Kepulauan dengan PT Gema Kreasi Persada, pertambangan","Sepanjang tahun 2019, PT GKP melakukan penerobosan lahan kebun warga di Pulau Wawonii. Pohon jambu mete, kelapa, pala, kakao dan pisang yang selama ini diusahakan warga hilang  sia-sia. Lahan tersebut adalah lahan yang telah mereka kelola selama 30 tahun, dan mereka pun tidak pernah absen membayar pajak.",Nikel,Pertambangan,https://tanahkita.id/data/data/konflik/detil/LTQ4QkpxOVhqUkk,2026-06-09T06:45:31.592316+07:00
150,2020,Konflik Hutan Adat Laman Kinipan dengan Perkebunan Sawit PT. Sawit Mandiri Lestari (PT. SML),"Pada 25 Juli 2019 warga adat Laman Kinipan mengusir eksavator yang tengah membabat hutan mereka. PT. Sawit Mandiri Lestari (PT. SML), perusahaan perkebunan sawit membabat hutan adat Laman Kinipan sejak 2018. Padahal, menurut penuturan ATR/BPN wilayah hutan adat Kinipan berada di luar HGU perusahaan tersebut.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/XzNwSGVzVDRLd0E,2026-06-09T06:45:31.592316+07:00
151,2020,Konflik Petani di 5 Kabupaten dengan PT WKS (Perusahaan Meracuni Tanaman Petani),"Konflik PT WKS dengan masyarakat sekitar areal konsesinya seakan tidak pernah berhenti. Pada April 2020 ketika Indonesia sedang dilanda darurat COVID-19 beredar video yang direkam oleh warga: seseorang yang mengaku sebagai kontraktor perusahaan menerbangkan drone yang kemudian menyemprotkan cairan putih ke lahan warga yang ditanami sawit, yang merupakan lahan adat masyarakat Dusun Pelayang Tebat, Desa Lubuk Mandarsah, Kecamatan Tengah Ilir, Kabupaten Tebo. Tanaman warga diracuni perusahaan.",HTI,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/ME1KOWREWThfVkU,2026-06-09T06:45:32.726994+07:00
152,2020,Sengketa lahan antara masyarakat dan korporasi perkebunan besar swasta sawit PT HMBP (Best Group).,"Seorang petani di Desa Penyang ditangkap di kebun sawitnya sendiri, dianggap telah mencuri tandan buah sawit di area konsesi PT. Hamparan Mas Sawit Bangun Persada (PT. HMBP).",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/a2RuRTk5MUNRV1E,2026-06-09T06:45:32.726994+07:00
153,2019,"Konflik pembebasan lahan warga Patimban dengan Megaproyek Pelabuhan Internasional Patimban, Subang.","Pemerintah Jokowi menetapkan pembangunan Pelabuhan Internasional Patimban sebagai Proyek Strategis Nasional. Inisiasi pembangunan dimulai pada 2018 dengan bantuan dana dari JICA. Meski begitu, sampai bulan Desember 2019, masih ada warga yang belum menerima ganti rugi atas hak miliknya.",Pelabuhan,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/eUM0aE1CQlRDOW8,2026-06-09T06:45:32.726994+07:00
154,2019,Ancaman Kriminalisasi Sengketa Lahan antara Kelompok Tani Masyarakat Adat Dayak Tamuan dengan Perkebunan Sawit PT Sapta Karya Damai,"Sengketa lahan antara PT Sapta Karya Damai (PT. SKD) dengan Kelompok Tani Masyarakat Adat Tamuan Desa Penyang Kabupaten Kotawaringin Timur, Kalimantan Tengah diawali pada tahun 2011 ketika PT. SKD melakukan penanaman di area lahan perkebunan masyarakat adat yang tergabung dalam Kelompok Tani Kambas Bersatu.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TnY4S0RyV3BQVVE,2026-06-09T06:45:32.726994+07:00
155,2020,"Pembakaran Pondok Masyarakat Kelompok Tani Mafan , Desa Sedang, Kab. Banyuasin","Pada 2 April 2020, Pihak PT. MAR mendatangi lahan milik Kelompok Tani Mafan di Desa Sedang, Kecamatan Suak Tapeh, Kabupaten Banyuasin. Puluhan orang perusahaan didampingi aparat kepolisian hendak menggusur pondok-pondok petani yang diduga akan dijadikan kebun sawit.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UWpyTWNSam1STjg,2026-06-09T06:45:32.726994+07:00
156,2020,Konflik PT. Arga Prigel dengan Masyarakat Desa Pagar Batu,"Jakarta, 28 Maret 2020 â€” Pandemi Corona Virus Disease (Covid-19) yang masuk ke Indonesia tidak menghentikan situasi konflik agraria, kriminalisasi dan kekerasan terhadap pejuang agraria. Bahkan di tengah konsentrasi menghentikan laju virus yang sedikitnya telah mengakibatkan sedikitnya 78 orang, (per 26 maret) Virus bernama konflik agraria pada 21 Maret 2020 bekerja membunuh 2 orang warga Desa Pagar Batu, Kecamatan Pulau Pinang, Kabupaten Lahat. Dua orang petani dibunuh oleh virus konflik melalui petugas keamanan PT. Artha Prigel adalah Suryadi (40 tahun/ laki) dan Putra Bakti (35tahun/ Laki). Dalam peristiwa pembunuhan ini, Polisi yang berada di lokasi tidak mengambil posisi melindungi rakyat yang berjuang mempertahankan tanah sebagai sumber kehidupannya. Polisi yang berada di lokasi justru berada di barisan keamanan perusahaan.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/MS1uUDNRZlIyREk,2026-06-09T06:45:32.726994+07:00
157,2017,Rencana Pembangunan Rumah Deret yang Menggusur Warga RW 11 Tamansari Bandung,"Kasus ini berawal dari ajakan buka bersama saat bulan puasa di rumah dinas Walikota Kota Bandung yang mana sebagian warga Tamansari diundang ke dalam acara tersebut. Alih-alih silaturahmi, ternyata acara tersebut diisi dengan sosialisasi Rumah Deret oleh Pemkot Bandung sehingga membuat warga yang hadir terheran-heran dan kaget mendengan sosialisasi yang mendadak ini. Warga merasa dijebak. Menurut Pemkot, pembangunan Rumah Deret Tamansari didasari oleh perraturan UU No. 2 tahun 2012 tentang Pengadaan Tanah Bagi Pembangunan untuk Kepentingan Umum Pada SK Pertamanan Kota Bandung No. 538.2/1325A/DPKP3/2017 tertulis mengenai penetapan kompensasi bangunan, mekanisme relokasi dan pelaksanaan pembangunan Rumah Deret Tamansari.",Perumahan,Infrastruktur,https://tanahkita.id/data/data/konflik/detil/V0ZSNjAycHM4Ukk,2026-06-09T06:45:32.726994+07:00
