nama_perusahaan,jenis_badan_usaha,provinsi,nib,npwp,telepon,email,alamat,jumlah_izin,jumlah_izin_nikel,jumlah_izin_lainnya,status_iup,komoditas,golongan,lokasi_izin,total_luas_ha,nilai_investasi_usd_juta,nilai_investasi_idr_miliar,tahun_investasi,kapasitas_produksi_ton_tahun,jenis_kapasitas,status_operasional,sumber_data_investasi,sumber_data_kapasitas,catatan
CINTA JAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120018002548,001411664*******,,,"JL. TIMAH V NO. 9 MAKASSAR , SULAWESI SELATAN TELP. 0411- 424641 FAX. 0411- 442145",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,309.00,,,,,,,,,
CIPTA DJAYA SELARAS MINING,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0204010202869,080431929*******,0411811912,ptciptadjayaselarasmining@gmail.com,"SOPO DEL OFFICE TOWER AND LIFESTYLE A TOWER LANTAI 19, JL. MEGA KUNINGAN BARAT III Lot 10. 1-6",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,634.80,,,,,,,,,
CIPTA DJAYA SURYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120119172315,002308865*******,082221091188___,,"JL. H.A. MAPPANYUKKI NO 76 RT 004 RW 001, MARISO, MARIO, MAKASSAR - SULAWESI SELATAN",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,195.70,,,,,,,,,
CITRA ARYA SENTOSA HUTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,2108220013196,002540873*******,,,"TAMARA CENTER SUITE 701, Jl. Jend. Sudirman Kav. 24, Jakarta 12920",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,420.00,,,,,,,,,
CITRA SILIKA MALLAWA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120012241991,003135028*******,085342022669,SCMMKS@YAHOO.COM,"JL. PENGAYOMAN JASPER III NO. 7 KEL. MASALE, KEC. PANAKKUKANG, KOTA MAKASSAR, SULAWESI SELATAN 90231",1,1,0,LEGAL,Nikel,,KAB. KOLAKA UTARA,475.00,,,,,,,,,
DAKA GROUP,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120007511442,002334614*******,082299158999,pt.dakagroup@yahoo.com,JL. KONGGOASA NOMOR 26,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,200.00,,,,,,,,,
DHARMA BUMI KOLAKA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120005541454,002505530*******,0216322680,kolakadharmabumi@gmail.com,"Jalan A.M. Sangaji Nomor 11H, Kelurahan Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA,1075.00,,,,,,,,,
DWIMITRA MULTIGUNA SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120011101754,002504863*******,,,JL. GEDUNG WISMA 46 KOTA BNI SUITE 1608 LT. 16 JL. JEND. SUDIRMAN KAV. 1 JAKARTA PUSAT TELP. 021- 572 7501 FAX. 021- 572 7501,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,130.00,,,,,,,,,
ELIT KHARISMA UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120003850593,002189481*******,,,"Jl. Malaka No.16 RT.020 RW.007, Andonohu, Poasia, Kota Kendari, Sulawesi Tenggara 93231",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,496.10,,,,,,,,,
ENERGI PRIMA SENTOSA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0811210043063,002605245*******,,,JL. MANGGA BESAR RAYA NO.41 KEL.TANGKI KEC. TAMANSARI JAKBAR,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,3638.00,,,,,,,,,
FATWA BUMI SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0273010122779,002946483*******,,fatwabumisejahtera@gmail.com,JL.DR.SAM RATULANGI NOMOR 75,1,1,0,LEGAL,Nikel,,KAB. KOLAKA UTARA,99.00,,,,,,,,,
GEMA KREASI PERDANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120214102266,001955146*******,04013090155,,Jalan Martandu No. 97 RT 007 RW 003 Kelurahan Anduonohu Kecamatan Poasia Kota Kendari,2,2,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE; KAB. KONAWE KEPULAUAN,1808.90,,,,,,,,,
GEMILANG MULTI MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1221000711403,042060182*******,0213904701_____,,Jl. KH. WAHID HASYIM No.53,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,5645.00,,,,,,,,,
GENERASI AGUNG PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1228000712189,002487801*******,081802060545___,,JL. POROS BANDARA HALUOLEO,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,584.00,,,,,,,,,
GEOMINERAL INTI PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120212280162,002907095*******,0215152429,geomineralintiperkasa@gmail.com,"Indonesia Stock Exchange Building, Tower I, Lt. 17, Suite 1701, Jl. Jend. Sudirman, Kav. 52-53, Lot 2",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,1398.00,,,,,,,,,
GERBANG MULTI SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120014142209,002556234*******,62215154118____,,"INDONESIA STOCK EXCHANGE BUILDING, TOWER 1 LANTAI 29 SUITE 2903 JL. JEND. SUDIRMAN KAV 52-53, SENAYAN - KEBAYORAN BARU, KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, 12190   TELP. (+62) 21-5154118",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,2301.62,,,,,,,,,
HIJRAH SAWITTO MARIORITA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0704230025393,001732207*******,,,"Jalan Kwitang Raya Nomor 8 Desa/Kelurahan Kwitang, Kecamatan Senen",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,5055.85,,,,,,,,,
HOMKEY INTI PRIMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1508220053273,002900803*******,,,"GEDUNG PATRA OFFICE TOWER LT. 17 RUANG 1704, JL. JEND.
GATOT SUBROTO KAV 32-34 
Kode Pos: 12950",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,4870.00,,,,,,,,,
IFISHDECO,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120214190683,001306430*******,0215704988_____,,"Gedung Sahid Sudirman Center, Lantai 42 F, Jalan Jenderal Sudirman nomor 86, Desa/Kelurahan Karet Tengsin, Kec. Tanah Abang,
Kota Adm. Jakarta Pusat, Provinsi DKI Jakarta, 10250",1,1,0,LEGAL,Nikel,,KAB. KONAWE SELATAN,920.20,,,,,,,,,
INDONUSA ARTA MULYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1233000522926,002796724*******,,,GEDUNG GAJAH UNIT AJ.LT.4. JL.DR.SAHARJO NO.111 JAKSEL,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,394.00,,,,,,,,,
INDRA BUMI MULIA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,null_17452,,,indrabumimulia.pt@gmail.com,"Jalan Minangkabau Nomor 46, Kel. Pasar Manggis, Kec. Setiabudi. Kode pos 12970",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,198.00,,,,,,,,,
INDRABAKTI MUSTIKA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120304122449,001331654*******,021 3453888,,Jl. Batu Jajar No. 37 Jakarta 10120 Indonesia,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,576.00,,,,,,,,,
INTAN PERDHANA PUSPA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,2610210057236,01831736*******,085399166619___,intanperdhanapuspa@gmail.com,"PERKANTORAN GRAHA MAS BLOK B-3, JL. RS. FATMAWATI NO.71",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,3000.00,,,,,,,,,
INTEGRA MINING NUSANTARA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120019122656,002605225*******,081911171213___,,"JL. CIPINANG CEMPEDAK I/38-C RT. 013 RW. 003 JATINEGARA, JAKUT & PATRA JASA BUILDING 11TH SUITE #1143 JL. GATOT SOEBROTO KAV 32-34 JAKARTA 12950 TELP. 021-525992 & GEDUNG PATRA JASA LT. 11 SUIT ROOM 1111 JL. JEND. GATOT SUBROTO KAV. 32-34, JAKARTA SELATAN",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,100.00,,,,,,,,,
JAGAD RAYATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120105521407,02692712*******,,,"JL. CIDENG TIMUR NO.12A RT.005 RW.04, PETOJO UTARA, GAMBIR JAKARTA PUSAT",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,1670.00,,,,,,,,,
KABAENA KROMIT PRATHAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120400621691,02488101*******,,,"GRAHA ASRI EE NO. 10 KEL. WATULONDO, KENDARI SULAWESI TENGGARA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,102.60,,,,,,,,,
KACCI PURNAMA INDAH,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1262000482599,001708353*******,085332800852___,kaccipurnamaindah@gmail.com,"JALAN BRIGJEN M. JOENOES NO. 8, Kel. Korumba, Kec. Mandonga",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,419.00,,,,,,,,,
KARYA ALAM ABADI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120501850899,003190893*******,02129339207____,,"APL Tower Central Park Lantai 39, Jl. Letjen S. Parman Kav 28, RT.12/RW.7 Petamburan, Kec. Grogol petamburan, Kota Jakarta Barat, DKI Jakarta 11440",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,1036.00,,,,,,,,,
KARYA ENERGI MAKMUR,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0811210042635,002663181*******,021- 53652226,,JL. S. PARMAN KAV. 37 B JAKARTA BARAT 11480-INDONESIA,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,3803.00,,,,,,,,,
KARYA PUTRA KONTARA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0206010102589,002678777*******,082197309464,ptkaryaputrakontara@gmail.com,"JL.HALUOLEO, RT 001, RW 003, MOKOU, KAMBU, KENDARI",1,1,0,LEGAL,Nikel,,KAB. KONAWE UTARA,7672.00,,,,,,,,,
KARYATAMA KONAWE UTARA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120202702924,002678779*******,081990911992,,"KABUPATEN KONAWE UTARA, SULAWESI TENGGARA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,3119.00,,,,,,,,,
KASMAR TIAR RAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0809250060132,002275794*******,085242799127,kasmartiaraya955@gmail.coM,JL.GEDUNG ABA LPI UNIT 101 JL. CIKINI RAYA NO.64,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA UTARA,955.00,,,,,,,,,
KELOMPOK DELAPAN INDONESIA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120100541369,002275854*******,02157956866____,legaldoc@kdi.co.id,"Jl. Penjernihan 1, RT.5/RW.7, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,226.51,,,,,,,,,
KEMBAR EMAS SULTRA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1201220011802,002334585*******,02139713333____,,"Jalan Bunga Seroja Nomor 21, Kel. Lahundape, Kec. Kendari Barat, Kota Kendari, Provinsi Sulawesi Tenggara 93127",2,2,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,570.00,,,,,,,,,
KONAWE NIKEL NUSANTARA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120114020837,002566634*******,02129379300,Konawenikelnusantara@gmail.com,JL. BALAI KOTA I PERUM DOLOG NO. 2,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,373.80,,,,,,,,,
KONAWE UTARA INDO MINERAL MINING,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120303882976,021025713*******,0216915525,,"Rukan Batavia Blok N-O. Jl.Tiang Bendera V Nomor 41- 43, Roa Malaka, Tambora, Jakarta Barat 11230",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,2000.00,,,,,,,,,
KONUT JAYA MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1282000310993,080320556*******,,,"JL SULTAN HASANUDDIN NO 67, KEL. TIPULU, KEC. KENDARO BARAT, KOTA KENDARI",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,732.20,,,,,,,,,
KONUTARA PRIMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120001563105,002678776*******,,,"MENARA BATAVIA LANTAI 6, JL. K.H. MAS MANSYUR KAV.126 JAKARTA 10220, INDONESIA TELP. 021-5793-0294, FAX. 021- 5793-0295",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,2827.00,,,,,,,,,
KONUTARA SEJATI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120001563601,002678785*******,,,"TCC Batavia Tower One Lantai 12 Jl. KH Mas Mansyur Kav.126 Kel. Karet Tengsin, Kec. Tanah Abang, Jakarta Pusat 10220",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,1923.00,,,,,,,,,
LAEYA CIPTA GUNA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120509773105,081944004*******,085399976356,ptlcgkendari@gmail.com,"jl Bunga Cempaka No. 1 Kel. Kemaraya, Kec. Kendari Barat Kota Kendari Provinsi Sulawesi Tenggara",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,1185.00,,,,,,,,,
LAWAKI TIAR RAYA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0302250099323,021024891*******,02184597901____,,"Jl. Palem Kartika No.15 Bambu Apus - Cipayung, Jakarta Timur 13890",2,2,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA UTARA,3861.00,,,,,,,,,
MACIKA MADA MADANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120211141637,02527577*******,,,GEDUNG INTI CENTRE LT 3 JL. TAMAN KEMANG NO. 32A JAKARTA SELATAN 021-7199711,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,705.00,,,,,,,,,
MADANI SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0407220009934,02448303*******,02129508809____,,GEDUNG MENARA APL UNIT T1 KAV 28 LT 20 JL LETJEND S PARMAN,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,2014.00,,,,,,,,,
MAKMUR LESTARI PRIMATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120101892733,002590029*******,02139713333,pt.makmurlestariprima@gmail.com,"CITRA TOWERS KEMAYORAN LT. 18 B/A-E, JL. BENYAMIN SUAEB KAV. A6",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,407.00,,,,,,,,,
MANUNGGAL SARANA SURYA PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120008290596,001732262*******,,,"JL. AHMAD YANI NO. 193 KEL. KADIA KEC.BARUGA, KENDARI, SULAWESI TENGGARA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,284.92,,,,,,,,,
MANYOI MANDIRI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0241000981913,002702170*******,,,"Jl. AP. PETTARANI RUKO PETTARANI CENTRE B.17, Desa/Kelurahan Tidung, Kec. Rappocini, 
Kode pos: 90221",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BOMBANA,1731.62,,,,,,,,,
MARGO KARYA MANDIRI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120006770981,002567959*******,0217202143,margokarya.adm@gmail.com,"Gedung Graha Surveyor Indonesia Lt. 15, Jl. Jenderal Gatot Subroto Kav. 56",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BOMBANA,2128.00,,,,,,,,,
MASEMPO DALLE,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,2312240068117,002385670*******,,,"JL CEMPAKA PUTIH NO. 3, WUA-WUA
KOTA KENDARI",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,103.20,,,,,,,,,
MEGA TAMBANG INDONESIA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120218151716,71382928*******,0811861121_____,,"JL. POROS KENDARI - ANDOOLO DESA WAWONGGURA (SAMPING RUJAB CAMAT PALANGGA) KAB. KONAWE SELATAN, SULAWESI TENGGARA - 93387",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,1758.00,,,,,,,,,
MEGA TAMBANG NIKEL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120312101748,72984805*******,0811861121_____,,"JL. POROS KENDARI - ANDOOLO DESA WAWONGGURA (SAMPING RUJAB CAMAT PALANGGA) KAB. KONAWE SELATAN, SULAWESI TENGGARA - 93387",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,2466.00,,,,,,,,,
META ADHI PERDANA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,2706230106048,084516296*******,022122379239___,,"Gedung Cendrawasih, Jl. Warung Jati Barat No.24, Kel. Duren Tiga, Kec. Pancoran, Kota Jakarta Selatan, DKI Jakarta",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,165.50,,,,,,,,,
MINING MAJU,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0312210025235,002505461*******,085292000080___,,"GEDUNG CITY LOFT LT.11 SUITE 17, JL KH MAS MANSYUR NO 121, KARET TENGSIN, TANAH ABANG",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA UTARA,227.00,,,,,,,,,
MITRA UTAMA RESOURCES,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120408703013,003107245*******,,,JL. MALAKA KOMPLEKS RUKO CITRALAND G1 NO.2 RT:000 RW:000 ANDUONOHU POASIA KOTA KENDARI SULAWESI TENGGARA,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,237.90,,,,,,,,,
MODERN CAHAYA MAKMUR,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120112181654,002663182*******,02129379200____,,"GEDUNG GREEN CENTRAL CITY AREA KOMERSIAL LT. 2 JL GAJAH MADA GREEN CENTRAL CITY AREA KOMERSIAL LT 2, Nomor 188, RT 009, RW 005 KEL. GLODOK KEC. TAMANSARI JAKARTA BARAT 11120 DKI JAKARTA",2,2,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,6575.00,,,,,,,,,
MODERN ENERGI MINERAL,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0811210040767,002145158*******,021- 2801000,,JL. MATRAMAN RAYA 12 JAKARTA 13150- INDONESIA,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,3364.00,,,,,,,,,
MUDA PRIMA INSAN,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120118182698,001538574*******,0811925829,mudaprimainsan@gmail.com,Bellagio Boutique Mall Unit OUG-25. Jl. Mega Kuningan Barat Kav. E 4.3 Kawasan Mega Kuningan.,1,1,0,LEGAL,Nikel,,KAB. KONAWE,1000.00,,,,,,,,,
MULIA MAKMUR PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1218000212337,002426597*******,,,"LINGK II BATU PUTIH RT 01/04 KAB KOLAKA & JL. MATRAMAN RAYA NO 53, KEL PALMERIAM, KEC. MATRAMAN JAKARTA TIMUR",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA UTARA,2450.00,,,,,,,,,
MUSHAR UTAMA SULTRA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0912210032138,002832997*******,082284397639,musharutamasultra1103@gmail.com,"JL. KELURAHAN ASINUA 1, UNAAHA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,136.00,,,,,,,,,
NARAYANA LAMBALE SELARAS,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120306381236,71600454*******,,,"Jl. Komjen Pol. M. Jasin No. 88, Kel. Mokoau, Kec. Kambu (belakang Kantor Polda Sulawesi Tenggara), Kendari, Provinsi Sulawesi Tenggara",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. BOMBANA,414.00,,,,,,,,,
NIKELINDO SURYAKENCANA AGUNG,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0220301732197,81851138*******,,,"Gold Coast Office PIK Tower Eiffel Lantai 20 F, Pantai Indah Kapuk St",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,2654.00,,,,,,,,,
PANDU URANE PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120004822773,092632504*******,082190372077,pandu.uraneperkasa2022@gmail.com,Jalan Banda BTN Bukit Damai Abadi Blok M/15,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,1665.00,,,,,,,,,
PANJI NUGRAHA SAKTI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,9120003931286,002856934*******,04013417966,panjinugrahasakti64@gmail.com,Jalan Sao-sao Nomor 81-B,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,1883.00,,,,,,,,,
PARAMITHA PERSADA TAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120013041546,021005367*******,628119054888,paramithapt.info@gmail.com,JL. CHAIRIL ANWAR PERUMAHAN ILHAMI RESIDENCE BLOK C NO. 2 ,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,175.00,,,,,,,,,
PATOWONUA CIPTA MANDIRI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,2011210001133,002263866*******,082197244473___,,"Jl. Gunung Tojabi, Desa Tojabi Lasusua - Kolaka Utara",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,197.00,,,,,,,,,
PATRINDO JAYA MAKMUR,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120111181721,02621212*******,0215704988,pt.patrindojayamakmur@gmail.com,"GEDUNG SAHID SUDIRMAN CENTER, 42th FLOOR UNIT F, G, H, 
JALAN JENDERAL SUDIRMAN NOMOR. 86",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA UTARA,500.00,,,,,,,,,
PD. ANEKA USAHA KOLAKA,Perusahaan Umum Daerah (Perumda),Sulawesi Tenggara,2805240043286,01111556*******,04052323307____,PD_ANEKAUSAHA@YAHOO.COM,"JL. BENDUNGAN KOMP.BTN KHR NO.A1, BALANDETE, KOLAKA, KAB. KOLAKA, SULAWESI TENGGARA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA,340.00,,,,,,,,,
PELANGI UTAMA JAYA MANDIRI,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1808220060195,001973632*******,,,"GEDUNG PATRA OFFICE TOWER LT 17 RUANG 1704, JL. JEND GATOT SUBROTO KAV 32-34, KEL. KUNINGAN TIMUR, KEC, SETIABUDI, KOTA ADM. JAKARTA TIMUR, PROV DKI JAKARTA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE,2375.00,,,,,,,,,
PERTAMBANGAN BUMI ANOA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1277000351464,080266847*******,081190049432,info-pba@pertambanganbumianoa.co.id,"APL Tower Lantai 38 Unit T5-6, Jl. Letjend S. Parman Kav 28",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE SELATAN,626.00,,,,,,,,,
PERTAMBANGAN BUMI INDONESIA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120315140169,002437094*******,0778467596_____,,"JL. BATAM CENTRE INDUTRIAL STATE BLOK A, BATAM INDONESIA TLP. 0778- 467596, 469297",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,5923.00,,,,,,,,,
PERTAMBANGAN NICKEL SULAWESI TENGGARA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120115200748,02488457*******,085395882362___,,JL. PROTOKOL N0.40 POMALAA-KOLAKA & JL. PROTOKOL NO.45 DAWI-DAWI POMALA,2,2,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA; KAB. KONAWE UTARA,647.00,,,,,,,,,
PRIMASTIAN METAL PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,8120217032936,081896123*******,0403190520,primastianpratama@gmail.com,JL LAODE HADI BY PASS,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,102.00,,,,,,,,,
PUTRA DERMAWAN PRATAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0220206232253,002857273*******,0401 3125888,pdpkendari@gmail.com,"JL. GUNUNG MELUHU NO.8, KENDARI, SULAWESI TENGGARA",2,2,0,LEGAL,Nikel,,KAB. KOLAKA UTARA,881.00,,,,,,,,,
PUTRA INTISULTRA PERKASA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1203000351267,001493489*******,085351298375,pt.pip.nikel@gmail.com,"Jalan Doktor Sutomo, Griya Rafas Lalodati B.10",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,261.00,,,,,,,,,
PUTRA KENDARI SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,0602230024058,083815801*******,085255225599___,,"JL. CEMPAKA PUTIH NO.03 RT.002 RW.005, KEL. WUA-WUA, KEC. WUA-WUA, KOTA KENDARI, PROV. SULAWESI TENGGARA",1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,218.00,,,,,,,,,
PUTRA KONAWE UTAMA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1264000320691,080529533*******,02129339511,pku.mining@gmail.com,JL. SULTAN HASANUDDIN NO. 67,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KONAWE UTARA,4845.00,,,,,,,,,
PUTRA MEKONGGA SEJAHTERA,Perusahaan Perseroan Terbatas (PT),Sulawesi Tenggara,1011210022284,002013782*******,04052310248,,JL. PROTOKOL NO. 21 DAWI-DAWI POMALAA,1,1,0,LEGAL,Nikel,Mineral Logam,KAB. KOLAKA,388.00,,,,,,,,,
