nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
MEKAR INDAH BERMANFAAT,22022200680890002,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,27.4
MEKAR JAYA MORAMO,02530101600240005,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2024,37.03
MENDUI PUTERA ABADI,25052200076390001,Perusahaan Komanditer (CV),Batu Gamping,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2024,28.5
MERDEKA MINERAL INDONESIA,27072200719290002,Perusahaan Perseroan Terbatas (PT),Besi,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE,2022,6067.0
MERPATI PRATAMA SUKSES,21/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2024,2307.0
MINERAL ABADI DJOJO,03062200491590004,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,59.4
MINERAL BUMI NUSANTARA,91201091906320013,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,155.0
MINERAL BUMI PULUTI,12700007213330003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,84.0
MINERALINDO ALAM NUSANTARA,16112200853390022,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,78.6
MINERALINDO BERKAH SEMESTA,04072300655090004,Perusahaan Perseroan Terbatas (PT),Grafit,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2024,189.13
MINERAL SUMBER ARTHA,06122200269290002,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2024,35.23
MITRA ANUGRAH,81200121720890003,Perusahaan Komanditer (CV),Batuan,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE BOLANGO,2024,43.75
MITRA BERKARYA SEJATI,39/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU TIMUR,2023,3807.0
MITRA BERLIAN PRATAMA,91203150029330005,Perusahaan Perseroan Terbatas (PT),Basalt,OPERASI PRODUKSI,Gorontalo,KAB. GORONTALO UTARA,2022,46.3
MITRA CELEBES STEEL INDONESIA,81202048239090005,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,66.0
MITRA JAYA PERKASA ABADI,10/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,1086.0
MITRA KARYA AGUNG LESTARI,540/809/DISESDM-G.ST/2016,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2016,743.0
MODERN ENERGI MINERAL,1146/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2022,3364.0
MOEDA JAYA SEJAHTERA,25122200085830004,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,38.77
MOFARAH ENERGI TOPOGARO,27092100361650007,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,93.15
MOLYNCO ASIA INDOTAMA,987/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. BUTON SELATAN,2021,4984.6
MONUMEN ENERGI NUSANTARA,12980004121160026,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Utara,KAB. BOLAANG MONGONDOW,2023,1808.25
MORAMO GAMPING MAKMUR,22022200831170011,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tengah,KAB. BANGGAI,2024,2340.0
MOROWALI BANGKIT SEJAHTERA,867/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gamping,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2021,788.0
MOROWALI NUSANTARA MINERAL,02204008614940012,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,7.2
MOSA INTI RAYA,920/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,"KAB. BUTON, KAB. BUTON SELATAN",2021,4924.0
MUDA BERSATU DJAYA,17072401012920002,Perusahaan Perseroan Terbatas (PT),Kuarsit,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU,2024,196.0
MULIA JAYA MOROWALI,30112300746480009,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,50.27
MULIA SILIKA INDONESIA,23032200277050004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,296.6
MURIND PERSADA,81200049821730002,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,15.0
MUTIARA PERDANA ABADI,02470110120240002,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2022,25.0
MUTIARA SELATAN,04012300481880001,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,5.0
Nadya Sederhana Membangun,12610001210180004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,80.0
NAGA MAS SULTRA,1088/DPM-PTSP/XII/2018,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2018,92.19
NARAYANA LAMBALE SELARAS,91203063812360007,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2023,414.0
NATURAL PERSADA MOROWALI,91203039514310001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,93.0
NETRAL PINRANG,07062200241340009,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PINRANG,2023,16.6
NOVUS BUMI PERSADA,15062300879570015,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,98.0
NURDIN KADIR,91201001712560002,Perseorangan (SDR),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,5.0
NUSAJAYA PERSADATAMA MANDIRI,91203036116790007,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,1825.0
NUSA MINERAL SEMESTA,12/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,1015.0
OPTIMA JAYA SAKTI,12350005028030007,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),EKSPLORASI,Sulawesi Selatan,KAB. GOWA,2024,8.95
OTI EYA ABADI,540/364/IUP-OP/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2018,3339.23
PADANG LAMPE SEJAHTERA,05052300225890003,Perusahaan Perseroan Terbatas (PT),Clay,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,46.09
PALEWAI REZEKI PAMMASE,22042200511470003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,23.0
PALU BARUGA YAKU,12/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,249.7
PALU BATU MADU,12450024322680010,Perusahaan Perseroan Terbatas (PT),Batuan,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,28.6
PAM MINERAL,81203140114920005,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,198.0
PANCA DIGITAL SOLUTION,7/1/IUP/PMA/2024,Perusahaan Perseroan Terbatas (PT),Besi,EKSPLORASI,Sulawesi Selatan,KAB. LUWU TIMUR,2024,1168.0
PANCA DIGITAL SOLUTION,58/1/IUP/PMA/2017,Perusahaan Perseroan Terbatas (PT),Besi,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU TIMUR,2017,329.08
PANDU URANE PERKASA,244/DPMPTSP/V/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2017,1665.0
PANJI NUGRAHA SAKTI,01/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2024,1883.0
PANORAMA FATUTOKO GRUP,10042200148540004,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,75.44
PANRITA BERKAH UTAMA,16072200024190001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,20.0
PARAMOS REZEKI INDAH,35/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU TIMUR,2023,6639.0
PASIR PUTRA UTAMA,20092201088440004,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),EKSPLORASI,Sulawesi Barat,KAB. MAMUJU TENGAH,2023,17.25
PASI WITA AKSATA,02202081925080001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,97.57
PATRINDO JAYA MAKMUR,305/DPMPTSP/V/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2019,500.0
PD. ANEKA USAHA KOLAKA,299/DPM-PTSP/IV/2018,Perusahaan Umum Daerah (Perumda),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2018,340.0
PELANGI UTAMA JAYA MANDIRI,26/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE,2024,2375.0
PENINSULA KAPUR PRIMA,26092200773760003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,97.0
PENTA DHARMA KARSA,540/624/DISESDM-G.ST/2016,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2016,1220.0
PERDANA GEOMINE MANDIRI,23082300750070001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,24.0
PERINTIS,503/DPMPTSPD/IUP-OP/139/VIII/2020,Koperasi,Emas,OPERASI PRODUKSI,Sulawesi Utara,KAB. BOLAANG MONGONDOW,2020,100.0
PERMATA INDAH MATABOLO,27122100117670016,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,94.3
PERTAMBANGAN BUMI ANOA,1119/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2022,626.0
PILAR BATU SULAWESI,14072400153150014,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Barat,KAB. MAMUJU,2024,97.6
PIRANTI JAGADRAYA,91204058905960030,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU,2023,11.76
POLEMAJU MINERAL MANDIRI,13032200127490004,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU,2023,79.0
PONRO KANNI,25102201352990003,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PINRANG,2024,16.66
PRATAMA MINERAL INTERNATIONAL,1368/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KOTA KENDARI,2021,0.0
PRIMA BANGUN PERSADA NUSANTARA,43/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2023,450.0
PRIMA BERKAT MINERAL,91204013511940003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,187.41
PRIMA DHARMA KARSA,540/637/IUP-OP/PGH/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2016,938.0
PRIMA LESTARI SEJAHTERA GEMILANG,91202038002260004,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,19.35
PRIMA MINERAL ABADI,91203012011480003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,495.35
PRIMA MOROWALI SEJAHTERA,02240102113090003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,164.45
PRIMASTIAN METAL PRATAMA,218/DPM-PTSP/III/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2018,102.0
PT MITRA SULAWESI BERSAMA,18/1/IUP/PMDN/2023,Perusahaan Umum (Perum),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,606.0
PUTERA SIUNA PERKASA,23022200774630006,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2023,52.0
PUTRA ELAN BALINDO,1501/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2021,17.86
PUTRA INTISULTRA PERKASA,70/DPMPTSP/II/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2019,261.0
PUTRA KOLAKA SEJAHTERA,496/DPM-PTSP/VI/2018,Perusahaan Perseroan Terbatas (PT),Pasir Kuarsa,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2018,199.59
PUTRA MEKONGGA SEJAHTERA,652/DPMPTSP/XI/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2017,388.0
PUTRA SEJAHTERA MEMBANGUN,25112200632560003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,87.0
PUTRA TUNGGAL CEMERLANG,91203007338150004,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Selatan,KAB. GOWA,2023,6.14
PUTRA UTAMA SUKSES,81200111127450001,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KOTA KENDARI,2024,0.0
PUTRI GLORY ELSHADAY,46/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE,2023,4086.0
PUTRI PERDANA,11/1/IUP/PMDN/2024,Perusahaan Komanditer (CV),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,205.6
RAGAM TAMBANG INDONESIA,03052401001110001,Perusahaan Komanditer (CV),Granodiorit,EKSPLORASI,Gorontalo,KAB. GORONTALO,2024,2.3
RAGA UTAMA,91201056729470006,Perusahaan Komanditer (CV),Tanah Urug,EKSPLORASI,Sulawesi Selatan,KAB. MAROS,2024,9.8
RAHMAH CIPTA KHATULISTIWA,81203171229260001,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,10.0
RAIHAN CATURPUTRA,540/679/IUP-OP/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2018,688.0
RAODAH BUMI SULTRA,736/DPMPTSP/XII/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2020,1699.0
REJEKI ALAM SULTRA,91205013228120002,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2023,83.2
REKAYASA BUMI MOROWALI,91202069513320004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,34.6
REKHABILA UTAMA,02200002004690002,Perusahaan Perseroan Terbatas (PT),Tras,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BARRU,2024,4.3
REZKY BATU KAPUR,91204160719010002,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE,2023,199.31
REZKY UTAMA JAYA,02240101817140004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,190.0
RIDHA BUANA MANDIRI,06122100205030005,Perusahaan Perseroan Terbatas (PT),Peridotit,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2023,5.32
RISGUN PERKASA ABADI,02200032417380002,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2023,21.97
RISWAN MANDIRI PERKASA,950/1/IUP/PMDN/2022,Perusahaan Komanditer (CV),Pasir Kuarsa,EKSPLORASI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2022,51.87
RIZKILLAH,02052300076680001,Perusahaan Komanditer (CV),Diorit,EKSPLORASI,Gorontalo,KAB. GORONTALO,2024,3.68
RIZQI BIOKAS PRATAMA,55/DPMPTSP/I/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2019,251.0
RIZQI PERDANA,12080005218040002,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2023,84.5
RIZQI SINAR BIOKAS,11/DPM-PTSP/I/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2017,220.0
ROHUL ENERGI INDONESIA,52/1/IUP/PMA/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2019,3450.0
ROSHINI INDONESIA,425/DPMPTSP/VII/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2019,109.0
SADDAM BUKIT PERSADA,02202082516490009,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. SIDENRENG RAPPANG,2022,8.77
SAMBAS MINERALS MINING,13/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2020,1008.0
SAMUDRA LIMESTONE ABADI,14022300645370002,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,99.3
SAMUDRA PANTOLOAN,1432/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2021,14.0
SANDY KARYA MOROWALI,02200073007640012,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,37.43
SANTINA MAJU BERSAMA,91202160624120003,Perusahaan Komanditer (CV),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,23.35
SANUSI KARSA TAMA BANGUNAN,17062200583020003,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. MAROS,2024,42.97
SARANA MAJU CEMERLANG,02203052610380001,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,538.0
SARANA MINERALINDO PERKASA,540/667/IUP-OP/PGH/DPMPTSP/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2017,4656.0
SASMAKA ANUGERAH ALAM,26012300474740002,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,44.74
SEJAHTERA ENERGI RESOURCES,16012400665210002,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE,2024,3012.93
SELARAS MAJU,540.3/SK.020/DESDM/VII/2014,Perusahaan Komanditer (CV),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2014,572.0
SEMEN BOSOWA MAROS,81200047828780027,Perusahaan Perseroan Terbatas (PT),Clay,OPERASI PRODUKSI,Sulawesi Selatan,KAB. MAROS,2024,214.52
SEMEN BOSOWA MAROS,81200047828780026,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Selatan,KAB. MAROS,2024,612.34
SEMEN TONASA,95/I.03/PTSP/2018,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2018,214.5
SEMEN TONASA,676/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Clay,EKSPLORASI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2022,100.0
SEMEN TONASA,210/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2021,126.59
SEMEN TONASA,81200018506210068,Perusahaan Perseroan Terbatas (PT),Clay,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,423.87
SEMEN TONASA,2202407171,Perusahaan Perseroan Terbatas (PT),Clay,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2024,280.0
SENTOSA SWADAYA TAMA,91200082204160002,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. TOLI TOLI,2023,164.06
SENTRAL LABUAN TEGAR MANDIRI,91201031529340001,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,10.0
SENTRAL SILIKA ABADI,23032200169490004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,37.05
SENTRATAMA KARYA CEMERLANG,181/DPMPTSP/III/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2018,1226.0
SILKAR NATIONAL,540/565/IUP-OP/P/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. PARIGI MOUTONG,2021,9.31
SINAR BATUMAS MAKMUR,741.A TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2014,801.0
SINAR FADLI,03112100328160003,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Selatan,KAB. BARRU,2024,5.09
SINAR KARYAGAMMA PRIMATAMA,540/520/IUP-OP/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,3596.0
SINAR MAKMUR CEMERLANG,540/519/DISESDM-G.ST/2015,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2015,3099.0
SINAR MALIBA MANDIRI,16082300134730001,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Selatan,KAB. ENREKANG,2024,6.79
SINAR MARS,07082300781850003,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),EKSPLORASI,Sulawesi Selatan,KAB. ENREKANG,2024,5.05
SINAR MUTIARA MEGALITHINDO,91200121909130009,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2022,10.0
SINOSTEEL INDONESIA MINING,6/1/IUP/PMA/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,2038.7
SIPURENNU,02201056932070003,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Selatan,KAB. SIDENRENG RAPPANG,2024,24.05
