,,Tar,get Renstra 2,019 : 85%,,,,,,,,,,,,,,,
13,Jawa Tengah,561,469,407,322,191,279,119,41,29,1.452,187,4.057,,,,,,
14,DI Yogyakarta,139,114,132,75,59,70,45,16,5,452,162,1.269,,,,,,
15,Jawa Timur,567,581,438,312,226,299,184,81,33,2.082,353,5.156,,,,,,
16,Banten,141,165,142,85,57,96,48,11,7,451,66,1.269,,,,,,
17,Bali,149,178,143,93,47,79,22,23,3,467,37,1.241,,,,,,
18,Nusa Tenggara Barat,42,52,35,31,18,26,12,3,1,144,14,378,,,,,,
19,Nusa Tenggara Timur,27,31,18,19,7,18,13,0,1,21,1,156,,,,,,
20,Kalimantan Barat,33,45,33,31,14,17,11,3,2,81,15,285,,,,,,
21,Kalimantan Tengah,33,36,23,26,11,21,16,3,2,74,10,255,,,,,,
22,Kalimantan Selatan,63,59,48,36,19,28,24,6,6,188,29,506,,,,,,
23,Kalimantan Timur,72,65,47,39,27,45,20,9,5,179,37,545,,,,,,
24,Kalimantan Utara,14,12,14,7,6,7,6,2,2,33,5,108,,,,,,
25,Sulawesi Utara,95,59,57,37,13,29,9,1,3,128,7,438,,,,,,
26,Sulawesi Tengah,38,30,25,26,14,17,10,2,0,123,4,289,,,,,,
27,Sulawesi Selatan,148,133,92,99,73,74,63,23,2,439,83,1.229,,,,,,
28,Sulawesi Tenggara,31,27,23,17,18,15,9,2,1,68,4,215,,,,,,
29,Gorontalo,27,11,18,13,6,9,6,2,0,42,2,136,,,,,,
30,Sulawesi Barat,11,12,8,12,4,6,4,0,0,29,7,93,,,,,,
31,Maluku,12,13,6,9,6,5,10,2,1,29,3,96,,,,,,
32,Maluku Utara,21,15,8,14,3,9,6,0,0,19,9,104,,,,,,
33,Papua Barat,20,16,12,14,8,5,2,0,0,17,1,95,,,,,,
34,Papua,12,27,20,14,4,8,10,0,2,37,2,136,,,,,,
Indonesia,,4.227,4.024,3.385,2.387,1.454,2.192,1.215,470,205,12.354,2.151,34.064,,,,,,
No,Provinsi,Puskesmas,,,,Rumah Sakit,,,,Sarana Pelayanan Kesehatan Lainnya,,,,Total,,,,,
,,Perawata,,,Bidan,Perawata,,,Bidan,Perawata,,,Bidan,Perawata,,,Bidan,,
,,L,P,L+P,,L,P,L+P,,L,P,L+P,,L,P,L+P,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
1,Aceh,1.161,2.994,4.155,8.309,1.720,3.488,5.208,2.237,40,54,94,74,2.921,6.536,9.457,10.620,,
2,Sumatera Utara,1.691,4.702,6.393,14.338,1.871,5.758,7.629,2.925,90,128,218,118,3.652,10.588,14.240,17.381,,
3,Sumatera Barat,380,2.078,2.458,4.809,897,4.601,5.498,1.040,20,95,115,81,1.297,6.774,8.071,5.930,,
4,Riau,901,2.568,3.469,4.907,1.010,3.145,4.155,1.583,39,51,90,104,1.950,5.764,7.714,6.594,,
5,Jambi,772,1.696,2.468,3.428,785,2.593,3.378,912,104,147,251,289,1.661,4.436,6.097,4.629,,
6,Sumatera Selatan,1.431,4.245,5.676,9.372,1.336,5.259,6.595,2.068,55,83,138,79,2.822,9.587,12.409,11.519,,
7,Bengkulu,505,1.246,1.751,2.609,709,1.480,2.189,782,21,26,47,47,1.235,2.752,3.987,3.438,,
8,Lampung,1.631,2.489,4.120,6.964,1.729,3.228,4.957,1.560,59,86,145,143,3.419,5.803,9.222,8.667,,
9,Kep. Bangka Belitung,308,710,1.018,863,552,1.317,1.869,401,83,138,221,102,943,2.165,3.108,1.366,,
10,Kepulauan Riau,275,859,1.134,1.173,536,1.807,2.343,531,31,56,87,49,842,2.722,3.564,1.753,,
11,DKI Jakarta,494,1.428,1.922,1.774,4.391,19.503,23.894,2.987,454,680,1.134,774,5.339,21.611,26.950,5.535,,
12,Jawa Barat,4.498,5.780,10.278,14.906,7.674,16.943,24.617,5.058,328,524,852,1.025,12.500,23.247,35.747,20.989,,
13,Jawa Tengah,3.497,5.594,9.091,15.224,10.213,22.949,33.162,5.942,778,2.076,2.854,2.173,14.488,30.619,45.107,23.339,,
14,DI Yogyakarta,273,625,898,878,1.571,5.455,7.026,907,51,236,287,251,1.895,6.316,8.211,2.036,,
15,Jawa Timur,6.021,8.184,14.205,15.400,10.971,21.173,32.144,6.534,708,1.107,1.815,1.006,17.700,30.464,48.164,22.940,,
16,Banten,827,1.283,2.110,3.495,1.856,5.426,7.282,1.661,82,140,222,339,2.765,6.849,9.614,5.495,,
17,Bali,502,999,1.501,2.233,1.854,4.441,6.295,1.913,116,319,435,352,2.472,5.759,8.231,4.498,,
18,Nusa Tenggara Barat,1.365,2.045,3.410,3.119,1.265,2.266,3.531,1.065,64,67,131,55,2.694,4.378,7.072,4.239,,
19,Nusa Tenggara Timur,1.343,3.014,4.357,4.158,419,1.694,2.113,786,23,40,63,37,1.785,4.748,6.533,4.981,,
20,Kalimantan Barat,1.514,1.766,3.280,3.060,1.082,2.086,3.168,749,57,58,115,105,2.653,3.910,6.563,3.914,,
21,Kalimantan Tengah,1.438,1.938,3.376,2.749,716,1.414,2.130,589,72,55,127,53,2.226,3.407,5.633,3.391,,
22,Kalimantan Selatan,1.020,1.472,2.492,3.467,1.562,2.291,3.853,994,97,92,189,75,2.679,3.855,6.534,4.536,,
23,Kalimantan Timur,746,1.474,2.220,2.196,1.185,2.656,3.841,947,12,60,72,50,1.943,4.190,6.133,3.193,,
24,Kalimantan Utara,327,592,919,710,183,455,638,217,10,20,30,10,520,1.067,1.587,937,,
25,Sulawesi Utara,328,1.662,1.990,1.152,559,2.240,2.799,444,33,77,110,18,920,3.979,4.899,1.614,,
26,Sulawesi Tengah,862,1.956,2.818,3.630,618,2.023,2.641,939,51,69,120,54,1.531,4.048,5.579,4.623,,
27,Sulawesi Selatan,1.129,4.493,5.622,6.436,1.473,5.982,7.455,2.126,104,198,302,185,2.706,10.673,13.379,8.747,,
28,Sulawesi Tenggara,716,1.961,2.677,3.044,656,1.888,2.544,909,40,66,106,36,1.412,3.915,5.327,3.989,,
29,Gorontalo,258,681,939,1.062,310,899,1.209,361,25,46,71,33,593,1.626,2.219,1.456,,
30,Sulawesi Barat,222,641,863,986,143,500,643,157,12,32,44,35,377,1.173,1.550,1.178,,
31,Maluku,469,1.332,1.801,1.006,345,1.331,1.676,420,45,89,134,30,859,2.752,3.611,1.456,,
32,Maluku Utara,357,668,1.025,1.456,264,720,984,379,23,30,53,30,644,1.418,2.062,1.865,,
33,Papua Barat,424,858,1.282,854,233,660,893,276,12,21,33,12,669,1.539,2.208,1.142,,
34,Papua,1.071,1.731,2.802,1.762,513,1.320,1.833,470,45,46,91,46,1.629,3.097,4.726,2.278,,
Indonesia,,38.756,75.764,114.520,151.529,61.201,158.991,220.192,50.869,3.784,7.012,10.796,7.870,103.741,241.767,345.508,210.268,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,446,1.432,1.878,222,622,844,77,702,779,,,,,,,,,
2,Sumatera Utara,406,1.617,2.023,219,434,653,106,970,1.076,,,,,,,,,
3,Sumatera Barat,130,477,607,128,359,487,85,762,847,,,,,,,,,
4,Riau,200,518,718,86,180,266,32,484,516,,,,,,,,,
5,Jambi,171,348,519,149,266,415,51,370,421,,,,,,,,,
6,Sumatera Selatan,387,1.159,1.546,135,573,708,61,678,739,,,,,,,,,
7,Bengkulu,248,621,869,107,123,230,52,356,408,,,,,,,,,
8,Lampung,258,527,785,196,346,542,86,443,529,,,,,,,,,
9,Kepulauan Bangka Belitung,92,220,312,43,117,160,38,192,230,,,,,,,,,
10,Kepulauan Riau,71,139,210,74,131,205,22,166,188,,,,,,,,,
11,DKI Jakarta,94,283,377,186,336,522,179,1.115,1.294,,,,,,,,,
12,Jawa Barat,816,1.486,2.302,461,799,1.260,280,1.674,1.954,,,,,,,,,
13,Jawa Tengah,448,1.443,1.891,604,1.073,1.677,285,2.296,2.581,,,,,,,,,
14,DI Yogyakarta,67,213,280,141,169,310,86,514,600,,,,,,,,,
15,Jawa Timur,365,1.432,1.797,502,937,1.439,441,2.639,3.080,,,,,,,,,
16,Banten,161,349,510,82,201,283,67,402,469,,,,,,,,,
17,Bali,103,257,360,175,236,411,73,431,504,,,,,,,,,
18,Nusa Tenggara Barat,160,286,446,167,366,533,117,555,672,,,,,,,,,
19,Nusa Tenggara Timur,285,486,771,238,431,669,157,587,744,,,,,,,,,
20,Kalimantan Barat,159,341,500,221,265,486,107,466,573,,,,,,,,,
21,Kalimantan Tengah,140,253,393,86,138,224,57,398,455,,,,,,,,,
22,Kalimantan Selatan,178,338,516,206,301,507,137,706,843,,,,,,,,,
23,Kalimantan Timur,130,321,451,94,200,294,64,243,307,,,,,,,,,
24,Kalimantan Utara,68,138,206,31,42,73,16,96,112,,,,,,,,,
25,Sulawesi Utara,82,340,422,161,285,446,77,322,399,,,,,,,,,
26,Sulawesi Tengah,394,1.073,1.467,185,322,507,59,373,432,,,,,,,,,
27,Sulawesi Selatan,488,1.566,2.054,219,732,951,109,1.071,1.180,,,,,,,,,
28,Sulawesi Tenggara,340,1.077,1.417,140,351,491,109,658,767,,,,,,,,,
29,Gorontalo,105,501,606,72,151,223,61,343,404,,,,,,,,,
30,Sulawesi Barat,51,190,241,42,85,127,15,142,157,,,,,,,,,
31,Maluku,121,375,496,152,238,390,65,404,469,,,,,,,,,
32,Maluku Utara,132,500,632,41,88,129,33,262,295,,,,,,,,,
33,Papua Barat,62,150,212,46,50,96,25,159,184,,,,,,,,,
34,Papua,156,336,492,150,178,328,65,320,385,,,,,,,,,
Indonesia,,7.514,20.792,28.306,5.761,11.125,16.886,3.294,21.299,24.593,,,,,,,,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,139,320,459,69,136,205,26,279,305,,,,,,,,,
2,Sumatera Utara,92,292,384,44,70,114,33,354,387,,,,,,,,,
3,Sumatera Barat,40,97,137,35,80,115,56,360,416,,,,,,,,,
4,Riau,42,124,166,13,42,55,13,236,249,,,,,,,,,
5,Jambi,30,53,83,49,54,103,19,178,197,,,,,,,,,
6,Sumatera Selatan,52,189,241,44,115,159,20,318,338,,,,,,,,,
7,Bengkulu,44,143,187,33,22,55,21,190,211,,,,,,,,,
8,Lampung,31,91,122,28,63,91,21,170,191,,,,,,,,,
9,Kepulauan Bangka Belitung,19,41,60,12,21,33,9,73,82,,,,,,,,,
10,Kepulauan Riau,19,33,52,20,43,63,14,87,101,,,,,,,,,
11,DKI Jakarta,76,189,265,74,99,173,144,756,900,,,,,,,,,
12,Jawa Barat,260,345,605,92,136,228,157,768,925,,,,,,,,,
13,Jawa Tengah,59,185,244,166,245,411,119,1.193,1.312,,,,,,,,,
14,DI Yogyakarta,6,42,48,72,74,146,50,340,390,,,,,,,,,
15,Jawa Timur,103,417,520,173,303,476,181,1.578,1.759,,,,,,,,,
16,Banten,47,121,168,26,48,74,40,202,242,,,,,,,,,
17,Bali,34,94,128,40,78,118,41,262,303,,,,,,,,,
18,Nusa Tenggara Barat,20,57,77,29,63,92,15,199,214,,,,,,,,,
19,Nusa Tenggara Timur,34,61,95,34,52,86,21,148,169,,,,,,,,,
20,Kalimantan Barat,31,71,102,39,47,86,26,135,161,,,,,,,,,
21,Kalimantan Tengah,15,31,46,12,23,35,14,108,122,,,,,,,,,
22,Kalimantan Selatan,33,55,88,64,61,125,37,221,258,,,,,,,,,
23,Kalimantan Timur,12,34,46,29,32,61,16,98,114,,,,,,,,,
24,Kalimantan Utara,9,24,33,5,10,15,8,45,53,,,,,,,,,
25,Sulawesi Utara,24,76,100,29,49,78,26,92,118,,,,,,,,,
26,Sulawesi Tengah,83,260,343,37,53,90,14,124,138,,,,,,,,,
27,Sulawesi Selatan,107,374,481,44,139,183,36,407,443,,,,,,,,,
28,Sulawesi Tenggara,43,168,211,25,57,82,16,177,193,,,,,,,,,
29,Gorontalo,11,72,83,10,19,29,13,97,110,,,,,,,,,
30,Sulawesi Barat,7,28,35,4,9,13,2,40,42,,,,,,,,,
31,Maluku,30,91,121,24,57,81,12,120,132,,,,,,,,,
32,Maluku Utara,28,109,137,9,14,23,4,90,94,,,,,,,,,
33,Papua Barat,13,35,48,11,15,26,6,49,55,,,,,,,,,
34,Papua,25,59,84,51,37,88,16,108,124,,,,,,,,,
Indonesia,,1.618,4.381,5.999,1.446,2.366,3.812,1.246,9.602,10.848,,,,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,81,757,838,212,206,418,64,239,303,177,747,924,,,,,,
2,Sumatera Utara,190,985,1.175,155,226,381,85,160,245,171,723,894,,,,,,
3,Sumatera Barat,140,812,952,211,163,374,60,132,192,226,1.102,1.328,,,,,,
4,Riau,108,641,749,93,124,217,38,116,154,147,406,553,,,,,,
5,Jambi,132,567,699,69,64,133,29,85,114,101,430,531,,,,,,
6,Sumatera Selatan,147,833,980,146,200,346,44,166,210,194,853,1.047,,,,,,
7,Bengkulu,88,300,388,87,60,147,10,29,39,58,152,210,,,,,,
8,Lampung,170,629,799,160,139,299,41,81,122,155,424,579,,,,,,
9,Kepulauan Bangka Belitung,82,243,325,80,45,125,14,65,79,71,221,292,,,,,,
10,Kepulauan Riau,58,211,269,75,61,136,22,40,62,80,162,242,,,,,,
11,DKI Jakarta,737,1.880,2.617,810,601,1.411,363,609,972,796,1.705,2.501,,,,,,
12,Jawa Barat,780,2.283,3.063,670,460,1.130,238,507,745,939,2.077,3.016,,,,,,
13,Jawa Tengah,800,3.152,3.952,954,791,1.745,462,868,1.330,996,3.060,4.056,,,,,,
14,DI Yogyakarta,169,660,829,209,182,391,121,213,334,230,868,1.098,,,,,,
15,Jawa Timur,794,3.279,4.073,926,706,1.632,339,563,902,1.017,2.279,3.296,,,,,,
16,Banten,173,632,805,181,174,355,73,196,269,181,419,600,,,,,,
17,Bali,167,462,629,242,113,355,68,59,127,151,448,599,,,,,,
18,Nusa Tenggara Barat,161,539,700,167,94,261,46,92,138,242,413,655,,,,,,
19,Nusa Tenggara Timur,175,490,665,78,69,147,25,67,92,181,567,748,,,,,,
20,Kalimantan Barat,182,438,620,105,48,153,23,57,80,228,441,669,,,,,,
21,Kalimantan Tengah,131,335,466,93,40,133,20,31,51,117,234,351,,,,,,
22,Kalimantan Selatan,174,620,794,130,71,201,37,52,89,193,551,744,,,,,,
23,Kalimantan Timur,159,461,620,99,63,162,41,78,119,111,204,315,,,,,,
24,Kalimantan Utara,41,94,135,38,21,59,8,13,21,48,59,107,,,,,,
25,Sulawesi Utara,66,132,198,36,15,51,32,57,89,65,280,345,,,,,,
26,Sulawesi Tengah,103,229,332,50,46,96,10,57,67,97,154,251,,,,,,
27,Sulawesi Selatan,218,890,1.108,193,279,472,76,197,273,233,889,1.122,,,,,,
28,Sulawesi Tenggara,110,350,460,54,59,113,15,61,76,96,286,382,,,,,,
29,Gorontalo,42,90,132,31,23,54,10,10,20,17,70,87,,,,,,
30,Sulawesi Barat,40,89,129,12,26,38,7,21,28,26,82,108,,,,,,
31,Maluku,35,137,172,33,21,54,3,25,28,28,65,93,,,,,,
32,Maluku Utara,49,175,224,23,49,72,9,19,28,30,48,78,,,,,,
33,Papua Barat,59,135,194,18,19,37,4,17,21,27,50,77,,,,,,
34,Papua,151,400,551,40,24,64,10,20,30,51,80,131,,,,,,
Indonesia,,6.712,23.930,30.642,6.480,5.282,11.762,2.447,5.002,7.449,7.480,20.549,28.029,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,47,422,469,202,194,396,55,182,237,102,336,438,,,,,,
2,Sumatera Utara,99,518,617,148,220,368,75,151,226,108,295,403,,,,,,
3,Sumatera Barat,87,463,550,204,157,361,52,120,172,152,588,740,,,,,,
4,Riau,67,359,426,93,122,215,35,99,134,121,233,354,,,,,,
5,Jambi,67,300,367,67,64,131,27,79,106,50,181,231,,,,,,
6,Sumatera Selatan,94,491,585,144,189,333,41,150,191,144,449,593,,,,,,
7,Bengkulu,56,153,209,84,54,138,9,29,38,55,97,152,,,,,,
8,Lampung,99,352,451,150,134,284,41,77,118,80,133,213,,,,,,
9,Kepulauan Bangka Belitung,42,121,163,76,41,117,13,61,74,43,109,152,,,,,,
10,Kepulauan Riau,42,139,181,73,61,134,21,39,60,71,107,178,,,,,,
11,DKI Jakarta,584,1.484,2.068,789,585,1.374,328,542,870,687,1.292,1.979,,,,,,
12,Jawa Barat,522,1.359,1.881,628,423,1.051,223,476,699,633,1.052,1.685,,,,,,
13,Jawa Tengah,484,1.887,2.371,892,720,1.612,385,665,1.050,660,1.799,2.459,,,,,,
14,DI Yogyakarta,112,464,576,215,181,396,107,188,295,164,546,710,,,,,,
15,Jawa Timur,517,2.018,2.535,882,662,1.544,299,476,775,701,1.449,2.150,,,,,,
16,Banten,130,472,602,170,165,335,69,181,250,135,287,422,,,,,,
17,Bali,109,312,421,234,108,342,61,52,113,76,220,296,,,,,,
18,Nusa Tenggara Barat,93,256,349,147,88,235,38,80,118,138,211,349,,,,,,
19,Nusa Tenggara Timur,54,168,222,73,60,133,19,52,71,77,198,275,,,,,,
20,Kalimantan Barat,85,205,290,99,46,145,22,54,76,98,164,262,,,,,,
21,Kalimantan Tengah,66,143,209,86,39,125,19,31,50,48,80,128,,,,,,
22,Kalimantan Selatan,90,301,391,128,70,198,34,45,79,96,200,296,,,,,,
23,Kalimantan Timur,106,228,334,97,63,160,40,75,115,64,96,160,,,,,,
24,Kalimantan Utara,20,50,70,35,19,54,8,12,20,24,29,53,,,,,,
25,Sulawesi Utara,37,81,118,34,14,48,26,40,66,27,66,93,,,,,,
26,Sulawesi Tengah,51,119,170,50,45,95,10,54,64,44,76,120,,,,,,
27,Sulawesi Selatan,143,492,635,185,268,453,71,181,252,109,400,509,,,,,,
28,Sulawesi Tenggara,53,177,230,51,54,105,12,50,62,58,151,209,,,,,,
29,Gorontalo,24,48,72,30,23,53,10,10,20,9,36,45,,,,,,
30,Sulawesi Barat,17,25,42,12,26,38,7,15,22,13,38,51,,,,,,
31,Maluku,25,76,101,25,16,41,2,20,22,16,33,49,,,,,,
32,Maluku Utara,25,91,116,22,46,68,8,16,24,22,20,42,,,,,,
33,Papua Barat,30,54,84,18,18,36,4,14,18,17,26,43,,,,,,
34,Papua,57,144,201,39,21,60,10,18,28,39,45,84,,,,,,
Indonesia,,4.134,13.972,18.106,6.182,4.996,11.178,2.181,4.334,6.515,4.881,11.042,15.923,,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,128,949,1.077,50,272,322,178,1.221,1.399,,,,,,,,,
2,Sumatera Utara,183,1.384,1.567,100,445,545,283,1.829,2.112,,,,,,,,,
3,Sumatera Barat,122,1.010,1.132,61,332,393,183,1.342,1.525,,,,,,,,,
4,Riau,118,772,890,62,336,398,180,1.108,1.288,,,,,,,,,
5,Jambi,88,642,730,59,278,337,147,920,1.067,,,,,,,,,
6,Sumatera Selatan,190,1.103,1.293,82,309,391,272,1.412,1.684,,,,,,,,,
7,Bengkulu,75,361,436,33,167,200,108,528,636,,,,,,,,,
8,Lampung,140,547,687,73,238,311,213,785,998,,,,,,,,,
9,Kepulauan Bangka Belitung,86,379,465,54,172,226,140,551,691,,,,,,,,,
10,Kepulauan Riau,82,279,361,54,169,223,136,448,584,,,,,,,,,
11,DKI Jakarta,847,3.807,4.654,374,1.275,1.649,1.221,5.082,6.303,,,,,,,,,
12,Jawa Barat,980,4.013,4.993,591,1.840,2.431,1.571,5.853,7.424,,,,,,,,,
13,Jawa Tengah,817,5.539,6.356,533,2.830,3.363,1.350,8.369,9.719,,,,,,,,,
14,DI Yogyakarta,140,1.007,1.147,96,650,746,236,1.657,1.893,,,,,,,,,
15,Jawa Timur,834,5.279,6.113,528,2.310,2.838,1.362,7.589,8.951,,,,,,,,,
16,Banten,204,1.060,1.264,110,518,628,314,1.578,1.892,,,,,,,,,
17,Bali,118,673,791,162,236,398,280,909,1.189,,,,,,,,,
18,Nusa Tenggara Barat,180,376,556,86,241,327,266,617,883,,,,,,,,,
19,Nusa Tenggara Timur,124,524,648,38,152,190,162,676,838,,,,,,,,,
20,Kalimantan Barat,129,440,569,72,197,269,201,637,838,,,,,,,,,
21,Kalimantan Tengah,99,323,422,57,214,271,156,537,693,,,,,,,,,
22,Kalimantan Selatan,172,734,906,85,265,350,257,999,1.256,,,,,,,,,
23,Kalimantan Timur,171,559,730,85,278,363,256,837,1.093,,,,,,,,,
24,Kalimantan Utara,46,160,206,35,93,128,81,253,334,,,,,,,,,
25,Sulawesi Utara,82,320,402,36,162,198,118,482,600,,,,,,,,,
26,Sulawesi Tengah,106,539,645,65,225,290,171,764,935,,,,,,,,,
27,Sulawesi Selatan,190,1.063,1.253,167,887,1.054,357,1.950,2.307,,,,,,,,,
28,Sulawesi Tenggara,98,449,547,73,317,390,171,766,937,,,,,,,,,
29,Gorontalo,30,186,216,25,106,131,55,292,347,,,,,,,,,
30,Sulawesi Barat,26,130,156,33,90,123,59,220,279,,,,,,,,,
31,Maluku,30,129,159,15,148,163,45,277,322,,,,,,,,,
32,Maluku Utara,27,144,171,27,116,143,54,260,314,,,,,,,,,
33,Papua Barat,28,93,121,25,95,120,53,188,241,,,,,,,,,
34,Papua,109,265,374,36,171,207,145,436,581,,,,,,,,,
Indonesia,,6.799,35.238,42.037,3.982,16.134,20.116,10.781,51.372,62.153,,,,,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,78,491,569,31,168,199,109,659,768,,,,,,,,,
2,Sumatera Utara,96,755,851,68,257,325,164,1.012,1.176,,,,,,,,,
3,Sumatera Barat,74,610,684,41,209,250,115,819,934,,,,,,,,,
4,Riau,80,453,533,29,208,237,109,661,770,,,,,,,,,
5,Jambi,47,325,372,24,135,159,71,460,531,,,,,,,,,
6,Sumatera Selatan,111,633,744,54,185,239,165,818,983,,,,,,,,,
7,Bengkulu,48,206,254,17,89,106,65,295,360,,,,,,,,,
8,Lampung,76,320,396,46,129,175,122,449,571,,,,,,,,,
9,Kepulauan Bangka Belitung,53,159,212,18,63,81,71,222,293,,,,,,,,,
10,Kepulauan Riau,61,181,242,33,88,121,94,269,363,,,,,,,,,
11,DKI Jakarta,615,2.795,3.410,206,767,973,821,3.562,4.383,,,,,,,,,
12,Jawa Barat,594,2.429,3.023,210,829,1.039,804,3.258,4.062,,,,,,,,,
13,Jawa Tengah,517,3.247,3.764,211,1.256,1.467,728,4.503,5.231,,,,,,,,,
14,DI Yogyakarta,97,715,812,42,330,372,139,1.045,1.184,,,,,,,,,
15,Jawa Timur,589,3.577,4.166,244,1.198,1.442,833,4.775,5.608,,,,,,,,,
16,Banten,145,836,981,63,315,378,208,1.151,1.359,,,,,,,,,
17,Bali,80,473,553,67,153,220,147,626,773,,,,,,,,,
18,Nusa Tenggara Barat,116,211,327,52,143,195,168,354,522,,,,,,,,,
19,Nusa Tenggara Timur,32,169,201,16,79,95,48,248,296,,,,,,,,,
20,Kalimantan Barat,68,205,273,37,97,134,105,302,407,,,,,,,,,
21,Kalimantan Tengah,30,131,161,26,106,132,56,237,293,,,,,,,,,
22,Kalimantan Selatan,89,386,475,33,120,153,122,506,628,,,,,,,,,
23,Kalimantan Timur,107,304,411,42,146,188,149,450,599,,,,,,,,,
24,Kalimantan Utara,27,93,120,21,50,71,48,143,191,,,,,,,,,
25,Sulawesi Utara,40,152,192,17,86,103,57,238,295,,,,,,,,,
26,Sulawesi Tengah,48,224,272,33,116,149,81,340,421,,,,,,,,,
27,Sulawesi Selatan,111,560,671,93,430,523,204,990,1.194,,,,,,,,,
28,Sulawesi Tenggara,43,203,246,28,157,185,71,360,431,,,,,,,,,
29,Gorontalo,20,86,106,12,46,58,32,132,164,,,,,,,,,
30,Sulawesi Barat,11,39,50,10,36,46,21,75,96,,,,,,,,,
31,Maluku,17,61,78,9,74,83,26,135,161,,,,,,,,,
32,Maluku Utara,10,69,79,12,54,66,22,123,145,,,,,,,,,
33,Papua Barat,15,32,47,10,38,48,25,70,95,,,,,,,,,
34,Papua,44,118,162,19,87,106,63,205,268,,,,,,,,,
Indonesia,,4.189,21.248,25.437,1.874,8.244,10.118,6.063,29.492,35.555,,,,,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,14,68,82,0,0,0,0,4,4,,,,,,,,,
2,Sumatera Utara,2,28,30,0,2,2,0,6,6,,,,,,,,,
3,Sumatera Barat,6,30,36,0,6,6,0,0,0,,,,,,,,,
4,Riau,2,34,36,2,0,2,0,0,0,,,,,,,,,
5,Jambi,4,14,18,0,0,0,0,0,0,,,,,,,,,
6,Sumatera Selatan,14,66,80,10,6,16,0,8,8,,,,,,,,,
7,Bengkulu,8,10,18,0,0,0,0,0,0,,,,,,,,,
8,Lampung,4,12,16,0,0,0,0,22,22,,,,,,,,,
9,Kepulauan Bangka Belitung,4,14,18,0,0,0,0,0,0,,,,,,,,,
10,Kepulauan Riau,2,12,14,0,0,0,0,0,0,,,,,,,,,
11,DKI Jakarta,14,128,142,42,54,96,58,112,170,,,,,,,,,
12,Jawa Barat,12,84,96,0,0,0,12,2,14,,,,,,,,,
13,Jawa Tengah,30,188,218,4,2,6,2,14,16,,,,,,,,,
14,DI Yogyakarta,6,130,136,0,12,12,0,2,2,,,,,,,,,
15,Jawa Timur,36,158,194,10,44,54,10,42,52,,,,,,,,,
16,Banten,2,4,6,0,0,0,0,0,0,,,,,,,,,
17,Bali,8,38,46,2,0,2,0,10,10,,,,,,,,,
18,Nusa Tenggara Barat,4,32,36,2,0,2,0,0,0,,,,,,,,,
19,Nusa Tenggara Timur,2,8,10,2,4,6,0,0,0,,,,,,,,,
20,Kalimantan Barat,6,20,26,0,0,0,0,0,0,,,,,,,,,
21,Kalimantan Tengah,4,10,14,0,0,0,0,0,0,,,,,,,,,
22,Kalimantan Selatan,6,54,60,0,0,0,8,4,12,,,,,,,,,
23,Kalimantan Timur,2,8,10,0,0,0,0,0,0,,,,,,,,,
