,,,,,Targe,tRPJM,N 202,1: 85%,,,,,,,,,,,,,,,,,,,
2 4,Kalimantan Utara,17,1,46,2,5,19,350,,,,,,,,,,,,,,,,,,,
2 5,Sulawesi Utara,2,12,41,0,3,0,96,,,,,,,,,,,,,,,,,,,
2 6,Sulawesi Tengah,96,16,298,0,15,119,2.808,,,,,,,,,,,,,,,,,,,
2 7,Sulawesi Selatan,105,52,823,22,38,90,8.089,,,,,,,,,,,,,,,,,,,
2 8,Sulawesi Tenggara,32,186,178,0,19,20,1.690,,,,,,,,,,,,,,,,,,,
2 9,Gorontalo,29,16,80,0,20,45,1.444,,,,,,,,,,,,,,,,,,,
3 0,Sulawesi Barat,41,6,178,0,8,91,876,,,,,,,,,,,,,,,,,,,
3 1,Maluku,4,1,39,0,15,71,92,,,,,,,,,,,,,,,,,,,
3 2,Maluku Utara,8,4,43,0,10,51,228,,,,,,,,,,,,,,,,,,,
3 3,Papua Barat,4,0,17,0,3,0,157,,,,,,,,,,,,,,,,,,,
3 4,Papua,9,19,111,0,34,0,686,,,,,,,,,,,,,,,,,,,
Indonesia,,2.821,1.047,9.550,750,690,10.866,107.560,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas*,Jumlah Puskesmas yang Melapor,Puskesmas dengan Ketersediaan Obat Esensial**,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jumlah,%,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,357,357,321,"89,9",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,596,574,542,"94,4",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,275,275,"100,0",,,,,,,,,,,,,,,,,,,,,,
4,Riau,232,232,211,"90,9",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,202,202,191,"94,6",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,341,267,"78,3",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,176,"98,3",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,309,309,236,"76,4",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,58,"90,6",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,90,90,83,"92,2",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,329,328,327,"99,7",,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1086,1086,1022,"94,1",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,250,220,"88,0",,,,,,,,,,,,,,,,,,,,,,
14,D.I. Yogyakarta,121,121,121,"100,0",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,872,861,"98,7",,,,,,,,,,,,,,,,,,,,,,
16,Banten,245,168,121,"72,0",,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,120,"100,0",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,170,170,161,"94,7",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,424,424,411,"96,9",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,246,229,"93,1",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,200,200,163,"81,5",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,237,237,237,"100,0",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,188,188,187,"99,5",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,57,57,56,"98,2",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,193,193,161,"83,4",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,210,210,197,"93,8",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,458,458,436,"95,2",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,292,292,268,"91,8",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,93,93,"100,0",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,96,96,96,"100,0",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,210,142,90,"63,4",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,144,144,124,"86,1",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,159,149,133,"89,3",,,,,,,,,,,,,,,,,,,,,,
34,Papua,408,408,370,"90,7",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.177,9.275,8.564,"92,3",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas*,Jumlah Puskesmas yang Melapor,Puskesmas dengan Ketersediaan Vaksin IDL,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jumlah,%,,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),,,,,,,,,,,,,,,,,,,,,,
1,Aceh,357,357,343,"96,1",,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,596,484,445,"91,9",,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,275,275,"100,0",,,,,,,,,,,,,,,,,,,,,,
4,Riau,232,232,230,"99,1",,,,,,,,,,,,,,,,,,,,,,
5,Jambi,202,202,189,"93,6",,,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,341,341,341,"100,0",,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,179,179,179,"100,0",,,,,,,,,,,,,,,,,,,,,,
8,Lampung,309,309,296,"95,8",,,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,64,"100,0",,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,90,90,90,"100,0",,,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,329,329,329,"100,0",,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1086,1083,1003,"92,6",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,249,205,"82,3",,,,,,,,,,,,,,,,,,,,,,
14,D.I. Yogyakarta,121,121,121,"100,0",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,870,854,"98,2",,,,,,,,,,,,,,,,,,,,,,
16,Banten,245,230,229,"99,6",,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,115,"95,8",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,170,170,170,"100,0",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,424,424,392,"92,5",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,246,246,"100,0",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,200,200,187,"93,5",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,237,237,231,"97,5",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,188,188,188,"100,0",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,57,57,57,"100,0",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,193,193,193,"100,0",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,210,210,210,"100,0",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,458,458,458,"100,0",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,292,292,292,"100,0",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,93,93,"100,0",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,96,96,96,"100,0",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,209,142,142,"100,0",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,144,144,144,"100,0",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,159,148,104,"70,3",,,,,,,,,,,,,,,,,,,,,,
34,Papua,408,408,397,"97,3",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.176,9.241,8.908,"96,4",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,,,
1,Aceh,1,0,1,256,810,1.066,257,810,1.067,0,0,0,57,310,367,57,310,367,,,,,,,,
2,Sumatera Utara,3,4,7,594,1.404,1.998,597,1.408,2.005,0,3,3,94,522,616,94,525,619,,,,,,,,
3,Sumatera Barat,2,1,3,174,623,797,176,624,800,0,1,1,40,299,339,40,300,340,,,,,,,,
4,Riau,2,0,2,278,758,1.036,280,758,1.038,1,0,1,48,286,334,49,286,335,,,,,,,,
5,Jambi,0,0,0,154,407,561,154,407,561,0,0,0,35,133,168,35,133,168,,,,,,,,
6,Sumatera Selatan,0,6,6,200,551,751,200,557,757,0,1,1,53,148,201,53,149,202,,,,,,,,
7,Bengkulu,0,0,0,98,214,312,98,214,312,0,0,0,16,72,88,16,72,88,,,,,,,,
8,Lampung,0,1,1,255,621,876,255,622,877,0,0,0,20,144,164,20,144,164,,,,,,,,
9,Kep. Bangka Belitung,0,0,0,79,151,230,79,151,230,0,0,0,23,46,69,23,46,69,,,,,,,,
10,Kepulauan Riau,2,0,2,127,300,427,129,300,429,0,0,0,23,87,110,23,87,110,,,,,,,,
11,DKI Jakarta,0,0,0,471,1.508,1.979,471,1.508,1.979,0,0,0,72,391,463,72,391,463,,,,,,,,
12,Jawa Barat,2,2,4,952,2.037,2.989,954,2.039,2.993,0,0,0,154,776,930,154,776,930,,,,,,,,
13,Jawa Tengah,0,0,0,933,1.762,2.695,933,1.762,2.695,0,0,0,147,712,859,147,712,859,,,,,,,,
14,DI Yogyakarta,0,0,0,131,410,541,131,410,541,0,2,2,14,160,174,14,162,176,,,,,,,,
15,Jawa Timur,0,0,0,870,1.764,2.634,870,1.764,2.634,0,3,3,203,944,1.147,203,947,1.150,,,,,,,,
16,Banten,0,0,0,237,646,883,237,646,883,0,0,0,44,286,330,44,286,330,,,,,,,,
17,Bali,0,0,0,291,358,649,291,358,649,0,0,0,79,203,282,79,203,282,,,,,,,,
18,Nusa Tenggara Barat,0,0,0,183,327,510,183,327,510,0,0,0,24,99,123,24,99,123,,,,,,,,
19,Nusa Tenggara Timur,0,0,0,225,401,626,225,401,626,0,0,0,38,103,141,38,103,141,,,,,,,,
20,Kalimantan Barat,0,0,0,235,280,515,235,280,515,0,1,1,22,86,108,22,87,109,,,,,,,,
21,Kalimantan Tengah,0,0,0,136,226,362,136,226,362,0,0,0,20,70,90,20,70,90,,,,,,,,
22,Kalimantan Selatan,0,0,0,144,364,508,144,364,508,0,0,0,51,143,194,51,143,194,,,,,,,,
23,Kalimantan Timur,0,0,0,167,353,520,167,353,520,0,1,1,37,160,197,37,161,198,,,,,,,,
24,Kalimantan Utara,0,0,0,56,81,137,56,81,137,0,0,0,16,28,44,16,28,44,,,,,,,,
25,Sulawesi Utara,0,5,5,171,427,598,171,432,603,0,0,0,28,79,107,28,79,107,,,,,,,,
26,Sulawesi Tengah,0,0,0,132,266,398,132,266,398,0,0,0,27,83,110,27,83,110,,,,,,,,
27,Sulawesi Selatan,0,5,5,227,763,990,227,768,995,0,1,1,80,448,528,80,449,529,,,,,,,,
28,Sulawesi Tenggara,0,0,0,119,300,419,119,300,419,0,1,1,23,131,154,23,132,155,,,,,,,,
29,Gorontalo,0,0,0,43,126,169,43,126,169,0,0,0,9,44,53,9,44,53,,,,,,,,
30,Sulawesi Barat,0,0,0,41,133,174,41,133,174,0,0,0,10,65,75,10,65,75,,,,,,,,
31,Maluku,0,0,0,76,209,285,76,209,285,0,0,0,8,34,42,8,34,42,,,,,,,,
32,Maluku Utara,0,1,1,79,139,218,79,140,219,0,0,0,9,34,43,9,34,43,,,,,,,,
33,Papua Barat,0,0,0,85,165,250,85,165,250,0,0,0,5,31,36,5,31,36,,,,,,,,
34,Papua,0,0,0,139,260,399,139,260,399,0,0,0,14,51,65,14,51,65,,,,,,,,
Indonesia,,12,25,37,8.358,19.144,27.502,8.370,19.169,27.539,1,14,15,1.543,7.208,8.751,1.544,7.222,8.766,,,,,,,,
No,Provinsi,Persentase Puskesmas dengan Kecukupan Dokter,,,Persentase Puskesmas dengan Kecukupan Dokter Gigi,,,Persentase Puskesmas dengan Kecukupan Perawat,,,Persentase Puskesmas dengan Kecukupan Bidan,,,,,,,,,,,,,,,,
,,Cukup,Kurang,Lebih,Cukup,Kurang,Lebih,Cukup,Kurang,Lebih,Cukup,Kurang,Lebih,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,,,,,,,,
1,Aceh,"21,2","3,6","75,1","60,9","20,9","18,2","6,7","6,7","86,6","6,1","0,3","93,6",,,,,,,,,,,,,,
2,Sumatera Utara,"27,0","6,1","66,9","52,5","30,8","16,7","15,1","12,3","72,6","9,7","1,0","89,3",,,,,,,,,,,,,,
3,Sumatera Barat,"35,1","2,2","62,7","72,4","8,2","19,4","19,4","15,4","65,2","11,5","0,4","88,2",,,,,,,,,,,,,,
4,Riau,"23,8","0,0","76,2","52,8","16,2","31,1","11,9","6,8","81,3","11,9","0,9","87,2",,,,,,,,,,,,,,
5,Jambi,"30,9","2,0","67,2","61,8","28,4","9,8","9,8","1,5","88,7","5,4","0,0","94,6",,,,,,,,,,,,,,
6,Sumatera Selatan,"40,9","7,0","52,2","51,6","43,5","4,9","11,3","2,6","86,1","7,8","0,0","92,2",,,,,,,,,,,,,,
7,Bengkulu,"49,2","7,3","43,6","40,8","55,9","3,4","6,7","5,6","87,7","3,9","0,0","96,1",,,,,,,,,,,,,,
8,Lampung,"32,5","2,5","65,0","37,6","58,6","3,8","13,4","2,9","83,8","9,2","0,0","90,8",,,,,,,,,,,,,,
9,Kep. Bangka Belitung,"17,2","6,3","76,6","76,6","9,4","14,1","10,9","3,1","85,9","10,9","0,0","89,1",,,,,,,,,,,,,,
10,Kepulauan Riau,"31,5","1,1","67,4","66,3","15,2","18,5","16,3","2,2","81,5","12,0","1,1","87,0",,,,,,,,,,,,,,
11,DKI Jakarta,"19,2","0,3","80,5","86,5","3,6","9,9","12,0","78,4","9,6","17,4","69,7","12,9",,,,,,,,,,,,,,
12,Jawa Barat,"24,2","0,8","74,9","60,7","28,4","10,9","14,0","16,4","69,6","10,1","3,2","86,7",,,,,,,,,,,,,,
13,Jawa Tengah,"27,8","1,4","70,9","80,1","11,5","8,4","18,0","7,4","74,6","11,8","0,9","87,3",,,,,,,,,,,,,,
14,DI Yogyakarta,"14,9","0,0","85,1","62,0","2,5","35,5","26,4","14,9","58,7","17,4","10,7","71,9",,,,,,,,,,,,,,
15,Jawa Timur,"43,4","5,1","51,5","75,4","6,7","17,9","17,6","1,9","80,5","15,6","0,4","84,0",,,,,,,,,,,,,,
16,Banten,"25,3","0,8","73,9","50,6","14,7","34,7","18,4","9,8","71,8","12,7","0,4","86,9",,,,,,,,,,,,,,
17,Bali,"11,7","0,8","87,5","38,3","2,5","59,2","8,3","0,8","90,8","6,7","0,0","93,3",,,,,,,,,,,,,,
18,Nusa Tenggara Barat,"32,6","5,1","62,3","63,4","33,7","2,9","6,3","1,1","92,6","5,7","0,6","93,7",,,,,,,,,,,,,,
19,Nusa Tenggara Timur,"51,7","27,7","20,6","30,1","68,0","1,9","7,3","4,5","88,2","7,3","3,3","89,3",,,,,,,,,,,,,,
20,Kalimantan Barat,"41,3","12,6","46,2","39,7","57,9","2,4","8,1","2,8","89,1","5,3","0,8","93,9",,,,,,,,,,,,,,
21,Kalimantan Tengah,"43,1","25,0","31,9","30,9","61,8","7,4","3,4","1,0","95,6","2,9","0,5","96,6",,,,,,,,,,,,,,
22,Kalimantan Selatan,"41,4","8,0","50,6","66,2","26,2","7,6","8,0","4,2","87,8","3,8","0,8","95,4",,,,,,,,,,,,,,
23,Kalimantan Timur,"45,5","8,0","46,5","64,7","17,6","17,6","25,7","10,2","64,2","30,5","3,2","66,3",,,,,,,,,,,,,,
24,Kalimantan Utara,"56,9","10,3","32,8","72,4","25,9","1,7","25,9","6,9","67,2","27,6","0,0","72,4",,,,,,,,,,,,,,
25,Sulawesi Utara,"30,3","10,6","59,1","39,4","54,0","6,6","18,7","5,1","76,3","16,7","21,7","61,6",,,,,,,,,,,,,,
26,Sulawesi Tengah,"49,3","14,6","36,2","45,5","52,1","2,3","2,8","3,3","93,9","1,9","1,4","96,7",,,,,,,,,,,,,,
27,Sulawesi Selatan,"47,1","12,5","40,3","69,2","13,0","17,8","14,9","7,4","77,7","12,5","2,3","85,1",,,,,,,,,,,,,,
28,Sulawesi Tenggara,"53,9","19,8","26,3","43,0","53,2","3,8","10,6","12,3","77,1","7,8","5,5","86,7",,,,,,,,,,,,,,
29,Gorontalo,"55,9","11,8","32,3","54,8","44,1","1,1","12,9","3,2","83,9","9,7","0,0","90,3",,,,,,,,,,,,,,
30,Sulawesi Barat,"49,5","20,6","29,9","57,7","36,1","6,2","8,2","2,1","89,7","9,3","1,0","89,7",,,,,,,,,,,,,,
31,Maluku,"45,1","31,9","23,0","21,7","77,4","0,9","11,9","13,3","74,8","15,5","29,6","54,9",,,,,,,,,,,,,,
32,Maluku Utara,"50,3","17,7","32,0","33,3","65,3","1,4","16,3","13,6","70,1","10,9","3,4","85,7",,,,,,,,,,,,,,
33,Papua Barat,"51,8","28,8","19,4","20,6","77,6","1,8","12,9","13,5","73,5","17,1","18,2","64,7",,,,,,,,,,,,,,
34,Papua,"36,2","49,5","14,3","20,1","79,0","0,9","16,6","24,8","58,6","17,3","41,1","41,6",,,,,,,,,,,,,,
Indonesia,,"35,5","9,6","54,9","56,0","32,4","11,6","13,6","10,6","75,8","11,2","6,6","82,2",,,,,,,,,,,,,,
No,Provinsi,Batch XVII (Peride I Tahun 2021),,Batch XVIII (Periode II Tahun 2021),,Batch XIX (Periode II Tahun 2021),,,,,,,,,,,,,,,,,,,,,
,,Jumlah Kabupaten/Kota,Jumlah Puskesmas,Jumlah Kabupaten/Kota,Jumlah Puskesmas,Jumlah Kabupaten/Kota,Jumlah Puskesmas,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(5),(6),,,,,,,,,,,,,,,,,,,,
1,Aceh,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,3,3,2,8,,,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,2,2,,,,,,,,,,,,,,,,,,,,,,,,
4,Riau,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jambi,,,,,2,2,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,,,,,2,2,,,,,,,,,,,,,,,,,,,,
8,Lampung,,,1,1,1,2,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jawa Barat,,,,,1,5,,,,,,,,,,,,,,,,,,,,
12,Jawa Timur,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nusa Tenggara Barat,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Nusa Tenggara Timur,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Kalimantan Barat,,,,,1,1,,,,,,,,,,,,,,,,,,,,
16,Kalimantan Tengah,1,3,,,2,3,,,,,,,,,,,,,,,,,,,,
17,Kalimantan Selatan,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Kalimantan Timur,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kalimantan Utara,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,
20,Sulawesi Utara,,,,,1,2,,,,,,,,,,,,,,,,,,,,
21,Sulawesi Tengah,1,3,,,3,3,,,,,,,,,,,,,,,,,,,,
22,Sulawesi Selatan,2,6,,,2,2,,,,,,,,,,,,,,,,,,,,
23,Sulawesi Tenggara,4,4,1,4,1,3,,,,,,,,,,,,,,,,,,,,
24,Gorontalo,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Barat,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Maluku,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,
27,Maluku Utara,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Papua Barat,2,10,1,5,4,6,,,,,,,,,,,,,,,,,,,,
29,Papua,,,4,13,1,1,,,,,,,,,,,,,,,,,,,,
Indonesia,,18,35,11,34,23,35,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Periode I,,Periode II,,Periode III,,Periode IV,,Periode V,,Periode VI,,Periode VII,,Periode VIII,,Periode IX,,,,,,,,,
,,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(3),(4),(5),(6),(7),(8),(9),(10),,,,,,,,
1,Aceh,7,11,9,32,0,0,3,6,11,51,9,17,10,34,10,29,10,36,,,,,,,,
2,Sumatera Utara,4,6,4,14,0,0,3,9,7,29,6,10,7,22,8,24,10,30,,,,,,,,
3,Sumatera Barat,1,3,6,25,2,6,0,0,6,29,9,17,9,27,8,14,11,37,,,,,,,,
4,Riau,8,16,2,2,0,0,3,3,7,19,6,15,7,20,5,9,7,26,,,,,,,,
5,Jambi,8,28,2,13,0,0,2,6,3,7,3,3,5,18,4,9,6,34,,,,,,,,
6,Sumatera Selatan,1,1,3,6,1,3,0,0,3,6,6,15,3,8,3,4,6,15,,,,,,,,
7,Bengkulu,7,9,3,4,5,15,0,0,9,39,5,7,5,11,8,16,9,30,,,,,,,,
8,Lampung,3,3,4,16,1,1,0,0,5,17,3,11,7,20,6,10,6,26,,,,,,,,
9,Kep. Bangka Belitung,0,0,2,2,0,0,0,0,0,0,1,1,1,1,2,2,2,4,,,,,,,,
10,Kepulauan Riau,3,6,2,8,0,0,2,5,3,4,2,3,3,3,3,4,4,9,,,,,,,,
11,Jawa Barat,2,4,1,8,1,5,0,0,0,0,2,3,2,2,0,0,2,11,,,,,,,,
12,Jawa Tengah,1,1,1,4,0,0,0,0,1,16,1,1,1,3,2,8,1,10,,,,,,,,
13,Jawa Timur,1,1,1,2,2,3,0,0,1,3,1,3,1,1,2,3,1,2,,,,,,,,
14,Banten,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,,,,,,,,
15,Nusa Tenggara Barat,1,1,2,6,0,0,0,0,2,6,1,2,2,2,1,1,2,5,,,,,,,,
16,Nusa Tenggara Timur,5,12,0,0,0,0,0,0,4,5,11,47,3,3,9,31,10,26,,,,,,,,
17,Kalimantan Barat,5,30,2,11,2,15,0,0,0,0,2,10,2,4,3,5,4,9,,,,,,,,
18,Kalimantan Tengah,4,12,3,10,2,3,0,0,3,6,3,4,2,2,4,5,3,6,,,,,,,,
19,Kalimantan Selatan,0,0,2,6,1,3,0,0,3,17,1,2,0,0,3,4,4,9,,,,,,,,
20,Kalimantan Timur,3,4,0,0,1,1,0,0,2,2,0,0,1,1,0,0,0,0,,,,,,,,
21,Kalimantan Utara,1,2,1,1,0,0,0,0,0,0,1,1,0,0,2,2,2,4,,,,,,,,
22,Sulawesi Utara,3,12,0,0,4,12,0,0,5,22,8,18,4,14,9,17,8,26,,,,,,,,
23,Sulawesi Tengah,8,19,0,0,4,19,0,0,4,7,3,5,3,6,4,10,7,32,,,,,,,,
24,Sulawesi Selatan,6,8,0,0,3,11,0,0,4,22,4,15,5,21,4,9,6,15,,,,,,,,
25,Sulawesi Tenggara,8,14,0,0,7,49,0,0,13,45,11,25,9,42,8,22,12,27,,,,,,,,
26,Gorontalo,3,5,0,0,4,7,0,0,4,11,2,4,3,4,5,13,5,8,,,,,,,,
27,Sulawesi Barat,2,2,0,0,3,8,0,0,2,7,2,3,1,1,2,2,2,5,,,,,,,,
28,Maluku,6,52,0,0,5,21,0,0,2,3,3,7,3,4,2,7,5,14,,,,,,,,
29,Maluku Utara,4,9,0,0,1,5,0,0,0,0,0,0,0,0,1,2,1,2,,,,,,,,
30,Papua Barat,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,15,,,,,,,,
31,Papua,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Indonesia,,110,281,50,170,49,187,13,29,105,376,106,249,100,275,119,263,149,473,,,,,,,,
No,Provinsi,Puskesmas,,,,Rumah Sakit,,,,Sarana Pelayanan Kesehatan Lainnya,,,,Total,,,,,,,,,,,,,
,,Perawat,,,Bidan,Perawat,,,Bidan,Perawat,,,Bidan,Perawat,,,Bidan,,,,,,,,,,
,,L,P,L+P,,L,P,L+P,,L,P,L+P,,L,P,L+P,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,
1,Aceh,2.167,5.593,7.760,14.194,2.969,5.932,8.901,3.953,178,153,331,229,5.314,11.678,16.992,18.376,,,,,,,,,,
2,Sumatera Utara,2.003,5.320,7.323,16.256,3.729,10.656,14.385,5.232,321,534,855,827,6.053,16.510,22.563,22.315,,,,,,,,,,
3,Sumatera Barat,533,2.455,2.988,5.786,1.354,6.153,7.507,1.598,98,284,382,270,1.985,8.892,10.877,7.654,,,,,,,,,,
4,Riau,994,2.790,3.784,5.500,1.724,4.990,6.714,2.037,201,375,576,920,2.919,8.155,11.074,8.457,,,,,,,,,,
5,Jambi,1.056,2.487,3.543,5.190,1.138,3.032,4.170,1.258,164,251,415,332,2.358,5.770,8.128,6.780,,,,,,,,,,
6,Sumatera Selatan,1.571,4.648,6.219,10.477,1.957,6.579,8.536,2.612,238,393,631,541,3.766,11.620,15.386,13.630,,,,,,,,,,
7,Bengkulu,584,1.523,2.107,3.030,818,1.745,2.563,945,91,140,231,142,1.493,3.408,4.901,4.117,,,,,,,,,,
8,Lampung,1.698,2.622,4.320,7.638,2.372,4.247,6.619,1.851,289,354,643,598,4.359,7.223,11.582,10.087,,,,,,,,,,
9,Kep. Bangka Belitung,349,761,1.110,1.004,685,1.549,2.234,478,129,232,361,198,1.163,2.542,3.705,1.680,,,,,,,,,,
10,Kepulauan Riau,297,885,1.182,1.370,815,2.362,3.177,790,149,315,464,301,1.261,3.562,4.823,2.461,,,,,,,,,,
11,DKI Jakarta,521,1.491,2.012,1.926,6.607,25.489,32.096,3.737,1.026,2.127,3.153,1.620,8.154,29.107,37.261,7.283,,,,,,,,,,
12,Jawa Barat,4.707,6.265,10.972,16.346,14.548,33.085,47.633,8.700,1.481,2.672,4.153,4.750,20.736,42.022,62.758,29.796,,,,,,,,,,
13,Jawa Tengah,3.596,6.127,9.723,16.422,13.031,30.238,43.269,7.598,1.488,4.053,5.541,4.093,18.115,40.418,58.533,28.113,,,,,,,,,,
14,DI Yogyakarta,277,684,961,984,1.906,6.470,8.376,1.185,222,758,980,718,2.405,7.912,10.317,2.887,,,,,,,,,,
15,Jawa Timur,6.903,9.537,16.440,17.980,14.768,28.906,43.674,8.514,2.233,3.948,6.181,3.956,23.904,42.391,66.295,30.450,,,,,,,,,,
