Ta 20,rget Renstra 14: 78%,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Puskesmas,,,,,,,Rumah Sakit denga Pelayanan Obstetrik dan Neonatal Emergensi Komprehensif (PONEK),Rumah Sakit yang dilatih Akupuntur dan Herbal,,,,,,,,,,,,
,,Pelayanan Obstetrik dan Neonatal Emergensi Dasar (PONED),Pelayanan Kesehatan Peduli Remaja (PKPR),Upaya Kesehatan Kerja,Upaya Kesehatan Olahraga,"Upaya Kesehatan Tradisional, Alternatif dan Komplementer",Pembinaan Panti Anak Terlantar,Tatalaksana Kasus Kekerasan terhadap Anak,,,,,,,,,,,,,,
33,Papua Barat,"91,04","87,25","89,15",,,,,,,,,,,,,,,,,,
Indonesia,,"95,30","76,48","85,89",,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Rumah Sakit,Jumlah Tenaga Kesehatan,,,,,,,,,,,,Tenaga Non Kesehatan,Total SDM Kesehatan,,,,,,
,,,Dokter Spesialis,Dokter Umum,Dokter Gigi,Perawat,Bidan,Farmasi,Kesehatan Masyarakat,Kesehatan Lingkungan,Gizi,Keterapian Fisik,Keteknisian Medis,Jumlah,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),,,,,,
1,Aceh,64,1.190,678,122,4.178,1.332,445,165,170,134,219,985,9.618,3.520,13.138,,,,,,
2,Sumatera Utara,177,3.508,1.583,316,5.121,604,1.095,341,111,150,232,787,13.848,5.021,18.869,,,,,,
3,Sumatera Barat,62,816,498,99,3.077,553,482,67,76,145,90,766,6.669,3.264,9.933,,,,,,
4,Riau,62,1.157,606,156,2.650,978,649,60,50,79,77,415,6.877,3.597,10.474,,,,,,
5,Jambi,33,527,385,76,1.594,358,277,76,52,52,53,273,3.723,2.267,5.990,,,,,,
6,Sumatera Selatan,55,1.308,655,149,2.444,670,592,68,92,114,100,744,6.936,5.130,12.066,,,,,,
7,Bengkulu,19,128,172,41,1.229,345,150,124,34,77,29,238,2.567,912,3.479,,,,,,
8,Lampung,53,617,484,81,1.937,552,217,31,92,76,82,438,4.607,3.138,7.745,,,,,,
9,Kepulauan Bangka Belitung,16,164,191,27,1.003,188,150,57,33,43,36,227,2.119,1.186,3.305,,,,,,
10,Kepulauan Riau,25,297,181,44,1.327,268,144,15,10,36,29,194,2.545,1.732,4.277,,,,,,
11,DKI Jakarta,158,7.022,2.078,721,9.348,1.040,2.534,120,70,158,230,1.390,24.711,17.324,42.035,,,,,,
12,Jawa Barat,293,6.873,2.939,983,15.532,2.431,2.769,200,180,436,368,2.700,35.411,21.859,57.270,,,,,,
13,Jawa Tengah,300,5.415,2.656,586,19.281,2.925,2.702,119,357,603,583,3.271,38.498,24.232,62.730,,,,,,
14,DI Yogyakarta,71,1.449,633,159,3.762,387,598,25,84,114,121,805,8.137,4.492,12.629,,,,,,
15,Jawa Timur,347,5.932,2.773,645,14.240,2.524,2.544,171,282,582,373,2.423,32.489,23.425,55.914,,,,,,
16,Banten,85,2.373,1.045,333,4.818,782,882,279,43,116,195,888,11.754,6.033,17.787,,,,,,
17,Bali,57,1.378,729,122,3.207,881,390,48,98,167,65,448,7.533,5.737,13.270,,,,,,
18,Nusa Tenggara Barat,24,451,362,56,2.098,375,188,20,44,82,44,355,4.075,2.117,6.192,,,,,,
19,Nusa Tenggara Timur,44,347,337,47,2.072,382,315,44,85,88,67,382,4.166,3.433,7.599,,,,,,
20,Kalimantan Barat,45,431,341,67,1.479,370,273,38,69,83,48,369,3.568,2.489,6.057,,,,,,
21,Kalimantan Tengah,19,188,199,38,1.198,215,195,18,19,111,24,177,2.382,1.342,3.724,,,,,,
22,Kalimantan Selatan,36,672,380,68,2.262,379,327,42,109,120,40,327,4.726,2.424,7.150,,,,,,
23,Kalimantan Timur,45,746,486,115,2.266,463,366,35,44,76,75,454,5.126,3.343,8.469,,,,,,
24,Kalimantan Utara,6,47,66,10,527,103,42,14,7,7,7,59,889,296,1.185,,,,,,
25,Sulawesi Utara,42,649,420,76,1.974,234,206,71,82,80,62,138,3.992,2.063,6.055,,,,,,
26,Sulawesi Tengah,31,361,265,49,2.533,637,331,128,78,55,46,162,4.645,1.173,5.818,,,,,,
27,Sulawesi Selatan,88,1.899,806,243,6.044,1.184,799,318,160,271,241,1.075,13.040,4.154,17.194,,,,,,
28,Sulawesi Tenggara,25,135,138,41,1.097,263,170,46,39,85,32,160,2.206,614,2.820,,,,,,
29,Gorontalo,12,147,135,22,403,193,80,52,22,66,17,83,1.220,1.047,2.267,,,,,,
30,Sulawesi Barat,10,60,67,18,633,132,90,23,18,25,19,105,1.190,229,1.419,,,,,,
31,Maluku,27,125,166,29,927,216,99,64,69,73,14,92,1.874,717,2.591,,,,,,
32,Maluku Utara,19,112,123,19,565,181,136,72,9,15,23,103,1.358,540,1.898,,,,,,
33,Papua Barat,18,98,117,21,790,204,108,24,22,30,14,116,1.544,622,2.166,,,,,,
34,Papua,38,241,318,52,1.073,249,212,47,51,91,29,205,2.568,1.076,3.644,,,,,,
Indonesia,,2.406,46.863,23.012,5.631,122.689,22.598,20.557,3.022,2.761,4.440,3.684,21.354,276.611,160.548,437.159,,,,,,
No.,Provinsi,Jumlah Kabupaten/Kota,Jumlah Kabupaten/Kota yang Melaksanakan Pembinaan Pengelolaan Limbah Fasyankes,Kabupaten/Kota yang Melaksanakan Pembinaan Pengelolaan Limbah Fasyankes (%),,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),,,,,,,,,,,,,,,,,,
1,Aceh,23,6,"26,09",,,,,,,,,,,,,,,,,,
2,Sumatera Utara,33,8,"24,24",,,,,,,,,,,,,,,,,,
3,Sumatera Barat,19,19,"100,00",,,,,,,,,,,,,,,,,,
4,Riau,12,12,"100,00",,,,,,,,,,,,,,,,,,
5,Jambi,11,11,"100,00",,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,17,15,"88,24",,,,,,,,,,,,,,,,,,
7,Bengkulu,10,10,"100,00",,,,,,,,,,,,,,,,,,
8,Lampung,15,14,"93,33",,,,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,7,7,"100,00",,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,7,7,"100,00",,,,,,,,,,,,,,,,,,
11,DKI Jakarta,6,6,"100,00",,,,,,,,,,,,,,,,,,
12,Jawa Barat,27,26,"96,30",,,,,,,,,,,,,,,,,,
13,Jawa Tengah,35,35,"100,00",,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,5,5,"100,00",,,,,,,,,,,,,,,,,,
15,Jawa Timur,38,38,"100,00",,,,,,,,,,,,,,,,,,
16,Banten,8,8,"100,00",,,,,,,,,,,,,,,,,,
17,Bali,9,9,"100,00",,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,10,10,"100,00",,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,22,17,"77,27",,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,14,14,"100,00",,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,14,14,"100,00",,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,13,13,"100,00",,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,10,7,"70,00",,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,5,-,-,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,15,4,"26,67",,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,13,3,"23,08",,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,24,24,"100,00",,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,14,12,"85,71",,,,,,,,,,,,,,,,,,
29,Gorontalo,6,6,"100,00",,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,6,3,"50,00",,,,,,,,,,,,,,,,,,
31,Maluku,11,1,"9,09",,,,,,,,,,,,,,,,,,
32,Maluku Utara,10,10,"100,00",,,,,,,,,,,,,,,,,,
33,Papua Barat,13,2,"15,38",,,,,,,,,,,,,,,,,,
34,Papua,29,6,"20,69",,,,,,,,,,,,,,,,,,
Indonesia,,511,382,"74,76",,,,,,,,,,,,,,,,,,
