- Ansar. 2017. Problematika Alokasi dan Distribusi Anggaran Kesehatan pada Dinas Kesehatan,,,,,,,,,,,,,,,,,,,
"Provinsi Sulawesi Tengah. Kanun Jurnal Ilmu Hukum,","Vol 19, No 2",.,,,,,,,,,,,,,,,,,
http://www.jurnal.unsyiah.ac.id/kanun/article/view/6850,,,,,,,,,,,,,,,,,,,
No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain*,,Swasta,,Jumlah,,,,,
24,Kalimantan Utara,77,52,129,81,85,166,158,137,295,4,5,9,5,13,18,9,18,27
25,Sulawesi Utara,299,267,566,627,690,1.317,926,957,1.883,6,7,13,27,64,91,33,71,104
26,Sulawesi Tengah,144,162,306,177,329,506,321,491,812,1,4,5,16,40,56,17,44,61
27,Sulawesi Selatan,726,878,1.604,885,1.361,2.246,1.611,2.239,3.850,32,84,116,93,299,392,125,383,508
28,Sulawesi Tenggara,138,124,262,151,222,373,289,346,635,6,7,13,21,53,74,27,60,87
29,Gorontalo,83,68,151,100,138,238,183,206,389,2,2,4,5,9,14,7,11,18
30,Sulawesi Barat,48,63,111,33,67,100,81,130,211,3,8,11,4,12,16,7,20,27
31,Maluku,88,82,170,142,298,440,230,380,610,5,4,9,9,13,22,14,17,31
32,Maluku Utara,69,58,127,97,142,239,166,200,366,4,2,6,6,12,18,10,14,24
33,Papua Barat,79,52,131,91,175,266,170,227,397,0,0,0,13,21,34,13,21,34
34,Papua,163,146,309,231,355,586,394,501,895,3,7,10,14,34,48,17,41,58
Indonesia,,22.837,17.887,40.724,22.465,32.610,55.075,45.302,50.497,95.799,976,1.858,2.834,2.066,6.731,8.797,3.042,8.589,11.631
No,Provinsi,Dokter Spesialis Dasar,,,,Dokter Spesialis Penunjang,,,,,Spesialis Lain,Dokter Gigi Spesialis,Total,,,,,,
,,Spesialis Penyakit Dalam,Spesialis Obstetri dan Ginekologi,Spesialis Anak,Spesialis Bedah,Spesialis Radiologi,Spesialis Anestesi,Spesialis Patologi Klinik,Spesialis Patologi Anatomi,Spesialis Rehabilitasi Medik,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,140,100,95,75,28,59,42,12,5,325,23,904,,,,,,
2,Sumatera Utara,298,263,254,161,54,119,106,43,7,782,92,2.179,,,,,,
3,Sumatera Barat,123,107,99,84,24,54,58,20,4,402,21,996,,,,,,
4,Riau,124,133,106,71,35,53,38,17,7,343,42,969,,,,,,
5,Jambi,61,57,37,32,16,27,21,9,1,139,15,415,,,,,,
6,Sumatera Selatan,161,155,114,91,34,56,26,30,5,332,34,1.038,,,,,,
7,Bengkulu,28,35,22,26,6,15,13,4,1,61,9,220,,,,,,
8 9,Lampung Kep. Bangka Belitung,99 28,105 33,66 25,65 17,35 12,50 11,35 13,14 5,3 1,225 77,22 19,719 241,,,,,,
10,Kepulauan Riau,37,51,45,41,18,31,19,9,1,151,26,429,,,,,,
11,DKI Jakarta,690,648,654,260,256,423,167,92,36,2.740,678,6.644,,,,,,
12,Jawa Barat,770,733,725,414,282,449,215,77,50,2.309,452,6.476,,,,,,
13,Jawa Tengah,552,476,426,340,188,326,142,56,26,1.665,206,4.403,,,,,,
14,DI Yogyakarta,142,96,126,70,52,62,45,18,4,463,165,1.243,,,,,,
15 16,Jawa Timur Banten,632 253,610 267,526 230,377 125,253 78,366 156,218 67,104 16,29 13,2.396 721,480 133,5.991 2.059,,,,,,
17,Bali,185,201,167,127,52,104,27,31,7,632,65,1.598,,,,,,
18,Nusa Tenggara Barat,50,57,48,31,24,24,21,7,1,162,20,445,,,,,,
19,Nusa Tenggara Timur,66,61,44,52,20,34,23,8,4,72,10,394,,,,,,
20,Kalimantan Barat,57,54,51,47,20,32,16,5,3,132,20,437,,,,,,
21,Kalimantan Tengah,42,37,32,27,13,23,20,5,3,96,14,312,,,,,,
22 23,Kalimantan Selatan Kalimantan Timur,76 84,71 97,55 75,33 55,23 34,38 64,30 30,6 13,1 7,220 280,39 53,592 792,,,,,,
24 25,Kalimantan Utara,13,14,18,13,6,8,7,3,1,46,9,138,,,,,,
,Sulawesi Utara,106,69,76,47,21,36,16,3,5,187,13,579,,,,,,
26,Sulawesi Tengah,47,33,39,33,20,18,11,3,1,101,5,311,,,,,,
27,Sulawesi Selatan,208,177,143,128,91,97,83,34,6,637,116,1.720,,,,,,
28,Sulawesi Tenggara,36,28,31,20,16,23,16,1,0,91,13,275,,,,,,
29,Gorontalo,22,12,20,14,8,10,6,4,1,54,4,155,,,,,,
30,Sulawesi Barat,13,12,12,12,5,12,6,0,0,39,11,122,,,,,,
31,Maluku,23,22,20,22,10,15,9,4,0,45,9,179,,,,,,
32,Maluku Utara,20,16,18,18,5,11,8,0,0,31,6,133,,,,,,
33,Papua Barat,23,24,20,16,10,10,6,0,0,22,0,131,,,,,,
34,Papua,35,41,41,41,14,27,20,2,1,87,10,319,,,,,,
Indonesia,,5.244,4.895,4.460,2.985,1.763,2.843,1.580,655,234,16.065,2.834,43.558,,,,,,
No,Provinsi,Puskesmas,,,,Rumah Sakit,,,,Sarana Pelayanan Kesehatan Lainnya,,,,Total,,,,,
,,Perawat,,,Bidan,Perawat,,,Bidan,Perawat,,,Bidan,Perawat,,,Bidan,,
,,L,P,L+P,,L,P,L+P,,L,P,L+P,,L,P,L+P,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
1,Aceh,2.167,5.593,7.760,14.194,2.969,5.932,8.901,3.953,178,153,331,229,5.314,11.678,16.992,18.376,,
2,Sumatera Utara,2.003,5.320,7.323,16.256,3.729,10.656,14.385,5.232,321,534,855,827,6.053,16.510,22.563,22.315,,
3,Sumatera Barat,533,2.455,2.988,5.786,1.354,6.153,7.507,1.598,98,284,382,270,1.985,8.892,10.877,7.654,,
4,Riau,994,2.790,3.784,5.500,1.724,4.990,6.714,2.037,201,375,576,920,2.919,8.155,11.074,8.457,,
5,Jambi,1.056,2.487,3.543,5.190,1.138,3.032,4.170,1.258,164,251,415,332,2.358,5.770,8.128,6.780,,
6,Sumatera Selatan,1.571,4.648,6.219,10.477,1.957,6.579,8.536,2.612,238,393,631,541,3.766,11.620,15.386,13.630,,
7,Bengkulu,584,1.523,2.107,3.030,818,1.745,2.563,945,91,140,231,142,1.493,3.408,4.901,4.117,,
8,Lampung,1.698,2.622,4.320,7.638,2.372,4.247,6.619,1.851,289,354,643,598,4.359,7.223,11.582,10.087,,
9,Kep. Bangka Belitung,349,761,1.110,1.004,685,1.549,2.234,478,129,232,361,198,1.163,2.542,3.705,1.680,,
10,Kepulauan Riau,297,885,1.182,1.370,815,2.362,3.177,790,149,315,464,301,1.261,3.562,4.823,2.461,,
11,DKI Jakarta,521,1.491,2.012,1.926,6.607,25.489,32.096,3.737,1.026,2.127,3.153,1.620,8.154,29.107,37.261,7.283,,
12,Jawa Barat,4.707,6.265,10.972,16.346,14.548,33.085,47.633,8.700,1.481,2.672,4.153,4.750,20.736,42.022,62.758,29.796,,
13,Jawa Tengah,3.596,6.127,9.723,16.422,13.031,30.238,43.269,7.598,1.488,4.053,5.541,4.093,18.115,40.418,58.533,28.113,,
14,DI Yogyakarta,277,684,961,984,1.906,6.470,8.376,1.185,222,758,980,718,2.405,7.912,10.317,2.887,,
15,Jawa Timur,6.903,9.537,16.440,17.980,14.768,28.906,43.674,8.514,2.233,3.948,6.181,3.956,23.904,42.391,66.295,30.450,,
16,Banten,1.122,1.455,2.577,4.125,2.970,9.307,12.277,2.525,441,777,1.218,1.648,4.533,11.539,16.072,8.298,,
17,Bali,570,1.198,1.768,2.537,2.556,6.366,8.922,2.231,345,818,1.163,756,3.471,8.382,11.853,5.524,,
18,Nusa Tenggara Barat,1.981,3.021,5.002,4.679,1.793,3.006,4.799,1.379,278,374,652,190,4.052,6.401,10.453,6.248,,
19,Nusa Tenggara Timur,2.349,5.292,7.641,8.223,1.323,3.964,5.287,1.800,148,236,384,130,3.820,9.492,13.312,10.153,,
20,Kalimantan Barat,2.025,2.342,4.367,4.106,1.848,3.720,5.568,1.209,316,319,635,704,4.189,6.381,10.570,6.019,,
21,Kalimantan Tengah,1.615,2.182,3.797,3.133,1.115,2.140,3.255,872,244,198,442,289,2.974,4.520,7.494,4.294,,
22,Kalimantan Selatan,1.104,1.562,2.666,3.511,2.361,3.409,5.770,1.385,409,279,688,261,3.874,5.250,9.124,5.157,,
23,Kalimantan Timur,837,1.647,2.484,2.421,2.044,5.039,7.083,1.514,504,600,1.104,746,3.385,7.286,10.671,4.681,,
24,Kalimantan Utara,317,608,925,717,440,908,1.348,361,64,90,154,89,821,1.606,2.427,1.167,,
25,Sulawesi Utara,399,2.114,2.513,1.541,1.352,4.490,5.842,801,115,231,346,46,1.866,6.835,8.701,2.388,,
26,Sulawesi Tengah,1.062,2.394,3.456,4.289,1.237,3.267,4.504,1.463,183,202,385,68,2.482,5.863,8.345,5.820,,
27,Sulawesi Selatan,1.384,5.885,7.269,9.277,2.804,10.829,13.633,3.518,280,603,883,349,4.468,17.317,21.785,13.144,,
28,Sulawesi Tenggara,982,3.053,4.035,4.633,884,2.207,3.091,1.015,109,163,272,114,1.975,5.423,7.398,5.762,,
29,Gorontalo,292,745,1.037,1.197,532,1.295,1.827,562,48,65,113,61,872,2.105,2.977,1.820,,
30,Sulawesi Barat,495,1.461,1.956,2.763,352,975,1.327,602,24,43,67,50,871,2.479,3.350,3.415,,
31,Maluku,733,1.950,2.683,1.530,590,2.070,2.660,621,117,278,395,85,1.440,4.298,5.738,2.236,,
32,Maluku Utara,468,964,1.432,2.010,423,1.177,1.600,611,121,109,230,61,1.012,2.250,3.262,2.682,,
33,Papua Barat,780,1.485,2.265,1.529,489,1.171,1.660,493,97,57,154,45,1.366,2.713,4.079,2.067,,
34,Papua,1.628,2.714,4.342,2.639,1.088,2.696,3.784,997,130,129,259,89,2.846,5.539,8.385,3.725,,
Indonesia,,47.399,95.260,142.659,188.963,94.622,239.469,334.091,74.447,12.281,22.160,34.441,25.276,154.302,356.889,511.191,288.686,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,163,415,578,72,186,258,28,319,347,,,,,,,,,
2,Sumatera Utara,108,420,528,67,78,145,25,435,460,,,,,,,,,
3,Sumatera Barat,39,127,166,35,70,105,15,257,272,,,,,,,,,
4,Riau,62,170,232,14,39,53,8,201,209,,,,,,,,,
5,Jambi,32,82,114,45,58,103,12,131,143,,,,,,,,,
6,Sumatera Selatan,52,207,259,35,130,165,24,267,291,,,,,,,,,
7,Bengkulu,44,145,189,29,24,53,21,131,152,,,,,,,,,
8,Lampung,26,84,110,33,81,114,15,168,183,,,,,,,,,
9,Kep. Bangka Belitung,14,42,56,6,30,36,11,79,90,,,,,,,,,
10,Kepulauan Riau,19,35,54,22,47,69,9,69,78,,,,,,,,,
11,DKI Jakarta,68,140,208,112,159,271,91,729,820,,,,,,,,,
12,Jawa Barat,245,304,549,140,227,367,103,981,"1,084",,,,,,,,,
13,Jawa Tengah,54,169,223,184,303,487,81,"1,032","1,113",,,,,,,,,
14,DI Yogyakarta,4,39,43,74,98,172,20,251,271,,,,,,,,,
15,Jawa Timur,91,378,469,162,344,506,123,"1,341","1,464",,,,,,,,,
16,Banten,48,118,166,35,65,100,22,265,287,,,,,,,,,
17,Bali,28,77,105,59,95,154,43,326,369,,,,,,,,,
18,Nusa Tenggara Barat,16,52,68,37,52,89,21,214,235,,,,,,,,,
19,Nusa Tenggara Timur,50,133,183,58,74,132,41,221,262,,,,,,,,,
20,Kalimantan Barat,28,90,118,53,41,94,25,165,190,,,,,,,,,
21,Kalimantan Tengah,16,49,65,20,26,46,21,150,171,,,,,,,,,
22,Kalimantan Selatan,35,56,91,49,68,117,28,231,259,,,,,,,,,
23,Kalimantan Timur,16,50,66,34,40,74,21,130,151,,,,,,,,,
24,Kalimantan Utara,20,29,49,9,15,24,6,34,40,,,,,,,,,
25,Sulawesi Utara,37,109,146,35,61,96,32,149,181,,,,,,,,,
26,Sulawesi Tengah,123,361,484,47,91,138,15,129,144,,,,,,,,,
27,Sulawesi Selatan,136,496,632,62,164,226,45,485,530,,,,,,,,,
28,Sulawesi Tenggara,47,216,263,21,48,69,16,137,153,,,,,,,,,
29,Gorontalo,19,92,111,9,25,34,16,118,134,,,,,,,,,
30,Sulawesi Barat,12,34,46,9,19,28,2,83,85,,,,,,,,,
31,Maluku,39,101,140,35,57,92,19,138,157,,,,,,,,,
32,Maluku Utara,43,148,191,13,15,28,5,109,114,,,,,,,,,
33,Papua Barat,25,82,107,10,15,25,7,78,85,,,,,,,,,
34,Papua,44,136,180,36,34,70,23,137,160,,,,,,,,,
Indonesia,,"1,803","5,186","6,989","1,661","2,879","4,540",994,"9,690","10,684",,,,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,77,490,567,272,266,538,63,239,302,147,419,566,,,,,,
2,Sumatera Utara,117,805,922,332,449,781,135,237,372,190,503,693,,,,,,
3,Sumatera Barat,122,511,633,256,216,472,63,150,213,178,706,884,,,,,,
4,Riau,91,527,618,166,192,358,76,175,251,157,327,484,,,,,,
5,Jambi,83,358,441,95,94,189,34,108,142,45,187,232,,,,,,
6,Sumatera Selatan,111,623,734,215,237,452,62,216,278,187,452,639,,,,,,
7,Bengkulu,64,170,234,90,63,153,14,30,44,67,90,157,,,,,,
8,Lampung,125,454,579,211,171,382,51,98,149,107,180,287,,,,,,
9,Kep. Bangka Belitung,44,152,196,86,54,140,12,64,76,49,131,180,,,,,,
10,Kepulauan Riau,51,181,232,97,83,180,24,58,82,65,122,187,,,,,,
11,DKI Jakarta,769,"2,095","2,864","1,093",865,"1,958",440,665,"1,105",779,"1,590","2,369",,,,,,
12,Jawa Barat,918,"2,791","3,709","1,309",909,"2,218",456,986,"1,442","1,237","2,056","3,293",,,,,,
13,Jawa Tengah,623,"2,548","3,171","1,260","1,048","2,308",476,889,"1,365",913,"2,539","3,452",,,,,,
14,DI Yogyakarta,130,520,650,265,222,487,115,208,323,197,674,871,,,,,,
15,Jawa Timur,690,"2,645","3,335","1,095",931,"2,026",411,637,"1,048",931,"1,860","2,791",,,,,,
16,Banten,189,763,952,312,295,607,135,320,455,189,438,627,,,,,,
17,Bali,190,548,738,316,162,478,83,77,160,114,281,395,,,,,,
18,Nusa Tenggara Barat,133,385,518,197,132,329,47,112,159,203,293,496,,,,,,
19,Nusa Tenggara Timur,114,335,449,134,121,255,47,76,123,146,368,514,,,,,,
20,Kalimantan Barat,110,304,414,135,90,225,34,76,110,142,236,378,,,,,,
21,Kalimantan Tengah,86,258,344,127,64,191,27,51,78,74,132,206,,,,,,
22,Kalimantan Selatan,148,442,590,175,115,290,49,69,118,136,271,407,,,,,,
23,Kalimantan Timur,157,414,571,151,126,277,75,124,199,112,166,278,,,,,,
24,Kalimantan Utara,33,68,101,44,33,77,10,20,30,30,37,67,,,,,,
25,Sulawesi Utara,64,150,214,81,35,116,58,77,135,50,109,159,,,,,,
26,Sulawesi Tengah,64,179,243,70,68,138,17,67,84,43,86,129,,,,,,
27,Sulawesi Selatan,243,812,"1,055",286,426,712,97,261,358,174,584,758,,,,,,
28,Sulawesi Tenggara,45,161,206,64,84,148,11,74,85,53,144,197,,,,,,
29,Gorontalo,42,70,112,41,40,81,11,11,22,24,53,77,,,,,,
30,Sulawesi Barat,27,58,85,25,37,62,8,27,35,15,49,64,,,,,,
31,Maluku,35,119,154,33,46,79,8,40,48,22,47,69,,,,,,
32,Maluku Utara,32,112,144,39,57,96,13,22,35,22,36,58,,,,,,
33,Papua Barat,41,109,150,33,36,69,7,16,23,19,53,72,,,,,,
34,Papua,101,188,289,63,37,100,24,36,60,58,85,143,,,,,,
Indonesia,,"5,869","20,345","26,214","9,168","7,804","16,972","3,193","6,316","9,509","6,875","15,304","22,179",,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,103,636,739,43,319,362,146,955,"1,101",,,,,,,,,
2,Sumatera Utara,103,844,947,89,488,577,192,"1,332","1,524",,,,,,,,,
3,Sumatera Barat,93,673,766,47,323,370,140,996,"1,136",,,,,,,,,
4,Riau,82,551,633,49,362,411,131,913,"1,044",,,,,,,,,
5,Jambi,38,345,383,44,181,225,82,526,608,,,,,,,,,
6,Sumatera Selatan,125,775,900,77,292,369,202,"1,067","1,269",,,,,,,,,
7,Bengkulu,33,137,170,22,108,130,55,245,300,,,,,,,,,
8,Lampung,78,288,366,66,185,251,144,473,617,,,,,,,,,
9,Kep. Bangka Belitung,46,163,209,24,82,106,70,245,315,,,,,,,,,
10,Kepulauan Riau,48,156,204,42,129,171,90,285,375,,,,,,,,,
11,DKI Jakarta,626,"2,661","3,287",344,"1,086","1,430",970,"3,747","4,717",,,,,,,,,
12,Jawa Barat,832,"3,181","4,013",454,"1,727","2,181","1,286","4,908","6,194",,,,,,,,,
13,Jawa Tengah,578,"3,369","3,947",303,"1,620","1,923",881,"4,989","5,870",,,,,,,,,
14,DI Yogyakarta,73,602,675,64,419,483,137,"1,021","1,158",,,,,,,,,
15,Jawa Timur,533,"3,111","3,644",359,"1,712","2,071",892,"4,823","5,715",,,,,,,,,
16,Banten,233,887,"1,120",130,572,702,363,"1,459","1,822",,,,,,,,,
17,Bali,83,407,490,100,228,328,183,635,818,,,,,,,,,
18,Nusa Tenggara Barat,159,280,439,67,185,252,226,465,691,,,,,,,,,
19,Nusa Tenggara Timur,66,311,377,45,212,257,111,523,634,,,,,,,,,
20,Kalimantan Barat,89,279,368,59,160,219,148,439,587,,,,,,,,,
21,Kalimantan Tengah,59,174,233,34,150,184,93,324,417,,,,,,,,,
22,Kalimantan Selatan,123,399,522,56,178,234,179,577,756,,,,,,,,,
23,Kalimantan Timur,177,463,640,73,243,316,250,706,956,,,,,,,,,
24,Kalimantan Utara,30,103,133,31,66,97,61,169,230,,,,,,,,,
25,Sulawesi Utara,80,211,291,55,154,209,135,365,500,,,,,,,,,
26,Sulawesi Tengah,71,284,355,54,172,226,125,456,581,,,,,,,,,
27,Sulawesi Selatan,171,815,986,134,681,815,305,"1,496","1,801",,,,,,,,,
28,Sulawesi Tenggara,31,201,232,44,201,245,75,402,477,,,,,,,,,
29,Gorontalo,24,89,113,14,72,86,38,161,199,,,,,,,,,
30,Sulawesi Barat,14,81,95,11,65,76,25,146,171,,,,,,,,,
31,Maluku,18,66,84,16,116,132,34,182,216,,,,,,,,,
32,Maluku Utara,6,86,92,15,76,91,21,162,183,,,,,,,,,
33,Papua Barat,20,66,86,14,93,107,34,159,193,,,,,,,,,
34,Papua,58,159,217,46,174,220,104,333,437,,,,,,,,,
Indonesia,,"4,903","22,853","27,756","3,025","12,831","15,856","7,928","35,684","43,612",,,,,,,,,
No,Provinsi,Tenaga Penunjang/Pendukung Kesehatan,,,,,,,,,Total,,,,,,,,
,,Pejabat Struktural,,,Tenaga Pendidik,,,Tenaga Dukungan Manajemen,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,227,189,416,2,2,4,"3,843","3,360","7,203","4,072","3,551","7,623",,,,,,
2,Sumatera Utara,274,369,643,5,6,11,"5,762","6,926","12,688","6,041","7,301","13,342",,,,,,
3,Sumatera Barat,154,335,489,1,1,2,"2,305","2,963","5,268","2,460","3,299","5,759",,,,,,
4,Riau,150,198,348,4,1,5,"3,689","3,823","7,512","3,843","4,022","7,865",,,,,,
5,Jambi,108,121,229,0,0,0,"1,645","2,032","3,677","1,753","2,153","3,906",,,,,,
6,Sumatera Selatan,157,284,441,0,0,0,"4,159","4,276","8,435","4,316","4,560","8,876",,,,,,
7,Bengkulu,71,80,151,1,1,2,814,970,"1,784",886,"1,051","1,937",,,,,,
8,Lampung,139,247,386,0,1,1,"3,306","3,531","6,837","3,445","3,779","7,224",,,,,,
9,Kep. Bangka Belitung,84,99,183,0,0,0,"1,232","1,109","2,341","1,316","1,208","2,524",,,,,,
10,Kepulauan Riau,88,96,184,1,2,3,"1,750","1,553","3,303","1,839","1,651","3,490",,,,,,
11,DKI Jakarta,800,985,"1,785",33,48,81,"22,710","17,591","40,301","23,543","18,624","42,167",,,,,,
12,Jawa Barat,"1,009","1,126","2,135",7,15,22,"29,730","20,891","50,621","30,746","22,032","52,778",,,,,,
13,Jawa Tengah,963,924,"1,887",18,12,30,"25,488","18,997","44,485","26,469","19,933","46,402",,,,,,
14,DI Yogyakarta,189,201,390,4,14,18,"5,316","4,103","9,419","5,509","4,318","9,827",,,,,,
15,Jawa Timur,941,"1,103","2,044",14,21,35,"26,323","20,373","46,696","27,278","21,497","48,775",,,,,,
16,Banten,222,325,547,2,1,3,"7,135","6,468","13,603","7,359","6,794","14,153",,,,,,
17,Bali,252,289,541,1,2,3,"4,036","4,977","9,013","4,289","5,268","9,557",,,,,,
18,Nusa Tenggara Barat,163,132,295,4,7,11,"2,699","1,848","4,547","2,866","1,987","4,853",,,,,,
19,Nusa Tenggara Timur,98,127,225,0,2,2,"2,048","2,068","4,116","2,146","2,197","4,343",,,,,,
20,Kalimantan Barat,116,126,242,0,0,0,"1,701","2,256","3,957","1,817","2,382","4,199",,,,,,
21,Kalimantan Tengah,105,109,214,0,0,0,"1,410","1,557","2,967","1,515","1,666","3,181",,,,,,
22,Kalimantan Selatan,173,127,300,1,1,2,"2,879","2,600","5,479","3,053","2,728","5,781",,,,,,
23,Kalimantan Timur,164,168,332,0,0,0,"3,551","3,352","6,903","3,715","3,520","7,235",,,,,,
24,Kalimantan Utara,42,38,80,0,0,0,912,806,"1,718",954,844,"1,798",,,,,,
25,Sulawesi Utara,122,205,327,3,7,10,"1,768","1,866","3,634","1,893","2,078","3,971",,,,,,
26,Sulawesi Tengah,117,137,254,0,0,0,"1,302","1,596","2,898","1,419","1,733","3,152",,,,,,
27,Sulawesi Selatan,248,347,595,5,3,8,"3,138","3,951","7,089","3,391","4,301","7,692",,,,,,
28,Sulawesi Tenggara,85,94,179,0,1,1,850,966,"1,816",935,"1,061","1,996",,,,,,
29,Gorontalo,46,76,122,0,0,0,661,770,"1,431",707,846,"1,553",,,,,,
30,Sulawesi Barat,24,40,64,0,0,0,402,411,813,426,451,877,,,,,,
31,Maluku,75,69,144,0,2,2,766,850,"1,616",841,921,"1,762",,,,,,
32,Maluku Utara,26,52,78,0,0,0,397,572,969,423,624,"1,047",,,,,,
33,Papua Barat,57,30,87,0,0,0,658,661,"1,319",715,691,"1,406",,,,,,
34,Papua,68,81,149,1,0,1,"1,203","1,257","2,460","1,272","1,338","2,610",,,,,,
Indonesia,,"7,557","8,929","16,486",107,150,257,"175,588","151,330","326,918","183,252","160,409","343,661",,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,8,30,38,0,0,0,0,0,0,,,,,,,,,
2,Sumatera Utara,2,21,23,0,0,0,0,0,0,,,,,,,,,
3,Sumatera Barat,3,18,21,0,0,0,0,0,0,,,,,,,,,
4,Riau,2,23,25,1,0,1,0,0,0,,,,,,,,,
5,Jambi,0,10,10,0,0,0,0,0,0,,,,,,,,,
6,Sumatera Selatan,5,21,26,0,0,0,0,0,0,,,,,,,,,
7,Bengkulu,1,4,5,0,0,0,0,0,0,,,,,,,,,
8,Lampung,3,4,7,0,0,0,0,0,0,,,,,,,,,
9,Kep. Bangka Belitung,0,6,6,0,0,0,0,0,0,,,,,,,,,
10,Kepulauan Riau,1,9,10,0,0,0,0,0,0,,,,,,,,,
11,DKI Jakarta,9,81,90,0,0,0,0,1,1,,,,,,,,,
12,Jawa Barat,3,62,65,0,1,1,0,0,0,,,,,,,,,
13,Jawa Tengah,22,114,136,1,3,4,1,0,1,,,,,,,,,
14,DI Yogyakarta,4,24,28,0,0,0,0,0,0,,,,,,,,,
15,Jawa Timur,14,61,75,1,2,3,3,3,6,,,,,,,,,
16,Banten,6,23,29,0,0,0,0,1,1,,,,,,,,,
17,Bali,2,17,19,0,0,0,0,0,0,,,,,,,,,
18,Nusa Tenggara Barat,1,14,15,0,0,0,0,1,1,,,,,,,,,
19,Nusa Tenggara Timur,1,9,10,0,0,0,0,0,0,,,,,,,,,
20,Kalimantan Barat,4,11,15,0,0,0,0,0,0,,,,,,,,,
21,Kalimantan Tengah,2,8,10,0,0,0,0,0,0,,,,,,,,,
22,Kalimantan Selatan,1,29,30,0,0,0,0,0,0,,,,,,,,,
23,Kalimantan Timur,1,11,12,0,0,0,0,0,0,,,,,,,,,
24,Kalimantan Utara,1,2,3,0,0,0,0,0,0,,,,,,,,,
25,Sulawesi Utara,3,5,8,0,1,1,0,0,0,,,,,,,,,
26,Sulawesi Tengah,10,12,22,0,0,0,0,0,0,,,,,,,,,
27,Sulawesi Selatan,4,5,9,0,0,0,0,0,0,,,,,,,,,
28,Sulawesi Tenggara,2,7,9,0,0,0,0,0,0,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,
30,Sulawesi Barat,1,0,1,0,0,0,0,0,0,,,,,,,,,
31,Maluku,1,7,8,0,0,0,0,0,0,,,,,,,,,
32,Maluku Utara,0,1,1,0,0,0,0,0,0,,,,,,,,,
33,Papua Barat,0,3,3,0,0,0,0,0,0,,,,,,,,,
34,Papua,2,3,5,0,1,1,0,0,0,,,,,,,,,
Indonesia,,119,655,774,3,8,11,4,6,10,,,,,,,,,
