,,Targe,t Renstra 20,19 : 90%,,,,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,1.058,1.014,"95,84",,,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,760,729,"95,92",,,,,,,,,,,,,,,,,,,,,,
14,D.I. Yogyakarata,121,121,121,"100,00",,,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,689,685,"99,42",,,,,,,,,,,,,,,,,,,,,,
16,Banten,243,234,229,"97,86",,,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,120,"100,00",,,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,170,170,"100,00",,,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,399,329,"82,46",,,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,245,244,"99,59",,,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,189,172,"91,01",,,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,235,235,"100,00",,,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,187,186,"99,47",,,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,50,50,"100,00",,,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,188,188,"100,00",,,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,207,196,"94,69",,,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,459,448,446,"99,55",,,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,283,259,"91,52",,,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,90,87,"96,67",,,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,94,94,"100,00",,,,,,,,,,,,,,,,,,,,,,
31,Maluku,209,199,199,"100,00",,,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,128,127,"99,22",,,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,159,160,153,"95,63",,,,,,,,,,,,,,,,,,,,,,
34,Papua,420,392,366,"93,37",,,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.134,9.480,9.133,"96,34",,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,,,
1,Aceh,356,342,698,465,1.050,1.515,821,1.392,2.213,5,13,18,65,300,365,70,313,383,,,,,,,,
2,Sumatera Utara,905,545,1.450,953,2.018,2.971,1.858,2.563,4.421,18,25,43,128,621,749,146,646,792,,,,,,,,
3,Sumatera Barat,404,351,755,317,924,1.241,721,1.275,1.996,7,11,18,64,378,442,71,389,460,,,,,,,,
4,Riau,349,220,569,453,984,1.437,802,1.204,2.006,6,8,14,65,358,423,71,366,437,,,,,,,,
5,Jambi,198,120,318,270,588,858,468,708,1.176,10,8,18,47,182,229,57,190,247,,,,,,,,
6,Sumatera Selatan,366,298,664,352,866,1.218,718,1.164,1.882,11,14,25,65,213,278,76,227,303,,,,,,,,
7,Bengkulu,97,78,175,150,288,438,247,366,613,2,5,7,22,105,127,24,110,134,,,,,,,,
8,Lampung,396,184,580,440,863,1.303,836,1.047,1.883,4,11,15,35,157,192,39,168,207,,,,,,,,
9,Kep. Bangka Belitung,99,63,162,201,317,518,300,380,680,5,5,10,32,69,101,37,74,111,,,,,,,,
10,Kepulauan Riau,212,118,330,206,396,602,418,514,932,16,9,25,37,120,157,53,129,182,,,,,,,,
11,DKI Jakarta,2.785,2.299,5.084,1.940,4.341,6.281,4.725,6.640,11.365,204,443,647,369,1.506,1.875,573,1.949,2.522,,,,,,,,
12,Jawa Barat,1.833,1.198,3.031,2.167,3.573,5.740,4.000,4.771,8.771,72,116,188,267,1.195,1.462,339,1.311,1.650,,,,,,,,
13,Jawa Tengah,2.224,1.358,3.582,2.432,3.733,6.165,4.656,5.091,9.747,63,106,169,308,1.081,1.389,371,1.187,1.558,,,,,,,,
14,DI Yogyakarta,542,458,1.000,481,933,1.414,1.023,1.391,2.414,49,83,132,82,329,411,131,412,543,,,,,,,,
15,Jawa Timur,2.726,1.793,4.519,2.573,3.710,6.283,5.299,5.503,10.802,126,200,326,414,1.492,1.906,540,1.692,2.232,,,,,,,,
16,Banten,616,496,1.112,724,1.290,2.014,1.340,1.786,3.126,19,41,60,72,474,546,91,515,606,,,,,,,,
17,Bali,737,393,1.130,736,785,1.521,1.473,1.178,2.651,17,16,33,138,363,501,155,379,534,,,,,,,,
18,Nusa Tenggara Barat,191,144,335,346,493,839,537,637,1.174,3,11,14,33,129,162,36,140,176,,,,,,,,
19,Nusa Tenggara Timur,64,71,135,218,381,599,282,452,734,1,0,1,28,111,139,29,111,140,,,,,,,,
20,Kalimantan Barat,162,90,252,303,387,690,465,477,942,5,8,13,38,98,136,43,106,149,,,,,,,,
21,Kalimantan Tengah,125,94,219,224,322,546,349,416,765,4,6,10,24,77,101,28,83,111,,,,,,,,
22,Kalimantan Selatan,286,161,447,264,528,792,550,689,1.239,11,15,26,70,163,233,81,178,259,,,,,,,,
23,Kalimantan Timur,278,187,465,298,583,881,576,770,1.346,11,24,35,62,199,261,73,223,296,,,,,,,,
24,Kalimantan Utara,63,38,101,107,141,248,170,179,349,2,3,5,14,32,46,16,35,51,,,,,,,,
25,Sulawesi Utara,226,176,402,303,635,938,529,811,1.340,1,5,6,38,89,127,39,94,133,,,,,,,,
26,Sulawesi Tengah,108,134,242,181,314,495,289,448,737,1,3,4,32,104,136,33,107,140,,,,,,,,
27,Sulawesi Selatan,490,588,1.078,430,1.029,1.459,920,1.617,2.537,22,55,77,118,568,686,140,623,763,,,,,,,,
28,Sulawesi Tenggara,100,87,187,192,361,553,292,448,740,0,4,4,37,140,177,37,144,181,,,,,,,,
29,Gorontalo,68,56,124,94,165,259,162,221,383,1,1,2,12,50,62,13,51,64,,,,,,,,
30,Sulawesi Barat,42,41,83,76,149,225,118,190,308,2,4,6,17,70,87,19,74,93,,,,,,,,
31,Maluku,49,40,89,90,224,314,139,264,403,1,1,2,12,40,52,13,41,54,,,,,,,,
32,Maluku Utara,45,36,81,93,150,243,138,186,324,3,1,4,13,35,48,16,36,52,,,,,,,,
33,Papua Barat,50,33,83,86,133,219,136,166,302,1,0,1,10,29,39,11,29,40,,,,,,,,
34,Papua,76,55,131,225,354,579,301,409,710,1,1,2,19,57,76,20,58,78,,,,,,,,
Indonesia,,17.268,12.345,29.613,18.390,33.008,51.398,35.658,45.353,81.011,704,1.256,1.960,2.787,10.934,13.721,3.491,12.190,15.681,,,,,,,,
No,Provinsi,Dokter Spesialis a,,,Dokter Umum,,,Total,,,Dokter Gigi Spesialis,,,Dokter Gigi,,,Total,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,,,
1,Aceh,0,0,0,225,607,832,225,607,832,0,1,1,46,237,283,46,238,284,,,,,,,,
2,Sumatera Utara,9,4,13,432,1.157,1.589,441,1.161,1.602,0,3,3,82,490,572,82,493,575,,,,,,,,
3,Sumatera Barat,2,3,5,110,444,554,112,447,559,0,1,1,36,282,318,36,283,319,,,,,,,,
4,Riau,1,0,1,205,554,759,206,554,760,0,0,0,42,261,303,42,261,303,,,,,,,,
5,Jambi,0,1,1,104,266,370,104,267,371,0,0,0,27,116,143,27,116,143,,,,,,,,
6,Sumatera Selatan,1,8,9,138,436,574,139,444,583,0,1,1,43,125,168,43,126,169,,,,,,,,
7,Bengkulu,0,0,0,79,147,226,79,147,226,0,0,0,12,60,72,12,60,72,,,,,,,,
8,Lampung,0,0,0,206,472,678,206,472,678,0,1,1,14,113,127,14,114,128,,,,,,,,
9,Kep. Bangka Belitung,0,0,0,68,123,191,68,123,191,0,0,0,22,44,66,22,44,66,,,,,,,,
10,Kepulauan Riau,2,0,2,86,226,312,88,226,314,0,0,0,21,75,96,21,75,96,,,,,,,,
11,DKI Jakarta,0,0,0,370,1.410,1.780,370,1.410,1.780,0,0,0,82,416,498,82,416,498,,,,,,,,
12,Jawa Barat,1,2,3,752,1.637,2.389,753,1.639,2.392,0,0,0,134,729,863,134,729,863,,,,,,,,
13,Jawa Tengah,1,0,1,711,1.311,2.022,712,1.311,2.023,1,4,5,144,626,770,145,630,775,,,,,,,,
14,DI Yogyakarta,0,0,0,107,319,426,107,319,426,0,2,2,15,156,171,15,158,173,,,,,,,,
15,Jawa Timur,0,1,1,721,1.466,2.187,721,1.467,2.188,0,3,3,197,862,1.059,197,865,1.062,,,,,,,,
16,Banten,3,4,7,160,472,632,163,476,639,2,0,2,38,264,302,40,264,304,,,,,,,,
17,Bali,0,0,0,213,249,462,213,249,462,0,0,0,77,196,273,77,196,273,,,,,,,,
18,Nusa Tenggara Barat,0,0,0,137,218,355,137,218,355,0,0,0,25,88,113,25,88,113,,,,,,,,
19,Nusa Tenggara Timur,0,1,1,125,229,354,125,230,355,0,0,0,25,84,109,25,84,109,,,,,,,,
20,Kalimantan Barat,1,0,1,165,215,380,166,215,381,0,1,1,19,71,90,19,72,91,,,,,,,,
21,Kalimantan Tengah,0,0,0,107,186,293,107,186,293,0,0,0,15,62,77,15,62,77,,,,,,,,
22,Kalimantan Selatan,0,0,0,120,308,428,120,308,428,1,1,2,40,107,147,41,108,149,,,,,,,,
23,Kalimantan Timur,0,0,0,118,283,401,118,283,401,0,0,0,41,140,181,41,140,181,,,,,,,,
24,Kalimantan Utara,0,0,0,40,58,98,40,58,98,0,0,0,12,23,35,12,23,35,,,,,,,,
25,Sulawesi Utara,1,1,2,130,359,489,131,360,491,0,0,0,21,47,68,21,47,68,,,,,,,,
26,Sulawesi Tengah,0,2,2,93,165,258,93,167,260,0,0,0,24,72,96,24,72,96,,,,,,,,
27,Sulawesi Selatan,0,4,4,189,610,799,189,614,803,0,1,1,74,402,476,74,403,477,,,,,,,,
28,Sulawesi Tenggara,0,0,0,93,229,322,93,229,322,0,0,0,24,104,128,24,104,128,,,,,,,,
29,Gorontalo,0,0,0,32,81,113,32,81,113,0,0,0,8,39,47,8,39,47,,,,,,,,
30,Sulawesi Barat,0,0,0,39,92,131,39,92,131,0,0,0,12,56,68,12,56,68,,,,,,,,
31,Maluku,0,0,0,45,132,177,45,132,177,0,0,0,7,27,34,7,27,34,,,,,,,,
32,Maluku Utara,0,1,1,45,74,119,45,75,120,0,0,0,8,30,38,8,30,38,,,,,,,,
33,Papua Barat,0,0,0,36,60,96,36,60,96,0,0,0,3,14,17,3,14,17,,,,,,,,
34,Papua,0,1,1,106,192,298,106,193,299,0,0,0,10,34,44,10,34,44,,,,,,,,
Indonesia,,22,33,55,6.307,14.787,21.094,6.329,14.820,21.149,4,19,23,1.400,6.452,7.852,1.404,6.471,7.875,,,,,,,,
No,Provinsi,Persentase Puskesmas dengan Kecukupan Dokter,,,Persentase Puskesmas dengan Kecukupan Dokter Gigi,,,Persentase Puskesmas dengan Kecukupan Perawat,,,Persentase Puskesmas dengan Kecukupan Bidan,,,,,,,,,,,,,,,,
,,Cukup,Kurang,Lebih,Cukup,Kurang,Lebih,Cukup,Kurang,Lebih,Cukup,Kurang,Lebih,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,,,,,,,,,
1,Aceh,"26,55","14,97","58,47","54,24","32,77","12,99","4,52","12,15","83,33","1,41","3,95","94,63",,,,,,,,,,,,,,
2,Sumatera Utara,"22,50","15,17","62,33","35,67","38,00","26,33","4,67","16,67","78,67","2,17","2,17","95,67",,,,,,,,,,,,,,
3,Sumatera Barat,"39,57","11,51","48,92","69,78","10,43","19,78","12,95","19,78","67,27","1,44","1,44","97,12",,,,,,,,,,,,,,
4,Riau,"14,59","9,87","75,54","53,65","14,16","32,19","6,01","5,58","88,41","3,43","1,29","95,28",,,,,,,,,,,,,,
5,Jambi,"37,56","20,98","41,46","58,05","36,59","5,37","6,34","15,61","78,05","1,95","2,44","95,61",,,,,,,,,,,,,,
6,Sumatera Selatan,"38,42","21,11","40,47","40,76","54,25","4,99","3,23","7,04","89,74","1,17","1,76","97,07",,,,,,,,,,,,,,
7,Bengkulu,"46,93","25,70","27,37","34,08","62,57","3,35","7,82","11,17","81,01","1,12","1,12","97,77",,,,,,,,,,,,,,
8,Lampung,"36,04","9,74","54,22","24,03","67,86","8,12","3,25","5,19","91,56","0,65","0,00","99,35",,,,,,,,,,,,,,
9,Kep. Bangka Belitung,"21,88","6,25","71,88","71,88","14,06","14,06","0,00","0,00","100,00","0,00","0,00","100,00",,,,,,,,,,,,,,
10,Kepulauan Riau,"24,14","10,34","65,52","47,13","25,29","27,59","2,30","6,90","90,80","1,15","1,15","97,70",,,,,,,,,,,,,,
11,DKI Jakarta,"10,71","0,30","88,99","76,79","4,17","19,05","3,87","77,98","18,15","10,12","68,45","21,43",,,,,,,,,,,,,,
12,Jawa Barat,"26,91","5,44","67,65","52,90","34,38","12,72","10,23","19,63","70,14","4,52","4,24","91,24",,,,,,,,,,,,,,
13,Jawa Tengah,"28,16","6,84","64,99","71,84","20,41","7,75","8,89","12,77","78,34","1,48","4,68","93,84",,,,,,,,,,,,,,
14,DI Yogyakarta,"9,92","0,83","89,26","60,33","1,65","38,02","19,01","14,88","66,12","4,13","12,40","83,47",,,,,,,,,,,,,,
15,Jawa Timur,"38,57","14,17","47,26","66,29","13,65","20,06","4,24","3,72","92,04","1,65","1,03","97,31",,,,,,,,,,,,,,
16,Banten,"22,31","6,61","71,07","39,26","21,90","38,84","11,16","15,70","73,14","2,07","1,65","96,28",,,,,,,,,,,,,,
17,Bali,"11,67","1,67","86,67","29,17","3,33","67,50","3,33","1,67","95,00","0,00","0,00","100,00",,,,,,,,,,,,,,
18,Nusa Tenggara Barat,"35,50","21,30","43,20","60,36","36,09","3,55","0,59","4,14","95,27","2,96","3,55","93,49",,,,,,,,,,,,,,
19,Nusa Tenggara Timur,"36,53","49,74","13,73","24,61","73,06","2,33","4,66","15,28","80,05","4,66","11,66","83,68",,,,,,,,,,,,,,
20,Kalimantan Barat,"42,04","24,49","33,47","34,29","64,08","1,63","2,86","12,24","84,90","4,90","7,76","87,35",,,,,,,,,,,,,,
21,Kalimantan Tengah,"35,47","33,99","30,54","29,56","66,50","3,94","2,46","0,99","96,55","0,49","2,46","97,04",,,,,,,,,,,,,,
22,Kalimantan Selatan,"40,08","11,81","48,10","57,81","40,08","2,11","3,80","3,80","92,41","2,11","1,69","96,20",,,,,,,,,,,,,,
23,Kalimantan Timur,"30,11","26,88","43,01","52,69","27,42","19,89","2,15","13,44","84,41","3,23","10,22","86,56",,,,,,,,,,,,,,
24,Kalimantan Utara,"37,50","33,93","28,57","37,50","50,00","12,50","3,57","7,14","89,29","1,79","8,93","89,29",,,,,,,,,,,,,,
25,Sulawesi Utara,"17,77","26,40","55,84","27,41","69,04","3,55","5,58","13,71","80,71","9,14","31,98","58,88",,,,,,,,,,,,,,
26,Sulawesi Tengah,"40,29","36,89","22,82","39,81","56,31","3,88","0,49","6,80","92,72","0,00","0,97","99,03",,,,,,,,,,,,,,
27,Sulawesi Selatan,"42,08","22,99","34,92","59,87","19,74","20,39","6,29","11,50","82,21","7,81","8,46","83,73",,,,,,,,,,,,,,
28,Sulawesi Tenggara,"49,13","35,19","15,68","40,77","56,79","2,44","5,92","24,04","70,03","4,88","9,76","85,37",,,,,,,,,,,,,,
29,Gorontalo,"49,46","26,88","23,66","49,46","49,46","1,08","6,45","9,68","83,87","3,23","1,08","95,70",,,,,,,,,,,,,,
30,Sulawesi Barat,"43,16","33,68","23,16","58,95","34,74","6,32","7,37","23,16","69,47","6,32","7,37","86,32",,,,,,,,,,,,,,
31,Maluku,"36,02","51,66","12,32","15,17","83,89","0,95","13,74","19,43","66,82","10,43","45,50","44,08",,,,,,,,,,,,,,
32,Maluku Utara,"35,97","48,20","15,83","24,46","74,10","1,44","7,91","30,22","61,87","6,47","5,76","87,77",,,,,,,,,,,,,,
33,Papua Barat,"26,53","63,27","10,20","8,16","89,80","2,04","4,08","30,61","65,31","12,93","41,50","45,58",,,,,,,,,,,,,,
34,Papua,"26,11","58,22","15,67","10,70","87,99","1,31","8,88","38,12","53,00","8,62","53,26","38,12",,,,,,,,,,,,,,
Indonesia,,"31,61","19,97","48,42","48,11","38,80","13,09","6,32","15,79","77,90","3,69","9,96","86,34",,,,,,,,,,,,,,
No,Provinsi,Batch XII (Peride I Tahun 2019),,Batch XIII (Periode II Tahun 2019),,Batch XIV (Periode III Tahun 2019),,,,,,,,,,,,,,,,,,,,,
,,Jumlah Kabupaten/Kota,Jumlah Puskesmas,Jumlah Kabupaten/Kota,Jumlah Puskesmas,Jumlah Kabupaten/Kota,Jumlah Puskesmas,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),,,,,,,,,,,,,,,,,,,,
1,Aceh,1,7,4,9,2,5,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,2,7,3,4,1,4,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,
4,Riau,0,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,
5,Jambi,0,0,3,3,0,0,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,1,1,3,5,0,0,,,,,,,,,,,,,,,,,,,,
8,Lampung,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
11,Jawa Barat,0,0,1,7,0,0,,,,,,,,,,,,,,,,,,,,
12,Jawa Timur,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
13,Nusa Tenggara Barat,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
14,Nusa Tenggara Timur,2,3,4,7,4,6,,,,,,,,,,,,,,,,,,,,
15,Kalimantan Barat,2,2,0,0,3,5,,,,,,,,,,,,,,,,,,,,
16,Kalimantan Tengah,2,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,
17,Kalimantan Selatan,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
18,Kalimantan Timur,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
19,Kalimantan Utara,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,,
20,Sulawesi Utara,1,1,0,0,3,6,,,,,,,,,,,,,,,,,,,,
21,Sulawesi Tengah,4,11,1,1,1,2,,,,,,,,,,,,,,,,,,,,
22,Sulawesi Selatan,0,0,2,3,0,0,,,,,,,,,,,,,,,,,,,,
23,Sulawesi Tenggara,4,5,4,9,2,5,,,,,,,,,,,,,,,,,,,,
24,Gorontalo,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Barat,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,
26,Maluku,2,5,3,6,2,6,,,,,,,,,,,,,,,,,,,,
27,Maluku Utara,1,1,3,5,1,2,,,,,,,,,,,,,,,,,,,,
28,Papua Barat,1,1,0,0,2,8,,,,,,,,,,,,,,,,,,,,
29,Papua,1,3,4,5,0,0,,,,,,,,,,,,,,,,,,,,
Indonesia,,25,50,38,70,24,53,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Periode I,,Periode II,,Periode III,,Periode IV,,Periode V,,Periode VI,,Periode VII,,Periode VIII,,Periode IX,,Periode X,,,,,,,
,,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,Jumlah Kabupaten/ Kota,Jumlah Puskesmas,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(11),(12),(13),(14),(11),(12),(13),(14),,,,,,
1,Aceh,2,4,6,25,2,3,1,5,4,9,1,1,5,15,10,65,17,63,4,18,,,,,,
2,Sumatera Utara,2,10,1,1,2,3,2,5,4,18,5,14,8,13,4,11,4,18,5,15,,,,,,
3,Sumatera Barat,3,3,0,0,5,16,0,0,4,8,1,2,1,2,10,44,11,65,8,16,,,,,,
4,Riau,1,2,2,2,5,12,0,0,1,2,2,2,1,1,3,11,4,17,3,9,,,,,,
5,Jambi,0,0,0,0,5,18,0,0,3,6,1,1,2,3,4,24,4,18,3,5,,,,,,
6,Sumatera Selatan,2,3,0,0,1,1,0,0,0,0,0,0,0,0,5,14,6,22,4,12,,,,,,
7,Bengkulu,4,5,1,3,3,4,0,0,1,1,1,1,4,14,0,0,0,1,0,0,,,,,,
8,Lampung,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,12,2,10,,,,,,
9,Kep. Bangka Belitung,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,2,2,2,3,5,,,,,,
10,Kepulauan Riau,2,2,2,3,3,5,0,0,1,1,0,0,0,0,2,4,3,5,3,7,,,,,,
11,Jawa Barat,1,7,1,3,1,7,0,0,0,0,0,0,2,13,0,0,1,5,0,1,,,,,,
12,Jawa Tengah,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,18,1,6,,,,,,
13,Jawa Timur,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,9,3,16,1,4,,,,,,
14,Nusa Tenggara Barat,0,0,1,2,0,0,0,0,1,1,0,0,2,3,1,8,1,6,1,3,,,,,,
15,Nusa Tenggara Timur,4,7,3,11,4,24,1,2,5,36,8,23,4,12,3,9,6,14,1,1,,,,,,
16,Kalimantan Barat,2,12,2,8,1,5,1,1,2,5,3,15,2,13,1,3,5,12,1,3,,,,,,
17,Kalimantan Tengah,4,14,2,2,4,7,1,1,4,8,3,9,3,4,1,1,4,5,0,0,,,,,,
18,Kalimantan Selatan,1,3,0,0,1,1,0,0,0,0,0,0,0,0,3,13,4,8,1,4,,,,,,
19,Kalimantan Timur,1,1,0,1,0,0,0,0,2,7,1,3,2,12,1,2,1,2,0,0,,,,,,
20,Kalimantan Utara,1,4,0,0,1,4,0,0,0,0,2,6,2,7,1,1,1,2,1,1,,,,,,
21,Sulawesi Utara,1,1,0,0,1,6,1,1,1,1,2,4,1,1,5,12,8,33,5,24,,,,,,
22,Sulawesi Tengah,8,13,8,13,10,40,1,6,6,8,10,30,5,25,2,9,7,40,4,21,,,,,,
23,Sulawesi Selatan,4,11,1,2,1,2,0,0,1,4,1,2,2,3,2,19,3,15,2,3,,,,,,
24,Sulawesi Tenggara,9,58,8,35,7,34,1,1,5,17,6,24,6,37,1,3,8,38,4,11,,,,,,
25,Gorontalo,1,1,0,1,1,3,0,0,2,3,3,12,1,3,2,4,6,27,4,13,,,,,,
26,Sulawesi Barat,3,4,3,5,3,14,0,0,3,7,3,7,3,7,0,0,0,0,4,6,,,,,,
27,Maluku,1,4,1,2,3,10,1,2,1,2,3,13,1,5,0,0,2,5,2,7,,,,,,
28,Maluku Utara,3,5,0,0,2,14,0,0,4,15,4,10,5,22,6,10,6,36,4,8,,,,,,
29,Papua Barat,1,1,2,4,2,8,0,0,0,0,2,3,1,2,1,2,2,6,2,5,,,,,,
30,Papua,0,0,1,2,1,1,1,2,1,2,1,2,1,1,1,4,1,4,1,2,,,,,,
Indonesia,,64,181,45,125,71,245,11,26,56,161,63,184,65,219,75,303,123,515,74,220,,,,,,
No,Provinsi,Puskesmas,,,,Rumah Sakit,,,,Sarana Pelayanan Kesehatan Lainnya,,,,Total,,,,,,,,,,,,,
,,Perawata,,,Bidan,Perawata,,,Bidan,Perawata,,,Bidan,Perawata,,,Bidan,,,,,,,,,,
,,L,P,L+P,,L,P,L+P,,L,P,L+P,,L,P,L+P,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,
1,Aceh,1.161,2.994,4.155,8.309,1.720,3.488,5.208,2.237,40,54,94,74,2.921,6.536,9.457,10.620,,,,,,,,,,
2,Sumatera Utara,1.691,4.702,6.393,14.338,1.871,5.758,7.629,2.925,90,128,218,118,3.652,10.588,14.240,17.381,,,,,,,,,,
3,Sumatera Barat,380,2.078,2.458,4.809,897,4.601,5.498,1.040,20,95,115,81,1.297,6.774,8.071,5.930,,,,,,,,,,
4,Riau,901,2.568,3.469,4.907,1.010,3.145,4.155,1.583,39,51,90,104,1.950,5.764,7.714,6.594,,,,,,,,,,
5,Jambi,772,1.696,2.468,3.428,785,2.593,3.378,912,104,147,251,289,1.661,4.436,6.097,4.629,,,,,,,,,,
6,Sumatera Selatan,1.431,4.245,5.676,9.372,1.336,5.259,6.595,2.068,55,83,138,79,2.822,9.587,12.409,11.519,,,,,,,,,,
7,Bengkulu,505,1.246,1.751,2.609,709,1.480,2.189,782,21,26,47,47,1.235,2.752,3.987,3.438,,,,,,,,,,
8,Lampung,1.631,2.489,4.120,6.964,1.729,3.228,4.957,1.560,59,86,145,143,3.419,5.803,9.222,8.667,,,,,,,,,,
9,Kep. Bangka Belitung,308,710,1.018,863,552,1.317,1.869,401,83,138,221,102,943,2.165,3.108,1.366,,,,,,,,,,
10,Kepulauan Riau,275,859,1.134,1.173,536,1.807,2.343,531,31,56,87,49,842,2.722,3.564,1.753,,,,,,,,,,
11,DKI Jakarta,494,1.428,1.922,1.774,4.391,19.503,23.894,2.987,454,680,1.134,774,5.339,21.611,26.950,5.535,,,,,,,,,,
12,Jawa Barat,4.498,5.780,10.278,14.906,7.674,16.943,24.617,5.058,328,524,852,1.025,12.500,23.247,35.747,20.989,,,,,,,,,,
13,Jawa Tengah,3.497,5.594,9.091,15.224,10.213,22.949,33.162,5.942,778,2.076,2.854,2.173,14.488,30.619,45.107,23.339,,,,,,,,,,
14,DI Yogyakarta,273,625,898,878,1.571,5.455,7.026,907,51,236,287,251,1.895,6.316,8.211,2.036,,,,,,,,,,
15,Jawa Timur,6.021,8.184,14.205,15.400,10.971,21.173,32.144,6.534,708,1.107,1.815,1.006,17.700,30.464,48.164,22.940,,,,,,,,,,
16,Banten,827,1.283,2.110,3.495,1.856,5.426,7.282,1.661,82,140,222,339,2.765,6.849,9.614,5.495,,,,,,,,,,
17,Bali,502,999,1.501,2.233,1.854,4.441,6.295,1.913,116,319,435,352,2.472,5.759,8.231,4.498,,,,,,,,,,
18,Nusa Tenggara Barat,1.365,2.045,3.410,3.119,1.265,2.266,3.531,1.065,64,67,131,55,2.694,4.378,7.072,4.239,,,,,,,,,,
19,Nusa Tenggara Timur,1.343,3.014,4.357,4.158,419,1.694,2.113,786,23,40,63,37,1.785,4.748,6.533,4.981,,,,,,,,,,
20,Kalimantan Barat,1.514,1.766,3.280,3.060,1.082,2.086,3.168,749,57,58,115,105,2.653,3.910,6.563,3.914,,,,,,,,,,
21,Kalimantan Tengah,1.438,1.938,3.376,2.749,716,1.414,2.130,589,72,55,127,53,2.226,3.407,5.633,3.391,,,,,,,,,,
