No,Fasilitas Kesehatan,Pemilikan/Pengelola,,,,,,,,,,,,,,,,,
,,Kemenkes,,Pemerintah Provinsi,,Pemerintah Kab/Kota,,TNI/POLRI,,BUMN/Kementerian Lain*,,Swasta,,Jumlah,,,,,
22,Kalimantan Selatan,338,215,553,207,286,493,545,501,1.046,11,19,30,32,59,91,43,78,121
23,Kalimantan Timur,402,287,689,276,397,673,678,684,1.362,15,34,49,23,55,78,38,89,127
24,Kalimantan Utara,75,50,125,68,71,139,143,121,264,3,3,6,3,11,14,6,14,20
25,Sulawesi Utara,279,240,519,438,501,939,717,741,1.458,4,7,11,21,55,76,25,62,87
26,Sulawesi Tengah,138,151,289,132,225,357,270,376,646,1,5,6,14,40,54,15,45,60
27,Sulawesi Selatan,651,747,1.398,368,626,994,1.019,1.373,2.392,24,62,86,40,184,224,64,246,310
28,Sulawesi Tenggara,122,98,220,122,158,280,244,256,500,3,6,9,16,44,60,19,50,69
29,Gorontalo,71,66,137,91,136,227,162,202,364,2,1,3,7,12,19,9,13,22
30,Sulawesi Barat,47,52,99,41,74,115,88,126,214,3,5,8,4,12,16,7,17,24
31,Maluku,67,62,129,85,166,251,152,228,380,3,3,6,8,15,23,11,18,29
32,Maluku Utara,46,42,88,72,86,158,118,128,246,3,1,4,5,6,11,8,7,15
33,Papua Barat,63,34,97,79,116,195,142,150,292,0,0,0,10,15,25,10,15,25
34,Papua,115,81,196,135,197,332,250,278,528,3,3,6,11,26,37,14,29,43
Indonesia,,21.823,16.129,37.952,14.184,20.601,34.785,36.007,36.730,72.737,854,1.561,2.415,1.245,3.794,5.039,2.099,5.355,7.454
No,Provinsi,Dokter Spesialis Dasar,,,,Dokter Spesialis Penunjang,,,,,Spesialis Lain,Dokter Gigi Spesialis,Total,,,,,,
,,Spesialis Penyakit Dalam,Spesialis Obstetri dan Ginekologi,Spesialis Anak,Spesialis Bedah,Spesialis Radiologi,Spesialis Anestesi,Spesialis Patologi Klinik,Spesialis Patologi Anatomi,Spesialis Rehabilitasi Medik,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,125,95,93,67,27,56,43,9,7,271,22,815,,,,,,
2,Sumatera Utara,299,257,242,162,54,124,112,35,5,714,68,2.072,,,,,,
3,Sumatera Barat,138,103,107,83,27,64,56,16,3,397,24,1.018,,,,,,
4,Riau,121,134,108,77,30,54,36,17,3,294,29,903,,,,,,
5,Jambi,81,58,42,38,16,35,21,9,1,159,22,482,,,,,,
6,Sumatera Selatan,174,140,115,101,33,59,26,27,8,314,37,1.034,,,,,,
7,Bengkulu,37,36,27,31,8,16,15,2,1,59,10,242,,,,,,
8,Lampung,102,120,78,74,39,54,35,11,2,251,21,787,,,,,,
9,Kep. Bangka Belitung,28,35,31,23,12,12,14,5,0,82,18,260,,,,,,
10,Kepulauan Riau,41,55,42,40,19,31,17,10,1,171,32,459,,,,,,
11,DKI Jakarta,724,724,655,276,266,455,187,95,46,2.916,831,7.175,,,,,,
12,Jawa Barat,794,718,703,412,278,444,202,68,56,2.218,417,6.310,,,,,,
13,Jawa Tengah,622,532,480,369,219,332,140,57,28,1.736,228,4.743,,,,,,
14,DI Yogyakarta,167,121,152,87,61,80,52,21,4,532,230,1.507,,,,,,
15,Jawa Timur,710,668,532,372,268,360,224,97,39,2.458,413,6.141,,,,,,
16,Banten,219,243,206,119,77,134,68,18,15,642,96,1.837,,,,,,
17,Bali,210,221,180,133,53,101,28,30,6,637,60,1.659,,,,,,
18,Nusa Tenggara Barat,50,63,50,40,22,29,18,6,1,172,16,467,,,,,,
19,Nusa Tenggara Timur,56,41,31,30,13,18,16,2,5,43,4,259,,,,,,
20,Kalimantan Barat,50,61,45,44,18,27,17,4,2,106,17,391,,,,,,
21,Kalimantan Tengah,46,44,34,38,12,29,19,4,2,100,11,339,,,,,,
22,Kalimantan Selatan,88,72,56,47,24,41,30,7,4,236,35,640,,,,,,
23,Kalimantan Timur,93,91,75,64,34,65,28,11,7,276,53,797,,,,,,
24,Kalimantan Utara,14,15,21,13,6,9,8,2,2,50,8,148,,,,,,
25,Sulawesi Utara,110,67,74,45,17,34,13,1,3,185,12,561,,,,,,
26,Sulawesi Tengah,54,45,44,33,20,21,14,3,1,123,7,365,,,,,,
27,Sulawesi Selatan,202,164,121,128,84,91,82,32,6,582,99,1.591,,,,,,
28,Sulawesi Tenggara,31,28,28,21,23,19,13,2,1,78,10,254,,,,,,
29,Gorontalo,25,14,19,12,7,12,6,2,0,54,3,154,,,,,,
30,Sulawesi Barat,13,12,12,14,5,11,6,0,0,36,9,118,,,,,,
31,Maluku,19,20,14,17,9,9,6,3,1,39,7,144,,,,,,
32,Maluku Utara,24,18,11,17,5,12,7,0,0,21,9,124,,,,,,
33,Papua Barat,26,28,16,20,11,8,3,0,0,23,1,136,,,,,,
34,Papua,25,42,26,25,11,17,17,0,2,55,6,226,,,,,,
Indonesia,,5.518,5.085,4.470,3.072,1.808,2.863,1.579,606,262,16.030,2.865,44.158,,,,,,
No,Provinsi,Puskesmas,,,,Rumah Sakit,,,,Sarana Pelayanan Kesehatan Lainnya,,,,Total,,,,,
,,Perawata,,,Bidan,Perawata,,,Bidan,Perawata,,,Bidan,Perawata,,,Bidan,,
,,L,P,L+P,,L,P,L+P,,L,P,L+P,,L,P,L+P,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
1,Aceh,2.107,5.202,7.309,13.305,2.502,4.984,7.486,3.500,131,104,235,166,4.740,10.290,15.030,16.971,,
2,Sumatera Utara,2.085,5.237,7.322,15.630,3.017,8.885,11.902,4.072,130,183,313,254,5.232,14.305,19.537,19.956,,
3,Sumatera Barat,487,2.315,2.802,5.360,1.172,5.393,6.565,1.371,50,162,212,145,1.709,7.870,9.579,6.876,,
4,Riau,903,2.535,3.438,4.898,1.451,4.046,5.497,1.795,52,97,149,149,2.406,6.678,9.084,6.842,,
5,Jambi,1.032,2.384,3.416,4.913,1.027,2.857,3.884,1.181,123,177,300,266,2.182,5.418,7.600,6.360,,
6,Sumatera Selatan,1.503,4.414,5.917,9.773,1.641,5.960,7.601,2.400,113,156,269,184,3.257,10.530,13.787,12.357,,
7,Bengkulu,585,1.465,2.050,2.848,746,1.621,2.367,860,57,88,145,96,1.388,3.174,4.562,3.804,,
8,Lampung,1.710,2.550,4.260,7.461,2.096,3.701,5.797,1.669,112,147,259,254,3.918,6.398,10.316,9.384,,
9,Kep. Bangka Belitung,307,703,1.010,940,618,1.386,2.004,424,104,163,267,102,1.029,2.252,3.281,1.466,,
10,Kepulauan Riau,291,867,1.158,1.309,716,2.158,2.874,693,51,78,129,51,1.058,3.103,4.161,2.053,,
11,DKI Jakarta,500,1.449,1.949,1.867,5.452,23.174,28.626,3.436,614,1.038,1.652,1.017,6.566,25.661,32.227,6.320,,
12,Jawa Barat,4.705,6.058,10.763,15.888,12.963,28.801,41.764,7.517,618,927,1.545,1.618,18.286,35.786,54.072,25.023,,
13,Jawa Tengah,3.564,5.858,9.422,16.096,12.132,27.407,39.539,6.976,1.055,2.622,3.677,2.537,16.751,35.887,52.638,25.609,,
14,DI Yogyakarta,281,647,928,953,1.758,5.964,7.722,1.064,99,415,514,313,2.138,7.026,9.164,2.330,,
15,Jawa Timur,6.373,8.568,14.941,16.394,13.023,25.224,38.247,7.514,952,1.693,2.645,1.318,20.348,35.485,55.833,25.226,,
16,Banten,1.045,1.356,2.401,3.884,2.648,7.703,10.351,2.133,157,236,393,445,3.850,9.295,13.145,6.462,,
17,Bali,539,1.115,1.654,2.368,2.431,5.736,8.167,2.123,216,508,724,407,3.186,7.359,10.545,4.898,,
18,Nusa Tenggara Barat,1.842,2.769,4.611,4.310,1.507,2.561,4.068,1.167,175,142,317,90,3.524,5.472,8.996,5.567,,
19,Nusa Tenggara Timur,1.671,3.841,5.512,5.640,780,2.709,3.489,1.173,73,82,155,48,2.524,6.632,9.156,6.861,,
20,Kalimantan Barat,1.868,2.104,3.972,3.694,1.522,2.737,4.259,1.024,96,95,191,119,3.486,4.936,8.422,4.837,,
21,Kalimantan Tengah,1.550,2.099,3.649,3.020,963,1.829,2.792,732,104,94,198,76,2.617,4.022,6.639,3.828,,
22,Kalimantan Selatan,1.090,1.492,2.582,3.370,2.170,3.084,5.254,1.303,144,99,243,88,3.404,4.675,8.079,4.761,,
23,Kalimantan Timur,797,1.595,2.392,2.292,1.762,4.256,6.018,1.253,39,88,127,67,2.598,5.939,8.537,3.612,,
24,Kalimantan Utara,321,594,915,713,297,693,990,271,37,50,87,25,655,1.337,1.992,1.009,,
25,Sulawesi Utara,409,2.080,2.489,1.467,1.030,3.451,4.481,659,74,165,239,33,1.513,5.696,7.209,2.159,,
26,Sulawesi Tengah,972,2.187,3.159,3.946,953,2.576,3.529,1.209,118,130,248,60,2.043,4.893,6.936,5.215,,
27,Sulawesi Selatan,1.369,5.488,6.857,8.203,2.395,9.214,11.609,2.933,168,337,505,246,3.932,15.039,18.971,11.382,,
28,Sulawesi Tenggara,961,2.709,3.670,3.879,752,2.084,2.836,965,48,90,138,69,1.761,4.883,6.644,4.913,,
29,Gorontalo,257,691,948,1.027,417,1.052,1.469,455,39,52,91,46,713,1.795,2.508,1.528,,
30,Sulawesi Barat,486,1.341,1.827,2.405,307,874,1.181,445,24,56,80,56,817,2.271,3.088,2.906,,
31,Maluku,695,1.871,2.566,1.415,434,1.522,1.956,474,72,116,188,45,1.201,3.509,4.710,1.934,,
32,Maluku Utara,448,872,1.320,1.919,303,856,1.159,453,35,47,82,33,786,1.775,2.561,2.405,,
33,Papua Barat,575,1.079,1.654,1.063,396,965,1.361,365,25,22,47,17,996,2.066,3.062,1.445,,
34,Papua,1.374,2.116,3.490,2.201,669,1.819,2.488,632,100,85,185,72,2.143,4.020,6.163,2.905,,
Indonesia,,44.702,87.651,132.353,174.451,82.050,207.282,289.332,64.241,6.005,10.544,16.549,10.512,132.757,305.477,438.234,249.204,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,692,2.122,2.814,286,956,1.242,93,924,1.017,,,,,,,,,
2,Sumatera Utara,517,1.984,2.501,271,519,790,126,1.146,1.272,,,,,,,,,
3,Sumatera Barat,172,647,819,151,413,564,83,858,941,,,,,,,,,
4,Riau,242,665,907,108,228,336,38,552,590,,,,,,,,,
5,Jambi,235,516,751,161,307,468,43,399,442,,,,,,,,,
6,Sumatera Selatan,402,1.252,1.654,157,601,758,71,740,811,,,,,,,,,
7,Bengkulu,278,672,950,127,152,279,55,413,468,,,,,,,,,
8,Lampung,260,567,827,202,408,610,86,540,626,,,,,,,,,
9,Kepulauan Bangka Belitung,91,206,297,41,120,161,40,197,237,,,,,,,,,
10,Kepulauan Riau,101,177,278,103,185,288,22,199,221,,,,,,,,,
11,DKI Jakarta,101,279,380,236,402,638,165,1.204,1.369,,,,,,,,,
12,Jawa Barat,878,1.680,2.558,544,1.018,1.562,412,2.376,2.788,,,,,,,,,
13,Jawa Tengah,495,1.782,2.277,659,1.187,1.846,311,2.640,2.951,,,,,,,,,
14,DI Yogyakarta,75,267,342,160,221,381,87,563,650,,,,,,,,,
15,Jawa Timur,375,1.599,1.974,547,1.120,1.667,451,2.962,3.413,,,,,,,,,
16,Banten,186,422,608,129,237,366,68,497,565,,,,,,,,,
17,Bali,121,284,405,219,292,511,97,573,670,,,,,,,,,
18,Nusa Tenggara Barat,209,391,600,179,393,572,123,646,769,,,,,,,,,
19,Nusa Tenggara Timur,434,709,1.143,361,523,884,222,768,990,,,,,,,,,
20,Kalimantan Barat,215,404,619,266,293,559,120,537,657,,,,,,,,,
21,Kalimantan Tengah,163,309,472,101,148,249,61,434,495,,,,,,,,,
22,Kalimantan Selatan,213,394,607,236,338,574,156,750,906,,,,,,,,,
23,Kalimantan Timur,160,389,549,129,227,356,75,300,375,,,,,,,,,
24,Kalimantan Utara,85,156,241,49,67,116,21,108,129,,,,,,,,,
25,Sulawesi Utara,133,535,668,198,330,528,106,479,585,,,,,,,,,
26,Sulawesi Tengah,504,1.313,1.817,236,402,638,70,436,506,,,,,,,,,
27,Sulawesi Selatan,599,2.052,2.651,288,863,1.151,127,1.287,1.414,,,,,,,,,
28,Sulawesi Tenggara,421,1.405,1.826,162,374,536,110,734,844,,,,,,,,,
29,Gorontalo,122,525,647,65,148,213,66,369,435,,,,,,,,,
30,Sulawesi Barat,100,393,493,70,123,193,20,237,257,,,,,,,,,
31,Maluku,202,490,692,231,311,542,91,522,613,,,,,,,,,
32,Maluku Utara,179,650,829,68,125,193,37,303,340,,,,,,,,,
33,Papua Barat,93,222,315,69,63,132,29,179,208,,,,,,,,,
34,Papua,242,470,712,199,212,411,87,375,462,,,,,,,,,
Indonesia,,9.295,25.928,35.223,7.008,13.306,20.314,3.769,25.247,29.016,,,,,,,,,
No,Provinsi,Kesehatan Masyarakat,,,Kesehatan Lingkungan,,,Gizi,,,,,,,,,,,
,,L,P,L+P,L,P,L+P,L,P,L+P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,155,378,533,84,181,265,28,331,359,,,,,,,,,
2,Sumatera Utara,99,360,459,78,114,192,41,465,506,,,,,,,,,
3,Sumatera Barat,37,110,147,41,86,127,53,389,442,,,,,,,,,
4,Riau,54,157,211,14,45,59,16,271,287,,,,,,,,,
5,Jambi,36,75,111,51,66,117,13,146,159,,,,,,,,,
6,Sumatera Selatan,53,180,233,44,117,161,27,335,362,,,,,,,,,
7,Bengkulu,46,137,183,35,26,61,24,199,223,,,,,,,,,
8,Lampung,28,88,116,35,79,114,20,196,216,,,,,,,,,
9,Kepulauan Bangka Belitung,12,32,44,10,23,33,10,73,83,,,,,,,,,
10,Kepulauan Riau,19,33,52,23,51,74,12,97,109,,,,,,,,,
11,DKI Jakarta,52,140,192,88,126,214,132,826,958,,,,,,,,,
12,Jawa Barat,249,321,570,139,218,357,268,1.318,1.586,,,,,,,,,
13,Jawa Tengah,56,172,228,195,285,480,140,1.359,1.499,,,,,,,,,
14,DI Yogyakarta,7,38,45,74,84,158,46,344,390,,,,,,,,,
15,Jawa Timur,95,395,490,195,327,522,191,1.708,1.899,,,,,,,,,
16,Banten,46,113,159,41,58,99,39,246,285,,,,,,,,,
17,Bali,33,90,123,63,108,171,59,376,435,,,,,,,,,
18,Nusa Tenggara Barat,21,47,68,31,66,97,16,209,225,,,,,,,,,
19,Nusa Tenggara Timur,41,86,127,46,66,112,29,193,222,,,,,,,,,
20,Kalimantan Barat,27,76,103,55,51,106,34,160,194,,,,,,,,,
21,Kalimantan Tengah,15,42,57,17,27,44,15,135,150,,,,,,,,,
22,Kalimantan Selatan,32,54,86,64,68,132,38,239,277,,,,,,,,,
23,Kalimantan Timur,19,40,59,42,37,79,25,130,155,,,,,,,,,
24,Kalimantan Utara,15,28,43,9,14,23,9,45,54,,,,,,,,,
25,Sulawesi Utara,29,104,133,32,60,92,33,179,212,,,,,,,,,
26,Sulawesi Tengah,107,310,417,50,87,137,19,136,155,,,,,,,,,
27,Sulawesi Selatan,118,441,559,56,162,218,52,522,574,,,,,,,,,
28,Sulawesi Tenggara,46,210,256,28,59,87,17,177,194,,,,,,,,,
29,Gorontalo,14,83,97,8,18,26,14,102,116,,,,,,,,,
30,Sulawesi Barat,5,28,33,9,14,23,3,79,82,,,,,,,,,
31,Maluku,29,94,123,36,66,102,20,148,168,,,,,,,,,
32,Maluku Utara,31,128,159,12,12,24,5,92,97,,,,,,,,,
33,Papua Barat,17,45,62,11,14,25,8,54,62,,,,,,,,,
34,Papua,35,90,125,53,47,100,21,136,157,,,,,,,,,
Indonesia,,1.678,4.725,6.403,1.769,2.862,4.631,1.477,11.415,12.892,,,,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,122,999,1.121,260,251,511,72,301,373,233,960,1.193,,,,,,
2,Sumatera Utara,216,1.282,1.498,267,352,619,114,208,322,233,856,1.089,,,,,,
3,Sumatera Barat,180,889,1.069,245,188,433,65,148,213,248,1.149,1.397,,,,,,
4,Riau,131,761,892,139,161,300,52,163,215,174,455,629,,,,,,
5,Jambi,131,639,770,84,85,169,32,112,144,95,440,535,,,,,,
6,Sumatera Selatan,165,972,1.137,178,215,393,57,192,249,208,849,1.057,,,,,,
7,Bengkulu,112,358,470,89,58,147,15,33,48,68,152,220,,,,,,
8,Lampung,206,732,938,198,161,359,48,88,136,170,446,616,,,,,,
9,Kepulauan Bangka Belitung,81,267,348,87,48,135,13,64,77,82,242,324,,,,,,
10,Kepulauan Riau,80,262,342,94,76,170,24,50,74,79,174,253,,,,,,
11,DKI Jakarta,942,2.538,3.480,1.016,794,1.810,440,697,1.137,869,1.938,2.807,,,,,,
12,Jawa Barat,1.233,3.707,4.940,1.181,801,1.982,406,840,1.246,1.442,2.878,4.320,,,,,,
13,Jawa Tengah,969,3.882,4.851,1.153,966,2.119,526,1.016,1.542,1.216,3.634,4.850,,,,,,
14,DI Yogyakarta,207,794,1.001,257,223,480,135,238,373,255,974,1.229,,,,,,
15,Jawa Timur,947,3.890,4.837,1.009,824,1.833,403,653,1.056,1.143,2.609,3.752,,,,,,
16,Banten,231,828,1.059,269,255,524,111,265,376,215,524,739,,,,,,
17,Bali,232,679,911,320,161,481,88,75,163,170,493,663,,,,,,
18,Nusa Tenggara Barat,225,692,917,204,114,318,51,106,157,281,475,756,,,,,,
19,Nusa Tenggara Timur,253,704,957,111,91,202,37,87,124,255,758,1.013,,,,,,
20,Kalimantan Barat,219,554,773,119,60,179,30,63,93,271,527,798,,,,,,
21,Kalimantan Tengah,151,432,583,113,50,163,22,46,68,141,270,411,,,,,,
22,Kalimantan Selatan,233,771,1.004,164,97,261,48,67,115,232,621,853,,,,,,
23,Kalimantan Timur,217,616,833,139,95,234,63,96,159,125,221,346,,,,,,
24,Kalimantan Utara,54,129,183,48,25,73,8,16,24,52,69,121,,,,,,
25,Sulawesi Utara,103,239,342,55,22,77,39,82,121,83,319,402,,,,,,
26,Sulawesi Tengah,129,333,462,62,65,127,14,63,77,106,177,283,,,,,,
27,Sulawesi Selatan,306,1.219,1.525,255,371,626,100,246,346,271,1.083,1.354,,,,,,
28,Sulawesi Tenggara,119,436,555,69,75,144,17,76,93,99,334,433,,,,,,
29,Gorontalo,47,108,155,38,27,65,12,10,22,25,78,103,,,,,,
30,Sulawesi Barat,58,133,191,21,33,54,8,30,38,31,93,124,,,,,,
31,Maluku,74,268,342,38,37,75,4,31,35,33,76,109,,,,,,
32,Maluku Utara,67,227,294,23,50,73,10,21,31,29,54,83,,,,,,
33,Papua Barat,71,172,243,22,28,50,6,17,23,21,62,83,,,,,,
34,Papua,214,500,714,52,30,82,15,24,39,56,101,157,,,,,,
Indonesia,,8.725,31.012,39.737,8.379,6.889,15.268,3.085,6.224,9.309,9.011,24.091,33.102,,,,,,
No,Provinsi,Ahli Teknologi Laboratorium Medik,,,Tenaga Teknik Biomedika Lainnya,,,Keterapian Fisik,,,Keteknisian Medis,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,,,,,
1,Aceh,75,552,627,239,234,473,56,204,260,136,420,556,,,,,,
2,Sumatera Utara,116,773,889,254,341,595,104,192,296,165,438,603,,,,,,
3,Sumatera Barat,114,509,623,239,185,424,58,130,188,166,622,788,,,,,,
4,Riau,82,474,556,139,159,298,50,141,191,145,272,417,,,,,,
5,Jambi,73,333,406,84,85,169,30,100,130,42,164,206,,,,,,
6,Sumatera Selatan,101,580,681,175,204,379,53,173,226,156,431,587,,,,,,
7,Bengkulu,71,180,251,84,54,138,14,32,46,66,99,165,,,,,,
8,Lampung,112,424,536,190,155,345,46,84,130,95,152,247,,,,,,
9,Kepulauan Bangka Belitung,45,139,184,83,45,128,12,60,72,49,124,173,,,,,,
10,Kepulauan Riau,54,172,226,92,75,167,23,48,71,69,113,182,,,,,,
11,DKI Jakarta,706,1.937,2.643,989,773,1.762,383,599,982,742,1.469,2.211,,,,,,
12,Jawa Barat,893,2.482,3.375,1.138,758,1.896,389,800,1.189,1.086,1.688,2.774,,,,,,
13,Jawa Tengah,608,2.331,2.939,1.095,880,1.975,438,790,1.228,851,2.239,3.090,,,,,,
14,DI Yogyakarta,129,487,616,247,210,457,117,203,320,188,603,791,,,,,,
15,Jawa Timur,609,2.368,2.977,969,782,1.751,358,565,923,809,1.640,2.449,,,,,,
16,Banten,167,592,759,259,247,506,104,249,353,152,356,508,,,,,,
17,Bali,163,464,627,301,148,449,74,60,134,95,263,358,,,,,,
18,Nusa Tenggara Barat,115,330,445,182,108,290,46,92,138,162,232,394,,,,,,
19,Nusa Tenggara Timur,83,264,347,105,85,190,30,65,95,118,292,410,,,,,,
20,Kalimantan Barat,107,268,375,112,59,171,28,59,87,117,195,312,,,,,,
21,Kalimantan Tengah,77,211,288,108,50,158,21,46,67,69,106,175,,,,,,
22,Kalimantan Selatan,140,388,528,161,97,258,45,62,107,132,254,386,,,,,,
23,Kalimantan Timur,148,338,486,135,94,229,62,93,155,76,112,188,,,,,,
24,Kalimantan Utara,31,70,101,44,23,67,8,15,23,26,32,58,,,,,,
25,Sulawesi Utara,54,123,177,51,21,72,35,59,94,41,88,129,,,,,,
26,Sulawesi Tengah,63,167,230,57,63,120,14,60,74,53,89,142,,,,,,
27,Sulawesi Selatan,204,685,889,244,356,600,94,225,319,145,518,663,,,,,,
28,Sulawesi Tenggara,55,186,241,62,69,131,14,62,76,57,172,229,,,,,,
29,Gorontalo,32,58,90,36,27,63,12,10,22,16,47,63,,,,,,
30,Sulawesi Barat,27,47,74,21,33,54,7,24,31,16,45,61,,,,,,
31,Maluku,40,120,160,30,29,59,3,28,31,21,45,66,,,,,,
32,Maluku Utara,32,111,143,22,45,67,9,18,27,20,24,44,,,,,,
33,Papua Barat,32,85,117,22,27,49,6,15,21,11,37,48,,,,,,
34,Papua,82,191,273,51,27,78,15,21,36,42,55,97,,,,,,
Indonesia,,5.440,18.439,23.879,8.020,6.548,14.568,2.758,5.384,8.142,6.134,13.436,19.570,,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,180,1.381,1.561,72,414,486,252,1.795,2.047,,,,,,,,,
2,Sumatera Utara,260,1.728,1.988,131,636,767,391,2.364,2.755,,,,,,,,,
3,Sumatera Barat,145,1.110,1.255,72,420,492,217,1.530,1.747,,,,,,,,,
4,Riau,149,904,1.053,84,423,507,233,1.327,1.560,,,,,,,,,
5,Jambi,89,697,786,74,326,400,163,1.023,1.186,,,,,,,,,
6,Sumatera Selatan,208,1.245,1.453,104,394,498,312,1.639,1.951,,,,,,,,,
7,Bengkulu,76,425,501,41,200,241,117,625,742,,,,,,,,,
8,Lampung,176,665,841,92,313,405,268,978,1.246,,,,,,,,,
9,Kepulauan Bangka Belitung,90,382,472,59,195,254,149,577,726,,,,,,,,,
10,Kepulauan Riau,85,278,363,62,207,269,147,485,632,,,,,,,,,
11,DKI Jakarta,1.005,4.425,5.430,514,1.638,2.152,1.519,6.063,7.582,,,,,,,,,
12,Jawa Barat,1.552,5.916,7.468,818,2.699,3.517,2.370,8.615,10.985,,,,,,,,,
13,Jawa Tengah,975,6.485,7.460,645,3.401,4.046,1.620,9.886,11.506,,,,,,,,,
14,DI Yogyakarta,171,1.285,1.456,146,980,1.126,317,2.265,2.582,,,,,,,,,
15,Jawa Timur,964,5.923,6.887,630,2.732,3.362,1.594,8.655,10.249,,,,,,,,,
16,Banten,310,1.310,1.620,157,704,861,467,2.014,2.481,,,,,,,,,
17,Bali,171,861,1.032,200,321,521,371,1.182,1.553,,,,,,,,,
18,Nusa Tenggara Barat,241,479,720,102,302,404,343,781,1.124,,,,,,,,,
19,Nusa Tenggara Timur,151,688,839,68,241,309,219,929,1.148,,,,,,,,,
20,Kalimantan Barat,162,504,666,84,228,312,246,732,978,,,,,,,,,
21,Kalimantan Tengah,114,375,489,64,255,319,178,630,808,,,,,,,,,
22,Kalimantan Selatan,204,800,1.004,107,315,422,311,1.115,1.426,,,,,,,,,
23,Kalimantan Timur,256,701,957,118,348,466,374,1.049,1.423,,,,,,,,,
24,Kalimantan Utara,58,192,250,52,115,167,110,307,417,,,,,,,,,
25,Sulawesi Utara,130,449,579,59,213,272,189,662,851,,,,,,,,,
26,Sulawesi Tengah,152,637,789,83,305,388,235,942,1.177,,,,,,,,,
27,Sulawesi Selatan,273,1.393,1.666,202,1.065,1.267,475,2.458,2.933,,,,,,,,,
28,Sulawesi Tenggara,108,533,641,90,397,487,198,930,1.128,,,,,,,,,
29,Gorontalo,37,203,240,28,113,141,65,316,381,,,,,,,,,
30,Sulawesi Barat,41,206,247,40,132,172,81,338,419,,,,,,,,,
31,Maluku,41,154,195,26,193,219,67,347,414,,,,,,,,,
32,Maluku Utara,32,170,202,38,151,189,70,321,391,,,,,,,,,
33,Papua Barat,43,139,182,32,132,164,75,271,346,,,,,,,,,
34,Papua,137,331,468,52,217,269,189,548,737,,,,,,,,,
Indonesia,,8.786,42.974,51.760,5.146,20.725,25.871,13.932,63.699,77.631,,,,,,,,,
No,Provinsi,Tenaga Kefarmasian,,,,,,,,,,,,,,,,,
,,Tenaga Kefarmasiana,,,Apoteker,,,Total,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,
1,Aceh,103,685,788,44,255,299,147,940,1.087,,,,,,,,,
2,Sumatera Utara,140,1.065,1.205,82,387,469,222,1.452,1.674,,,,,,,,,
3,Sumatera Barat,90,689,779,46,269,315,136,958,1.094,,,,,,,,,
4,Riau,104,574,678,49,276,325,153,850,1.003,,,,,,,,,
5,Jambi,46,349,395,38,150,188,84,499,583,,,,,,,,,
6,Sumatera Selatan,127,737,864,63,243,306,190,980,1.170,,,,,,,,,
7,Bengkulu,36,241,277,20,96,116,56,337,393,,,,,,,,,
8,Lampung,97,374,471,54,157,211,151,531,682,,,,,,,,,
9,Kepulauan Bangka Belitung,48,161,209,21,76,97,69,237,306,,,,,,,,,
10,Kepulauan Riau,65,186,251,36,125,161,101,311,412,,,,,,,,,
11,DKI Jakarta,736,3.260,3.996,277,925,1.202,1.013,4.185,5.198,,,,,,,,,
12,Jawa Barat,1.075,3.964,5.039,374,1.449,1.823,1.449,5.413,6.862,,,,,,,,,
13,Jawa Tengah,637,3.773,4.410,277,1.440,1.717,914,5.213,6.127,,,,,,,,,
14,DI Yogyakarta,94,741,835,57,382,439,151,1.123,1.274,,,,,,,,,
15,Jawa Timur,672,3.953,4.625,298,1.443,1.741,970,5.396,6.366,,,,,,,,,
16,Banten,232,1.013,1.245,95,448,543,327,1.461,1.788,,,,,,,,,
17,Bali,122,603,725,86,190,276,208,793,1.001,,,,,,,,,
18,Nusa Tenggara Barat,131,245,376,67,161,228,198,406,604,,,,,,,,,
